# Matter power spectrum P(k) at redshift z=0
# for k=1.04771e-05 to 1.10152 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047707836614e-05       4.998415621620e+01 
       2.326165102430e-05       1.079636309129e+02 
       3.609079127010e-05       1.649849236148e+02 
       4.899850200462e-05       2.216348278616e+02 
       6.201934263063e-05       2.782507459874e+02 
       7.518873263264e-05       3.350872743185e+02 
       8.854326475709e-05       3.923631773577e+02 
       1.021210318999e-04       4.502806316920e+02 
       1.159619718398e-04       5.090351639233e+02 
       1.301082339896e-04       5.688216616137e+02 
       1.446045723448e-04       6.298385743596e+02 
       1.594987687589e-04       6.922911848871e+02 
       1.748420905133e-04       7.563944073590e+02 
       1.906897858163e-04       8.223753542579e+02 
       2.071016202683e-04       8.904757994942e+02 
       2.241424563475e-04       9.609546174865e+02 
       2.418828764539e-04       1.034090224830e+03 
       2.603998477974e-04       1.110183068807e+03 
       2.797774241700e-04       1.189558098207e+03 
       3.001074751201e-04       1.272567234248e+03 
       3.214904268800e-04       1.359591731870e+03 
       3.440359912213e-04       1.451044326517e+03 
       3.678638478708e-04       1.547371044080e+03 
       3.931042329412e-04       1.649052428392e+03 
       4.198983700037e-04       1.756603967399e+03 
       4.483986623579e-04       1.870575322523e+03 
       4.787685458622e-04       1.991548042472e+03 
       5.111818835599e-04       2.120131239339e+03 
       5.458217698353e-04       2.256954782472e+03 
       5.828786081572e-04       2.402659532298e+03 
       6.225473392761e-04       2.557884229944e+03 
       6.650237334686e-04       2.723248886759e+03 
       7.104997275182e-04       2.899334695469e+03 
       7.591578873933e-04       3.086661137057e+03 
       8.111652066907e-04       3.285661210618e+03 
       8.666665943448e-04       3.496656478028e+03 
       9.257785372222e-04       3.719833868371e+03 
       9.885835105263e-04       3.955226710140e+03 
       1.055125718332e-03       4.202702137568e+03 
       1.125408657281e-03       4.461956678299e+03 
       1.199394810967e-03       4.732521060502e+03 
       1.277007530846e-03       5.013774059172e+03 
       1.358134892952e-03       5.304963950651e+03 
       1.442635095084e-03       5.605211044638e+03 
       1.530342820653e-03       5.913593794837e+03 
       1.621075961098e-03       6.229154464895e+03 
       1.714642149080e-03       6.550905245376e+03 
       1.810844679552e-03       6.877867371249e+03 
       1.909487548158e-03       7.209090676097e+03 
       2.010379483540e-03       7.543668965893e+03 
       2.113336970432e-03       7.880750963130e+03 
       2.218186344637e-03       8.219547039050e+03 
       2.324765089650e-03       8.559332396807e+03 
       2.432922484047e-03       8.899448104593e+03 
       2.542519747341e-03       9.239299458880e+03 
       2.653429817856e-03       9.578353002677e+03 
       2.765536875810e-03       9.916133966134e+03 
       2.878735702843e-03       1.025222105202e+04 
       2.992930948401e-03       1.058624197238e+04 
       3.108036355244e-03       1.091786964742e+04 
       3.223973981281e-03       1.124681873706e+04 
       3.340673443108e-03       1.157283795957e+04 
       3.458071197483e-03       1.189571169053e+04 
       3.576109870271e-03       1.221525004062e+04 
       3.694737637568e-03       1.253129261272e+04 
       3.813907660305e-03       1.284369825049e+04 
       3.933577571423e-03       1.315234874753e+04 
       4.053709013255e-03       1.345714343256e+04 
       4.174267221907e-03       1.375799577108e+04 
       4.295220654997e-03       1.405483769352e+04 
       4.416540658966e-03       1.434760771524e+04 
       4.538201172217e-03       1.463626396600e+04 
       4.660178460474e-03       1.492076717118e+04 
       4.782450881017e-03       1.520106157596e+04 
       4.904998672658e-03       1.547717593196e+04 
       5.027803768661e-03       1.574907480777e+04 
       5.150849630017e-03       1.601674633487e+04 
       5.274121096801e-03       1.628022228706e+04 
       5.397604255557e-03       1.653952455209e+04 
       5.521286320881e-03       1.679461052578e+04 
       5.645155529589e-03       1.704548351496e+04 
       5.769201046045e-03       1.729169647369e+04 
       5.893412877376e-03       1.753422440058e+04 
       6.017781797455e-03       1.777260673761e+04 
       6.142299278678e-03       1.800685339653e+04 
       6.266957430652e-03       1.823694023747e+04 
       6.391748945039e-03       1.846302488510e+04 
       6.516667045868e-03       1.868512826383e+04 
       6.641705444723e-03       1.890302052379e+04 
       6.766858300286e-03       1.911708865659e+04 
       6.892120181753e-03       1.932723071911e+04 
       7.017486035725e-03       1.953370502724e+04 
       7.142951156201e-03       1.973612220554e+04 
       7.268511157355e-03       1.993454846499e+04 
       7.394161948807e-03       2.012919320102e+04 
       7.519899713127e-03       2.032071322379e+04 
       7.645720885368e-03       2.050818028770e+04 
       7.771622134395e-03       2.069155964032e+04 
       7.897600345859e-03       2.087149191939e+04 
       8.023652606637e-03       2.104773121386e+04 
       8.149776190614e-03       2.122029080379e+04 
       8.275968545654e-03       2.138949920847e+04 
       8.402227281675e-03       2.155590066326e+04 
       8.528550159705e-03       2.171802762247e+04 
       8.654935081834e-03       2.187673483196e+04 
       8.781380081984e-03       2.203201603946e+04 
       8.907883317420e-03       2.218390132867e+04 
       9.034443060930e-03       2.233249025547e+04 
       9.161057693626e-03       2.247688031785e+04 
       9.287725698303e-03       2.261862028788e+04 
       9.414445653312e-03       2.275762412008e+04 
       9.541216226901e-03       2.289407960446e+04 
       9.668036171981e-03       2.302644471661e+04 
       9.794904321292e-03       2.315489092630e+04 
       9.921819582924e-03       2.328198512049e+04 
       1.004878093617e-02       2.340415066777e+04 
       1.017578742770e-02       2.352507609366e+04 
       1.030283816795e-02       2.364215581196e+04 
       1.042993232790e-02       2.375539631002e+04 
       1.055706913590e-02       2.386748835516e+04 
       1.068424787494e-02       2.397578238723e+04 
       1.081146787991e-02       2.408115213686e+04 
       1.093872853517e-02       2.418378102348e+04 
       1.106602927230e-02       2.428258317844e+04 
       1.119336956793e-02       2.437969283795e+04 
       1.132074894177e-02       2.447489438891e+04 
       1.144816695479e-02       2.456639392565e+04 
       1.157562320750e-02       2.465528804843e+04 
       1.170311733837e-02       2.474165272603e+04 
       1.183064902231e-02       2.482430721694e+04 
       1.195821796936e-02       2.490642679193e+04 
       1.208582392333e-02       2.498385145396e+04 
       1.221346666067e-02       2.506087549384e+04 
       1.234114598934e-02       2.513415175838e+04 
       1.246886174780e-02       2.520467812949e+04 
       1.259661380400e-02       2.527285161400e+04 
       1.272440205456e-02       2.533920375170e+04 
       1.285222642392e-02       2.540369703786e+04 
       1.298008686356e-02       2.546462297121e+04 
       1.310798335135e-02       2.552411726377e+04 
       1.323591589082e-02       2.558032178921e+04 
       1.336388451066e-02       2.563468234654e+04 
       1.349188926406e-02       2.568763904589e+04 
       1.361993022831e-02       2.573753384441e+04 
       1.374800750424e-02       2.578550939694e+04 
       1.387612121586e-02       2.583001898966e+04 
       1.400427150997e-02       2.587460301719e+04 
       1.413245855577e-02       2.591592775268e+04 
       1.426068254459e-02       2.595530992979e+04 
       1.438894368958e-02       2.599128893053e+04 
       1.451724222547e-02       2.602640362137e+04 
       1.464557840838e-02       2.606005916010e+04 
       1.477395251555e-02       2.609141221580e+04 
       1.490236484527e-02       2.612126697886e+04 
       1.503081571667e-02       2.614841481814e+04 
       1.515930546965e-02       2.617321816010e+04 
       1.528783446477e-02       2.619746293275e+04 
       1.541640308320e-02       2.621797700225e+04 
       1.554501172667e-02       2.623870051444e+04 
       1.567366081745e-02       2.625666731803e+04 
       1.580235079835e-02       2.627188009526e+04 
       1.593108213275e-02       2.628621509865e+04 
       1.605985530463e-02       2.629969583597e+04 
       1.618867081864e-02       2.630969374744e+04 
       1.631752920019e-02       2.631980960518e+04 
       1.644643099553e-02       2.632627286962e+04 
       1.657537677188e-02       2.633218904821e+04 
       1.670436711756e-02       2.633627053584e+04 
       1.683340264213e-02       2.633896457177e+04 
       1.696248397662e-02       2.633990646939e+04 
       1.709161177362e-02       2.633926783989e+04 
       1.722078670758e-02       2.633810662776e+04 
       1.735000947499e-02       2.633345713481e+04 
       1.747928079459e-02       2.632820117514e+04 
       1.760860140768e-02       2.632186033052e+04 
       1.773797207837e-02       2.631328876531e+04 
       1.786739359385e-02       2.630398861769e+04 
       1.799686676473e-02       2.629294253772e+04 
       1.812639242533e-02       2.628052449103e+04 
       1.825597143404e-02       2.626753041793e+04 
       1.838560467366e-02       2.625144225698e+04 
       1.851529305179e-02       2.623494458994e+04 
       1.864503750119e-02       2.621717597623e+04 
       1.877483898022e-02       2.619867778271e+04 
       1.890469847323e-02       2.617767031368e+04 
       1.903461699104e-02       2.615590356022e+04 
       1.916459557136e-02       2.613258752908e+04 
       1.929463527927e-02       2.610840669173e+04 
       1.942473720775e-02       2.608279909418e+04 
       1.955490247815e-02       2.605623044589e+04 
       1.968513224074e-02       2.602842544853e+04 
       1.981542767528e-02       2.599952141091e+04 
       1.994578999153e-02       2.596946820615e+04 
       2.007622042992e-02       2.593825925735e+04 
       2.020672026208e-02       2.590607121603e+04 
       2.033729079156e-02       2.587258596794e+04 
       2.046793335437e-02       2.583850243805e+04 
       2.059864931976e-02       2.580336566962e+04 
       2.072944009085e-02       2.576641224494e+04 
       2.086030710537e-02       2.572888646154e+04 
       2.099125183640e-02       2.569051300495e+04 
       2.112227579314e-02       2.565046466042e+04 
       2.125338052167e-02       2.561017440547e+04 
       2.138456760581e-02       2.556870106669e+04 
       2.151583866794e-02       2.552645741425e+04 
       2.164719536985e-02       2.548298547812e+04 
       2.177863941366e-02       2.543883244672e+04 
       2.191017254272e-02       2.539383720781e+04 
       2.204179654259e-02       2.534794945214e+04 
       2.217351324199e-02       2.530185341855e+04 
       2.230532451384e-02       2.525364027650e+04 
       2.243723227628e-02       2.520521600614e+04 
       2.256923849376e-02       2.515597261562e+04 
       2.270134517813e-02       2.510597999898e+04 
       2.283355438983e-02       2.505527944880e+04 
       2.296586823901e-02       2.500439601389e+04 
       2.309828888680e-02       2.495151001290e+04 
       2.323081854654e-02       2.489852544130e+04 
       2.336345948508e-02       2.484479820883e+04 
       2.349621402411e-02       2.479049092793e+04 
       2.362908454156e-02       2.473542543986e+04 
       2.376207347299e-02       2.467972327459e+04 
       2.389518331310e-02       2.462327434380e+04 
       2.402841661721e-02       2.456625616160e+04 
       2.416177600284e-02       2.450864313920e+04 
       2.429526415133e-02       2.445036824418e+04 
       2.442888380948e-02       2.439151751376e+04 
       2.456263779133e-02       2.433212444170e+04 
       2.469652897987e-02       2.427207298916e+04 
       2.483056032890e-02       2.421182845292e+04 
       2.496473486497e-02       2.415090655191e+04 
       2.509905568928e-02       2.408876196486e+04 
       2.523352597972e-02       2.402656324254e+04 
       2.536814899300e-02       2.396391878967e+04 
       2.550292806677e-02       2.390070842580e+04 
       2.563786662188e-02       2.383706298232e+04 
       2.577296816469e-02       2.377294530474e+04 
       2.590823628948e-02       2.370831704511e+04 
       2.604367468087e-02       2.364363836679e+04 
       2.617928711646e-02       2.357787429661e+04 
       2.631507746944e-02       2.351199363805e+04 
       2.645104971131e-02       2.344572891952e+04 
       2.658720791479e-02       2.337895826964e+04 
       2.672355625669e-02       2.331191265053e+04 
       2.686009902102e-02       2.324460070484e+04 
       2.699684060211e-02       2.317656714806e+04 
       2.713378550790e-02       2.310823985809e+04 
       2.727093836334e-02       2.303998297028e+04 
       2.740830391389e-02       2.297113652277e+04 
       2.754588702918e-02       2.290164184098e+04 
       2.768369270682e-02       2.283200361367e+04 
       2.782172607627e-02       2.276235254800e+04 
       2.795999240297e-02       2.269215530237e+04 
       2.809849709257e-02       2.262166918820e+04 
       2.823724569530e-02       2.255117082033e+04 
       2.837624391055e-02       2.247994363614e+04 
       2.851549759162e-02       2.240880989953e+04 
       2.865501275065e-02       2.233738453916e+04 
       2.879479556377e-02       2.226555654888e+04 
       2.893485237637e-02       2.219357522805e+04 
       2.907518970872e-02       2.212138968306e+04 
       2.921581426172e-02       2.204895031182e+04 
       2.935673292290e-02       2.197631567564e+04 
       2.949795277269e-02       2.190349990372e+04 
       2.963948109093e-02       2.183052731936e+04 
       2.978132536369e-02       2.175709560430e+04 
       2.992349329033e-02       2.168367174986e+04 
       3.006599279089e-02       2.161031308413e+04 
       3.020883201380e-02       2.153653667939e+04 
       3.035201934392e-02       2.146266001928e+04 
       3.049556341092e-02       2.138856354532e+04 
       3.063947309804e-02       2.131438161118e+04 
       3.078375755129e-02       2.124013924261e+04 
       3.092842618894e-02       2.116547124118e+04 
       3.107348871159e-02       2.109102928324e+04 
