# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.558775881807e-26       4.634785000235e-09       2.157468236845e+22       1.422426910442e+04       1.422426910442e-10       1.422426910442e+18       2.676054550095e-09       2.753580214648e+44       2.500792265986e+33       1.308142670902e+34      -4.694955775052e-12       3.651644944500e-08      -1.000000000000e+00       1.901088978193e+44       4.654669192996e+44       5.681212030521e-20       2.000000000000e+14 
       9.930486593843e+13       7.664969124170e-26       4.667526809499e-09       2.127577894999e+22       1.422426910442e+04       1.432383898815e-10       1.412539136486e+18       2.694786931946e-09       2.677810562215e+44       2.449002372801e+33       1.281051828484e+34      -4.694955775052e-12       3.651644944500e-08      -1.000000000000e+00       1.848777136920e+44       4.526587699287e+44       7.925988135935e-08       1.433565615564e+02 
       9.861456399050e+13       7.772654275396e-26       4.700268618762e-09       2.098101664711e+22       1.422426910442e+04       1.442410586107e-10       1.402720095816e+18       2.713650440470e-09       2.604125846403e+44       2.398285016936e+33       1.254522021005e+34      -4.694955775052e-12       3.651644944500e-08      -1.000000000000e+00       1.797904748912e+44       4.402030595465e+44       1.585197627186e-07       7.167828077820e+01 
       9.792906056653e+13       7.881852295311e-26       4.733010428026e-09       2.069033808733e+22       1.422426910442e+04       1.452507460209e-10       1.392969310641e+18       2.732645993553e-09       2.532468696478e+44       2.348617986793e+33       1.228541629771e+34      -4.694955775052e-12       3.651644944500e-08      -1.000000000000e+00       1.748432205055e+44       4.280900901679e+44       2.377796440779e-07       4.778552051880e+01 
       9.724832231036e+13       7.992584438208e-26       4.765752237290e-09       2.040368669298e+22       1.422426910442e+04       1.462675012431e-10       1.383286306496e+18       2.751774515508e-09       2.462783320360e+44       2.299979530763e+33       1.203099276703e+34      -4.694955775052e-12       3.651644944500e-08      -1.000000000000e+00       1.700320986150e+44       4.163104306653e+44       3.170395254372e-07       3.583914038910e+01 
       9.657231609767e+13       8.104872256980e-26       4.800313035958e-09       2.012100667027e+22       1.422426910442e+04       1.472913737518e-10       1.373670612210e+18       2.771036937116e-09       2.395015461189e+44       2.252348347699e+33       1.178183819358e+34      -4.694955775052e-12       3.651644944500e-08      -1.000000000000e+00       1.653533632922e+44       4.048549094252e+44       3.962994067964e-07       2.867131231128e+01 
       9.590100903443e+13       8.218737607318e-26       4.833054845221e-09       1.984224299839e+22       1.422426910442e+04       1.483224133680e-10       1.364121759891e+18       2.790434195676e-09       2.329112355080e+44       2.205703577587e+33       1.153784346044e+34      -4.694955775052e-12       3.651644944500e-08      -1.000000000000e+00       1.608033716854e+44       3.937146072072e+44       4.755592881557e-07       2.389276025940e+01 
       9.523436845525e+13       8.334202651963e-26       4.867615643889e-09       1.956734141880e+22       1.422426910442e+04       1.493606702616e-10       1.354639284897e+18       2.809967235045e-09       2.265022690039e+44       2.160024792414e+33       1.129890171045e+34      -4.694955775052e-12       3.651644944500e-08      -1.000000000000e+00       1.563785811826e+44       3.828808501999e+44       5.548191695149e-07       2.047950879377e+01 
       9.457236192179e+13       8.451289865021e-26       4.900357453153e-09       1.929624842468e+22       1.422426910442e+04       1.504061949534e-10       1.345222725816e+18       2.829637005691e-09       2.202696566012e+44       2.115291987215e+33       1.106490829938e+34      -4.694955775052e-12       3.651644944500e-08      -1.000000000000e+00       1.520755466528e+44       3.723452032671e+44       6.340790508741e-07       1.791957019455e+01 
       9.391495722125e+13       8.570022036334e-26       4.934918251820e-09       1.902891125053e+22       1.422426910442e+04       1.514590383181e-10       1.335871624445e+18       2.849444464730e-09       2.142085456034e+44       2.071485571319e+33       1.083576075013e+34      -4.694955775052e-12       3.651644944500e-08      -1.000000000000e+00       1.478909177642e+44       3.620994633805e+44       7.133389322334e-07       1.592850683960e+01 
       9.326212236469e+13       8.690422275923e-26       4.969479050487e-09       1.876527786185e+22       1.422426910442e+04       1.525192515863e-10       1.326585525764e+18       2.869390575983e-09       2.083142168447e+44       2.028586359763e+33       1.061135870784e+34      -4.694955775052e-12       3.651644944500e-08      -1.000000000000e+00       1.438214363750e+44       3.521356532324e+44       7.925988135926e-07       1.433565615564e+01 
       9.261382558559e+13       8.812514018477e-26       5.004039849155e-09       1.850529694507e+22       1.422426910442e+04       1.535868863474e-10       1.317363977919e+18       2.889476310015e-09       2.025820810155e+44       1.986575564897e+33       1.039160389593e+34      -4.694955775052e-12       3.651644944500e-08      -1.000000000000e+00       1.398639339974e+44       3.424460150252e+44       8.718586949518e-07       1.303241468694e+01 
