# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.100406718198e+03       5.591122392972e-02       0.000000000000e+00       3.504547295841e+00       5.139571305206e-08       3.330225578204e-03      -1.669518635649e-05 
    3       1.035213136968e+03       9.500557291074e-02       0.000000000000e+00       4.452879642224e+00       6.347074808096e-08       3.352657401612e-03      -2.085220347199e-05 
    4       9.715864056511e+02       1.110812853406e-01       0.000000000000e+00       4.629512664514e+00       7.363351005914e-08       3.292408380782e-03      -2.152252950593e-05 
    5       9.215631192688e+02       1.027763102406e-01       0.000000000000e+00       4.349215672436e+00       8.251643551810e-08       3.199518200959e-03      -1.958988102374e-05 
    6       8.848803029679e+02       7.928312190985e-02       0.000000000000e+00       3.834330281876e+00       9.032481195834e-08       3.092541526913e-03      -1.584404057227e-05 
    7       8.593158607734e+02       5.248838082809e-02       0.000000000000e+00       3.237041900793e+00       9.724690721180e-08       2.979491563353e-03      -1.111836793248e-05 
    8       8.421325502180e+02       3.095319446557e-02       0.000000000000e+00       2.651083973678e+00       1.034259757271e-07       2.865312369884e-03      -6.200715742867e-06 
    9       8.318113661649e+02       1.785208764360e-02       0.000000000000e+00       2.132121980873e+00       1.089506953698e-07       2.753991901359e-03      -1.759138972666e-06 
   10       8.270192976633e+02       1.200611610665e-02       0.000000000000e+00       1.710416768666e+00       1.138864130691e-07       2.647604902262e-03       1.722033535263e-06 
   11       8.260168578117e+02       1.030064818339e-02       0.000000000000e+00       1.399678021224e+00       1.153421686365e-07       2.552789051193e-03       3.948277277237e-06 
   12       8.281292006053e+02       9.871904982955e-03       0.000000000000e+00       1.199819647023e+00       1.191664137291e-07       2.456584653790e-03       4.933104917398e-06 
   13       8.327589155642e+02       9.197218321790e-03       0.000000000000e+00       1.098592746639e+00       1.225957890569e-07       2.361394577612e-03       4.758851642103e-06 
   14       8.394277581954e+02       8.069128069265e-03       0.000000000000e+00       1.075641929149e+00       1.256722294046e-07       2.277423537197e-03       3.705213075972e-06 
   15       8.475015485054e+02       6.956705709785e-03       0.000000000000e+00       1.107648176475e+00       1.284347031290e-07       2.202845414136e-03       2.105164726774e-06 
   16       8.567914881369e+02       6.333618632668e-03       0.000000000000e+00       1.172757850657e+00       1.309153134362e-07       2.130636959710e-03       3.024998658781e-07 
   17       8.674626263226e+02       6.326808134780e-03       0.000000000000e+00       1.251637505041e+00       1.331403496905e-07       2.058531699925e-03      -1.389520876625e-06 
   18       8.787172124303e+02       6.715722460001e-03       0.000000000000e+00       1.329181907884e+00       1.350819652552e-07       1.990730340518e-03      -2.719788599555e-06 
   19       8.906847347461e+02       7.244221994372e-03       0.000000000000e+00       1.398509266956e+00       1.369168280133e-07       1.929655108216e-03      -3.549981152734e-06 
   20       9.034491978449e+02       7.652668050756e-03       0.000000000000e+00       1.454979554646e+00       1.385001483687e-07       1.871190567488e-03      -3.835229984513e-06 
   21       9.168490544222e+02       7.967776586736e-03       0.000000000000e+00       1.498725377615e+00       1.399233579567e-07       1.814750502105e-03      -3.616120635644e-06 
   22       9.304468441024e+02       8.336200235392e-03       0.000000000000e+00       1.532392536423e+00       1.411602979819e-07       1.758757173214e-03      -3.031228305038e-06 
   23       9.444300373582e+02       8.911964987431e-03       0.000000000000e+00       1.560121979394e+00       1.422842129601e-07       1.705477006503e-03      -2.224533255440e-06 
   24       9.589983724605e+02       9.841800156868e-03       0.000000000000e+00       1.587024602454e+00       1.432446633299e-07       1.656690503763e-03      -1.381818493428e-06 
   25       9.740444883169e+02       1.112788144256e-02       0.000000000000e+00       1.616670104262e+00       1.440985235350e-07       1.611095306967e-03      -6.460356609697e-07 
   26       9.892668378522e+02       1.271360868472e-02       0.000000000000e+00       1.651885830673e+00       1.448231671297e-07       1.565150951192e-03      -1.476752386469e-07 
   27       1.004674979115e+03       1.454855545085e-02       0.000000000000e+00       1.693020588857e+00       1.454471903377e-07       1.520077150340e-03       6.635343102506e-08 
   28       1.020302855633e+03       1.658260645964e-02       0.000000000000e+00       1.739049920695e+00       1.459334115581e-07       1.478007613486e-03      -2.431155893888e-09 
   29       1.036215491853e+03       1.881088054891e-02       0.000000000000e+00       1.787559315067e+00       1.463583058799e-07       1.439548663795e-03      -3.165893121324e-07 
   30       1.052397095617e+03       2.124142409115e-02       0.000000000000e+00       1.834925164067e+00       1.467428149420e-07       1.403564592633e-03      -7.943305115655e-07 
   31       1.068758719857e+03       2.387729387052e-02       0.000000000000e+00       1.876911912719e+00       1.470027145284e-07       1.367899823253e-03      -1.321408051811e-06 
   32       1.085347431688e+03       2.670081092975e-02       0.000000000000e+00       1.910620235427e+00       1.471848882604e-07       1.332974491805e-03      -1.820931294577e-06 
   33       1.102196664615e+03       2.968260559240e-02       0.000000000000e+00       1.933186486616e+00       1.473193871905e-07       1.299696506295e-03      -2.212241308063e-06 
   34       1.119286326266e+03       3.279731200437e-02       0.000000000000e+00       1.941863924410e+00       1.473687060032e-07       1.268472094302e-03      -2.412608505033e-06 
   35       1.136625537846e+03       3.606595298278e-02       0.000000000000e+00       1.936172945706e+00       1.473662117612e-07       1.239188087682e-03      -2.415867303321e-06 
   36       1.154185688978e+03       3.952893982240e-02       0.000000000000e+00       1.916522361676e+00       1.473188554094e-07       1.210989916538e-03      -2.253624751444e-06 
   37       1.171905112128e+03       4.322824648018e-02       0.000000000000e+00       1.883651955921e+00       1.471855704454e-07       1.182649395931e-03      -1.973594367832e-06 
   38       1.189804287061e+03       4.718238159128e-02       0.000000000000e+00       1.838571444909e+00       1.470064745632e-07       1.154444799719e-03      -1.618678026135e-06 
   39       1.207899841666e+03       5.140352555015e-02       0.000000000000e+00       1.782644611275e+00       1.468189942874e-07       1.127002701313e-03      -1.242513017535e-06 
   40       1.226168307909e+03       5.590424070189e-02       0.000000000000e+00       1.717637537696e+00       1.466093506038e-07       1.100776538705e-03      -9.174754836122e-07 
   41       1.244567387881e+03       6.069498056437e-02       0.000000000000e+00       1.645210059957e+00       1.463284970673e-07       1.076025180236e-03      -7.176436060462e-07 
   42       1.263118230023e+03       6.577562829551e-02       0.000000000000e+00       1.565131540625e+00       1.460000475351e-07       1.052857244732e-03      -6.514510279296e-07 
   43       1.281842828421e+03       7.114121352720e-02       0.000000000000e+00       1.476525916397e+00       1.456505374254e-07       1.031127004527e-03      -7.006570564151e-07 
   44       1.300738419529e+03       7.678400845004e-02       0.000000000000e+00       1.378343155611e+00       1.452722579463e-07       1.010359636646e-03      -8.356314561827e-07 
   45       1.319790090160e+03       8.269619069964e-02       0.000000000000e+00       1.269449190573e+00       1.448360937225e-07       9.899410398986e-04      -1.019655460287e-06 
   46       1.339018925829e+03       8.887917192331e-02       0.000000000000e+00       1.148956042280e+00       1.443673655961e-07       9.699257214181e-04      -1.228040376787e-06 
   47       1.358444048820e+03       9.533677615247e-02       0.000000000000e+00       1.015969985966e+00       1.438956384045e-07       9.504928226600e-04      -1.434817882896e-06 
   48       1.378067222491e+03       1.020726505266e-01       0.000000000000e+00       8.694922260109e-01       1.434292663335e-07       9.317132632748e-04      -1.606886127522e-06 
   49       1.397871246034e+03       1.090902624545e-01       0.000000000000e+00       7.084127710093e-01       1.429489507933e-07       9.135295279067e-04      -1.703249863668e-06 
   50       1.417832446709e+03       1.163925208733e-01       0.000000000000e+00       5.318114097141e-01       1.424203169693e-07       8.958180153871e-04      -1.686881011257e-06 
   51       1.437965878163e+03       1.239805254172e-01       0.000000000000e+00       3.399711609788e-01       1.418580821826e-07       8.786581180767e-04      -1.567984765291e-06 
   52       1.458289615946e+03       1.318544728173e-01       0.000000000000e+00       1.336293260346e-01       1.412833680553e-07       8.621342931323e-04      -1.376742611031e-06 
   53       1.478810812850e+03       1.400139830875e-01       0.000000000000e+00      -8.629744001519e-02       1.407034917114e-07       8.462497834631e-04      -1.153076333596e-06 
   54       1.499524757097e+03       1.484580789957e-01       0.000000000000e+00      -3.187048013161e-01       1.401081759273e-07       8.309138201083e-04      -9.476586139254e-07 
   55       1.520422013860e+03       1.571856208428e-01       0.000000000000e+00      -5.625626552450e-01       1.394783592279e-07       8.159939376161e-04      -8.102692543744e-07 
   56       1.541514085021e+03       1.661967843080e-01       0.000000000000e+00      -8.177961436412e-01       1.388282556695e-07       8.015280459884e-04      -7.472142667531e-07 
   57       1.562812474176e+03       1.754919137747e-01       0.000000000000e+00      -1.084608918495e+00       1.381763294308e-07       7.875668590435e-04      -7.500746775446e-07 
   58       1.584320548533e+03       1.850710964605e-01       0.000000000000e+00      -1.363234230510e+00       1.375319639233e-07       7.741078043777e-04      -8.067072100631e-07 
   59       1.606032912024e+03       1.949341596281e-01       0.000000000000e+00      -1.653937131086e+00       1.368931301472e-07       7.610874716269e-04      -9.008606636725e-07 
   60       1.627934778420e+03       2.050806677961e-01       0.000000000000e+00      -1.957016674305e+00       1.362438421279e-07       7.483737398205e-04      -1.011778115882e-06 
   61       1.650010591610e+03       2.155093957638e-01       0.000000000000e+00      -2.272753623674e+00       1.355626671146e-07       7.358178467466e-04      -1.118657920654e-06 
   62       1.672273565691e+03       2.262166157726e-01       0.000000000000e+00      -2.601234874537e+00       1.348595699979e-07       7.234505665471e-04      -1.216779341865e-06 
   63       1.694741693223e+03       2.371974191809e-01       0.000000000000e+00      -2.942493349498e+00       1.341503784614e-07       7.113370397424e-04      -1.306037951165e-06 
   64       1.717428756285e+03       2.484461876868e-01       0.000000000000e+00      -3.296559479548e+00       1.334457229038e-07       6.995189676178e-04      -1.386557244793e-06 
   65       1.740343993000e+03       2.599565739073e-01       0.000000000000e+00      -3.663461676960e+00       1.327497499880e-07       6.880112446176e-04      -1.458713992594e-06 
   66       1.763491764051e+03       2.717214819572e-01       0.000000000000e+00      -4.043226808184e+00       1.320587280344e-07       6.767984563844e-04      -1.523164494876e-06 
   67       1.786871219201e+03       2.837330480274e-01       0.000000000000e+00      -4.435880666732e+00       1.313595408143e-07       6.658312434404e-04      -1.580871747098e-06 
   68       1.810479869734e+03       2.959834638458e-01       0.000000000000e+00      -4.841419233557e+00       1.306361967037e-07       6.550525509341e-04      -1.633018907514e-06 
   69       1.834325891765e+03       3.084676842264e-01       0.000000000000e+00      -5.259714638830e+00       1.298963624961e-07       6.444944578427e-04      -1.680653718106e-06 
   70       1.858417728280e+03       3.211812357725e-01       0.000000000000e+00      -5.690590907518e+00       1.291524825962e-07       6.342038056954e-04      -1.724986889321e-06 
   71       1.882760174398e+03       3.341194246339e-01       0.000000000000e+00      -6.133851216644e+00       1.284138920539e-07       6.242129287139e-04      -1.767518702174e-06 
   72       1.907354143787e+03       3.472773386433e-01       0.000000000000e+00      -6.589277621062e+00       1.276860978979e-07       6.145377836361e-04      -1.810061405206e-06 
   73       1.932196435077e+03       3.606498494516e-01       0.000000000000e+00      -7.056630779219e+00       1.269700055815e-07       6.051760124378e-04      -1.854762262535e-06 
   74       1.957279498281e+03       3.742316146643e-01       0.000000000000e+00      -7.535649678931e+00       1.262610889588e-07       5.961049379498e-04      -1.904127253014e-06 
   75       1.982591201203e+03       3.880170799768e-01       0.000000000000e+00      -8.026051363147e+00       1.255485022069e-07       5.872794923725e-04      -1.961045420476e-06 
   76       2.008119643707e+03       4.019993739004e-01       0.000000000000e+00      -8.527527535527e+00       1.248198822129e-07       5.786505222422e-04      -2.027926891296e-06 
   77       2.033869130366e+03       4.161667545284e-01       0.000000000000e+00      -9.039734268758e+00       1.240800428929e-07       5.702304115525e-04      -2.103785640571e-06 
   78       2.059846699655e+03       4.305055156904e-01       0.000000000000e+00      -9.562299912557e+00       1.233372725750e-07       5.620414233972e-04      -2.186408485201e-06 
   79       2.086057206535e+03       4.450010166411e-01       0.000000000000e+00      -1.009482771463e+01       1.225977709483e-07       5.540957689858e-04      -2.273145262310e-06 
   80       2.112503192377e+03       4.596376614876e-01       0.000000000000e+00      -1.063689548246e+01       1.218652301753e-07       5.463945240624e-04      -2.360879015725e-06 
   81       2.139184754885e+03       4.743988786167e-01       0.000000000000e+00      -1.118805524509e+01       1.211403875030e-07       5.389265111022e-04      -2.445995406975e-06 
   82       2.166099418027e+03       4.892671001231e-01       0.000000000000e+00      -1.174783291492e+01       1.204205486332e-07       5.316671472843e-04      -2.524351350832e-06 
   83       2.193242001955e+03       5.042237412360e-01       0.000000000000e+00      -1.231572794947e+01       1.196990811171e-07       5.245772582410e-04      -2.591242875376e-06 
