# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.100410362935e+03       5.591299650973e-02       1.772579740988e-06       3.504547257955e+00       5.139571305206e-08       3.330225578204e-03      -1.669518635649e-05 
    3       1.035220410538e+03       9.500911980458e-02       3.546891249424e-06       4.452879473704e+00       6.347074808096e-08       3.352657401612e-03      -2.085220347199e-05 
    4       9.715984933176e+02       1.110872006262e-01       5.915272953952e-06       4.629512181513e+00       7.363351005914e-08       3.292408380782e-03      -2.152252950593e-05 
    5       9.215811861677e+02       1.027851901509e-01       8.879866907752e-06       4.349214575555e+00       8.251643551810e-08       3.199518200959e-03      -1.958988102374e-05 
    6       8.849054899728e+02       7.929556524023e-02       1.244321253035e-05       3.834328133085e+00       9.032481195834e-08       3.092541526913e-03      -1.584404057227e-05 
    7       8.593492809150e+02       5.250498926370e-02       1.660816264271e-05       3.237038103815e+00       9.724690721180e-08       2.979491563353e-03      -1.111836793248e-05 
    8       8.421752857253e+02       3.097457281727e-02       2.137779041060e-05       2.651077758201e+00       1.034259757271e-07       2.865312369884e-03      -6.200715742867e-06 
    9       8.318644661776e+02       1.787884398606e-02       2.675529086863e-05       2.132112390794e+00       1.089506953698e-07       2.753991901359e-03      -1.759138972666e-06 
   10       8.270837766393e+02       1.203886181456e-02       3.274388090008e-05       1.710402654401e+00       1.138864130691e-07       2.647604902262e-03       1.722033535263e-06 
   11       8.260936946360e+02       1.033999786530e-02       3.934670159359e-05       1.399658035932e+00       1.153421686365e-07       2.552789051193e-03       3.948277277237e-06 
   12       8.282193383795e+02       9.918476315453e-03       4.656672678397e-05       1.199792246481e+00       1.191664137291e-07       2.456584653790e-03       4.933104917398e-06 
   13       8.328632620394e+02       9.251631790124e-03       5.440668131707e-05       1.098556192330e+00       1.225957890569e-07       2.361394577612e-03       4.758851642103e-06 
