# Matter power spectrum P(k) at redshift z=0
# for k=1.02739e-05 to 1.06751 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.027392032245e-05       5.081392298597e+01 
       2.295515997971e-05       1.111604027839e+02 
       3.567959012219e-05       1.707848512741e+02 
       4.848039104175e-05       2.301895088973e+02 
       6.139127478104e-05       2.896783946837e+02 
       7.444677651963e-05       3.494904186517e+02 
       8.768255499905e-05       4.098370022999e+02 
       1.011357058690e-04       4.709177334538e+02 
       1.148450918675e-04       5.329285706422e+02 
       1.288516937802e-04       5.960669667919e+02 
       1.431989861338e-04       6.605355596301e+02 
       1.579333415389e-04       7.265451553344e+02 
       1.731044674553e-04       7.943173615921e+02 
       1.887658788582e-04       8.640870543762e+02 
       2.049754097501e-04       9.361048092855e+02 
       2.217957655865e-04       1.010639325223e+03 
       2.392951173190e-04       1.087979897946e+03 
       2.575477357405e-04       1.168438945172e+03 
       2.766346618984e-04       1.252354550010e+03 
       2.966444052729e-04       1.340093014471e+03 
       3.176736558604e-04       1.432051316992e+03 
       3.398279889265e-04       1.528659395628e+03 
       3.632225316507e-04       1.630382098969e+03 
       3.879825489169e-04       1.737720595789e+03 
       4.142438910457e-04       1.851212983865e+03 
       4.421532295985e-04       1.971433796266e+03 
       4.718679894153e-04       2.098991938380e+03 
       5.035558675930e-04       2.234526689931e+03 
       5.373938161778e-04       2.378701181995e+03 
       5.735663594587e-04       2.532192937431e+03 
       6.122631248034e-04       2.695681003993e+03 
       6.536754948179e-04       2.869829423254e+03 
       6.979923446002e-04       3.055267093505e+03 
       7.453949146702e-04       3.252564438274e+03 
       7.960509856680e-04       3.462207770653e+03 
       8.501086542266e-04       3.684572955191e+03 
       9.076901393264e-04       3.919900258674e+03 
       9.688861452596e-04       4.168272871345e+03 
       1.033751339287e-03       4.429601375034e+03 
       1.102301445563e-03       4.703616335419e+03 
       1.174512307288e-03       4.989870259619e+03 
       1.250321046740e-03       5.287749117064e+03 
       1.329629200745e-03       5.596484414251e+03 
       1.412307480090e-03       5.915168671286e+03 
       1.498201641805e-03       6.242865183922e+03 
       1.587138898342e-03       6.578547440021e+03 
       1.678934316699e-03       6.921162415723e+03 
       1.773396760735e-03       7.269657308293e+03 
       1.870334067933e-03       7.623002284629e+03 
       1.969557294860e-03       7.980208289961e+03 
       2.070883989544e-03       8.340340462570e+03 
       2.174140541295e-03       8.702526961005e+03 
       2.279163716551e-03       9.065964057157e+03 
       2.385801517465e-03       9.429916757611e+03 
       2.493913505452e-03       9.793720397800e+03 
       2.603370722652e-03       1.015677661431e+04 
       2.714055326964e-03       1.051855036024e+04 
       2.825860035894e-03       1.087856544710e+04 
       2.938687454220e-03       1.123640536845e+04 
       3.052449342213e-03       1.159169528907e+04 
       3.167065865704e-03       1.194411269005e+04 
       3.282464856817e-03       1.229337326653e+04 
       3.398581104465e-03       1.263923106020e+04 
       3.515355686425e-03       1.298147139588e+04 
       3.632735349443e-03       1.331990933324e+04 
       3.750671940043e-03       1.365438649666e+04 
       3.869121886122e-03       1.398476589904e+04 
       3.988045727705e-03       1.431093399109e+04 
       4.107407694177e-03       1.463278976717e+04 
       4.227175324734e-03       1.495025832743e+04 
       4.347319128500e-03       1.526326596375e+04 
       4.467812280753e-03       1.557176118284e+04 
       4.588630351732e-03       1.587570358353e+04 
       4.709751064757e-03       1.617500057677e+04 
       4.831154080545e-03       1.646974604685e+04 
       4.952820804919e-03       1.675984082915e+04 
       5.074734217328e-03       1.704528953171e+04 
       5.196878717876e-03       1.732617042119e+04 
       5.319239990771e-03       1.760242877644e+04 
       5.441804882349e-03       1.787405913349e+04 
       5.564561292034e-03       1.814109120030e+04 
       5.687498074758e-03       1.840344489695e+04 
       5.810604953558e-03       1.866081957257e+04 
       5.933872441209e-03       1.891409649182e+04 
       6.057291769866e-03       1.916283005223e+04 
       6.180854827848e-03       1.940707111501e+04 
       6.304554102748e-03       1.964667247432e+04 
       6.428382630198e-03       1.988211212135e+04 
       6.552333947650e-03       2.011298975258e+04 
       6.676402052658e-03       2.033954832895e+04 
       6.800581365148e-03       2.056171009068e+04 
       6.924866693283e-03       2.077976821903e+04 
       7.049253202521e-03       2.099358560076e+04 
       7.173736387545e-03       2.120307591333e+04 
       7.298312046775e-03       2.140850463226e+04 
       7.422976259181e-03       2.160965348453e+04 
       7.547725363178e-03       2.180703710647e+04 
       7.672555937395e-03       2.200040407797e+04 
       7.797464783126e-03       2.218927166184e+04 
