# Matter power spectrum P(k) at redshift z=0
# for k=1.208e-05 to 1.50956 h/Mpc,
# number of wavenumbers equal to 639
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.208000034967e-05       2.844167041167e+01 
       2.496409922438e-05       5.724277392755e+01 
       3.789787404203e-05       8.570438097181e+01 
       5.091615413032e-05       1.141846700553e+02 
       6.405438343720e-05       1.429256547218e+02 
       7.734893673083e-05       1.721280661292e+02 
       9.083744642266e-05       2.019772260449e+02 
       1.045591443425e-04       2.326516115836e+02 
       1.185552228286e-04       2.643291202890e+02 
       1.328692195277e-04       2.971894476028e+02 
       1.475474303001e-04       3.314170395717e+02 
       1.626393545545e-04       3.672014249149e+02 
       1.781981771358e-04       4.047388864885e+02 
       1.942812904941e-04       4.442316497990e+02 
       2.109508601533e-04       4.858882694573e+02 
       2.282744353599e-04       5.299216499830e+02 
       2.463256050374e-04       5.765473443910e+02 
       2.651846965731e-04       6.259798116428e+02 
       2.849395112569e-04       6.784287881346e+02 
       3.056860850178e-04       7.340926857979e+02 
       3.275294561005e-04       7.931514570081e+02 
       3.505844120704e-04       8.557573273585e+02 
       3.749761766732e-04       9.220241683511e+02 
       4.008409823749e-04       9.920144613346e+02 
       4.283264569313e-04       1.065726953676e+03 
       4.575917327194e-04       1.143082858594e+03 
       4.888071672712e-04       1.223913333937e+03 
       5.221535452336e-04       1.307952489407e+03 
       5.578206201536e-04       1.394831416295e+03 
       5.960048551456e-04       1.484085004744e+03 
       6.369062421679e-04       1.575164415443e+03 
       6.807241282154e-04       1.667465103677e+03 
       7.276520592417e-04       1.760362317871e+03 
       7.778717699879e-04       1.853258131236e+03 
       8.315465920674e-04       1.945635044799e+03 
       8.888147039301e-04       2.037098415209e+03 
       9.497827735522e-04       2.127423430126e+03 
       1.014520610824e-03       2.216566919660e+03 
       1.083057419362e-03       2.304671599366e+03 
       1.155380102697e-03       2.392040538413e+03 
       1.231433851275e-03       2.479096373048e+03 
       1.311124956926e-03       2.566325396729e+03 
       1.394325530067e-03       2.654214310974e+03 
       1.480879589745e-03       2.743219929871e+03 
       1.570609894871e-03       2.833733349148e+03 
       1.663324893395e-03       2.926036894660e+03 
       1.758825263746e-03       3.020306977134e+03 
       1.856909672492e-03       3.116617773116e+03 
       1.957379534718e-03       3.214950404686e+03 
       2.060042708765e-03       3.315212314396e+03 
       2.164716167534e-03       3.417253124950e+03 
       2.271227759810e-03       3.520882204023e+03 
       2.379417211075e-03       3.625883879870e+03 
       2.489136522109e-03       3.732029781373e+03 
       2.600249914722e-03       3.839088482901e+03 
       2.712633454975e-03       3.946833054044e+03 
       2.826174461383e-03       4.055045723080e+03 
       2.940770782620e-03       4.163520745770e+03 
       3.056330008578e-03       4.272067502172e+03 
       3.172768661007e-03       4.380509595355e+03 
       3.290011395900e-03       4.488687136487e+03 
       3.407990238779e-03       4.596454932150e+03 
       3.526643865848e-03       4.703682378943e+03 
       3.645916938013e-03       4.810251884206e+03 
       3.765759490531e-03       4.916059338661e+03 
       3.886126378235e-03       5.021011367571e+03 
       4.006976774396e-03       5.125026373141e+03 
       4.128273720138e-03       5.228031405840e+03 
       4.249983720747e-03       5.329962058631e+03 
       4.372076384897e-03       5.430763234144e+03 
       4.494524102826e-03       5.530386045734e+03 
       4.617301759596e-03       5.628788735323e+03 
       4.740386479810e-03       5.725933661568e+03 
       4.863757400393e-03       5.821792113031e+03 
       4.987395468373e-03       5.916336621578e+03 
       5.111283260849e-03       6.009543878752e+03 
       5.235404824648e-03       6.101399310520e+03 
       5.359745533429e-03       6.191884183825e+03 
       5.484291960223e-03       6.280989030662e+03 
       5.609031763659e-03       6.368708274845e+03 
       5.733953586294e-03       6.455043919570e+03 
       5.859046963662e-03       6.539973307180e+03 
       5.984302242837e-03       6.623489236205e+03 
       6.109710509415e-03       6.705610049135e+03 
       6.235263521972e-03       6.786326866192e+03 
       6.360953653166e-03       6.865653450791e+03 
       6.486773836738e-03       6.943582192385e+03 
       6.612717519768e-03       7.020118591956e+03 
       6.738778619611e-03       7.095266935328e+03 
       6.864951484997e-03       7.169031419904e+03 
       6.991230860869e-03       7.241419210587e+03 
       7.117611856541e-03       7.312445780416e+03 
       7.244089916834e-03       7.382104331761e+03 
       7.370660795891e-03       7.450414801725e+03 
       7.497320533380e-03       7.517396221448e+03 
       7.624065432846e-03       7.583047249788e+03 
       7.750892042000e-03       7.647388375088e+03 
       7.877797134751e-03       7.710410137970e+03 
       8.004777694799e-03       7.772130368959e+03 
       8.131830900656e-03       7.832560204890e+03 
       8.258954111932e-03       7.891715688525e+03 
       8.386144856794e-03       7.949609310193e+03 
       8.513400820456e-03       8.006260293986e+03 
       8.640719834636e-03       8.061670142540e+03 
       8.768099867863e-03       8.115836285608e+03 
       8.895539016573e-03       8.168800482586e+03 
       9.023035496918e-03       8.220552171645e+03 
       9.150587637222e-03       8.271113114543e+03 
       9.278193871032e-03       8.320512905104e+03 
       9.405852730705e-03       8.368710041698e+03 
       9.533562841495e-03       8.415749422546e+03 
       9.661322916084e-03       8.461640522355e+03 
       9.789131749533e-03       8.506384121592e+03 
       9.916988214607e-03       8.550011894029e+03 
       1.004489125745e-02       8.592514571317e+03 
       1.017283989358e-02       8.633925124910e+03 
       1.030083320418e-02       8.674236704197e+03 
       1.042887033264e-02       8.713525491004e+03 
       1.055695048139e-02       8.751714668642e+03 
       1.068507290890e-02       8.788812841206e+03 
       1.081323692695e-02       8.824908138002e+03 
       1.094144189810e-02       8.859947536024e+03 
       1.106968723324e-02       8.894011409557e+03 
       1.119797238944e-02       8.927035598608e+03 
       1.132629686790e-02       8.959076732753e+03 
       1.145466021198e-02       8.990116040753e+03 
       1.158306200549e-02       9.020188289721e+03 
       1.171150187101e-02       9.049264348170e+03 
       1.183997946835e-02       9.077402856078e+03 
       1.196849449310e-02       9.104596545373e+03 
       1.209704667535e-02       9.130900365180e+03 
       1.222563577841e-02       9.156234313777e+03 
       1.235426159770e-02       9.180667938584e+03 
       1.248292395962e-02       9.204146712429e+03 
       1.261162272062e-02       9.226784258400e+03 
       1.274035776626e-02       9.248519989790e+03 
       1.286912901034e-02       9.269434789882e+03 
       1.299793639413e-02       9.289442193238e+03 
       1.312677988562e-02       9.308643566880e+03 
       1.325565947886e-02       9.326954230674e+03 
       1.338457519333e-02       9.344488425159e+03 
       1.351352707338e-02       9.361196674218e+03 
       1.364251518765e-02       9.377058354705e+03 
       1.377153962865e-02       9.392143184514e+03 
       1.390060051230e-02       9.406429452414e+03 
       1.402969797748e-02       9.419938503729e+03 
       1.415883218573e-02       9.432675143278e+03 
       1.428800332089e-02       9.444659746021e+03 
       1.441721158878e-02       9.455866770028e+03 
       1.454645721700e-02       9.466353868789e+03 
       1.467574045463e-02       9.476091444998e+03 
       1.480506157204e-02       9.485108673462e+03 
       1.493442086076e-02       9.493388131256e+03 
       1.506381863328e-02       9.501000046445e+03 
       1.519325522293e-02       9.507896427963e+03 
       1.532273098382e-02       9.514073273594e+03 
       1.545224629072e-02       9.519620771060e+03 
       1.558180153905e-02       9.524469826190e+03 
       1.571139714480e-02       9.528669092156e+03 
       1.584103354459e-02       9.532219537039e+03 
       1.597071119562e-02       9.535116221133e+03 
       1.610043057573e-02       9.537357931804e+03 
       1.623019218346e-02       9.539012287486e+03 
       1.635999653812e-02       9.540022286128e+03 
       1.648984417988e-02       9.540404641503e+03 
       1.661973566986e-02       9.540211780781e+03 
       1.674967159030e-02       9.539401777560e+03 
       1.687965254467e-02       9.538024063586e+03 
       1.700967915785e-02       9.536031922934e+03 
       1.713975207633e-02       9.533527535837e+03 
       1.726987196836e-02       9.530434163442e+03 
       1.740003952421e-02       9.526769676780e+03 
       1.753025545638e-02       9.522554321625e+03 
       1.766052049987e-02       9.517817199119e+03 
       1.779083541241e-02       9.512544299278e+03 
       1.792120097478e-02       9.506773298869e+03 
       1.805161799110e-02       9.500433795567e+03 
       1.818208728912e-02       9.493627960242e+03 
       1.831260972058e-02       9.486295861256e+03 
       1.844318616157e-02       9.478474929629e+03 
       1.857381751284e-02       9.470177366958e+03 
       1.870450470026e-02       9.461397310172e+03 
       1.883524867515e-02       9.452147488732e+03 
       1.896605041474e-02       9.442432819885e+03 
       1.909691092259e-02       9.432264771320e+03 
       1.922783122904e-02       9.421633852553e+03 
       1.935881239170e-02       9.410563463887e+03 
       1.948985549589e-02       9.399072363673e+03 
       1.962096165520e-02       9.387138679230e+03 
       1.975213201199e-02       9.374789297350e+03 
       1.988336773793e-02       9.362016921673e+03 
       2.001467003458e-02       9.348858973541e+03 
       2.014604013395e-02       9.335251260683e+03 
       2.027747929911e-02       9.321302426105e+03 
       2.040898882484e-02       9.306957108099e+03 
       2.054057003823e-02       9.292229123319e+03 
       2.067222429939e-02       9.277140095196e+03 
       2.080395300210e-02       9.261606804865e+03 
       2.093575757454e-02       9.245775889474e+03 
       2.106763948003e-02       9.229580600396e+03 
       2.119960021776e-02       9.213012655559e+03 
       2.133164132359e-02       9.196119904153e+03 
       2.146376437087e-02       9.178932798503e+03 
       2.159597097124e-02       9.161381443985e+03 
       2.172826277551e-02       9.143500617369e+03 
       2.186064147453e-02       9.125289711283e+03 
       2.199310880012e-02       9.106798247721e+03 
       2.212566652599e-02       9.087986816158e+03 
       2.225831646873e-02       9.068894570994e+03 
       2.239106048879e-02       9.049472761662e+03 
       2.252390049156e-02       9.029835949737e+03 
       2.265683842835e-02       9.009782561394e+03 
       2.278987629758e-02       8.989548980239e+03 
       2.292301614584e-02       8.969038045855e+03 
       2.305626006910e-02       8.948249682950e+03 
       2.318961021391e-02       8.927166609699e+03 
       2.332306877862e-02       8.905892039873e+03 
       2.345663801468e-02       8.884346654724e+03 
       2.359032022796e-02       8.862570049437e+03 
       2.372411778010e-02       8.840529393609e+03 
       2.385803308994e-02       8.818270789381e+03 
       2.399206863496e-02       8.795789536153e+03 
       2.412622695276e-02       8.773068498116e+03 
       2.426051064264e-02       8.750130146763e+03 
       2.439492236719e-02       8.726972231821e+03 
       2.452946485390e-02       8.703656623361e+03 
       2.466414089690e-02       8.680090387793e+03 
       2.479895335873e-02       8.656326692659e+03 
       2.493390517209e-02       8.632418070267e+03 
       2.506899934179e-02       8.608271197336e+03 
       2.520423894662e-02       8.583946512727e+03 
       2.533962714141e-02       8.559477475563e+03 
       2.547516715905e-02       8.534820426362e+03 
       2.561086231265e-02       8.510025012233e+03 
       2.574671599775e-02       8.485005054611e+03 
       2.588273169459e-02       8.459843614662e+03 
       2.601891297050e-02       8.434521117697e+03 
       2.615526348231e-02       8.409078688214e+03 
       2.629178697891e-02       8.383477970025e+03 
       2.642848730382e-02       8.357769490704e+03 
       2.656536839796e-02       8.331846951654e+03 
       2.670243430242e-02       8.305814928081e+03 
       2.683968916135e-02       8.279660119593e+03 
       2.697713722499e-02       8.253398201831e+03 
       2.711478285278e-02       8.227016891461e+03 
       2.725263051658e-02       8.200502734874e+03 
       2.739068480404e-02       8.173855448101e+03 
       2.752895042202e-02       8.147104617074e+03 
       2.766743220023e-02       8.120261368822e+03 
       2.780613509494e-02       8.093293399325e+03 
       2.794506419286e-02       8.066264387572e+03 
       2.808422471516e-02       8.039141664470e+03 
       2.822362202162e-02       8.011887629964e+03 
       2.836326161495e-02       7.984577168257e+03 
       2.850314914535e-02       7.957184494418e+03 
       2.864329041510e-02       7.929689570195e+03 
       2.878369138346e-02       7.902101200974e+03 
       2.892435817171e-02       7.874461330133e+03 
       2.906529706839e-02       7.846742672743e+03 
       2.920651453476e-02       7.818992029634e+03 
       2.934801721048e-02       7.791130937577e+03 
       2.948981191951e-02       7.763194305658e+03 
       2.963190567628e-02       7.735282762062e+03 
       2.977430569209e-02       7.707223925215e+03 
       2.991701938177e-02       7.679135959312e+03 
       3.006005437068e-02       7.651038411983e+03 
       3.020341850191e-02       7.622810474776e+03 
       3.034711984388e-02       7.594604522018e+03 
       3.049116669822e-02       7.566329399792e+03 
       3.063556760801e-02       7.538043195094e+03 
       3.078033136636e-02       7.509667646552e+03 
       3.092546702542e-02       7.481327011224e+03 
       3.107098390575e-02       7.452893396861e+03 
       3.121689160610e-02       7.424434038219e+03 
       3.136320001373e-02       7.395972932991e+03 
       3.150991931504e-02       7.367489197988e+03 
       3.165706000688e-02       7.338978498460e+03 
       3.180463290826e-02       7.310391867158e+03 
       3.195264917266e-02       7.281824957892e+03 
       3.210112030093e-02       7.253261006159e+03 
       3.225005815481e-02       7.224658624446e+03 
       3.239947497110e-02       7.196040995945e+03 
       3.254938337651e-02       7.167410075703e+03 
       3.269979640334e-02       7.138803947434e+03 
       3.285072750579e-02       7.110164558820e+03 
       3.300219057724e-02       7.081490537716e+03 
       3.315419996836e-02       7.052874814012e+03 
       3.330677050610e-02       7.024247447828e+03 
       3.345991751380e-02       6.995514798777e+03 
       3.361365683224e-02       6.966918689865e+03 
       3.376800484189e-02       6.938220346152e+03 
       3.392297848629e-02       6.909554488411e+03 
       3.407859529681e-02       6.880945579930e+03 
       3.423487341866e-02       6.852303322549e+03 
       3.439183163841e-02       6.823617185785e+03 
       3.454948941306e-02       6.794964443384e+03 
       3.470786690074e-02       6.766307199792e+03 
       3.486698499320e-02       6.737695315118e+03 
       3.502686535020e-02       6.709148718184e+03 
       3.518753043587e-02       6.680549750443e+03 
       3.534900355732e-02       6.651911061720e+03 
       3.551130890550e-02       6.623302265704e+03 
       3.567447159863e-02       6.594741187691e+03 
       3.583851772821e-02       6.566176376728e+03 
       3.600347440802e-02       6.537685904824e+03 
       3.616936982618e-02       6.509125225154e+03 
       3.633623330045e-02       6.480608038716e+03 
       3.650409533730e-02       6.452068920547e+03 
       3.667298769467e-02       6.423546401652e+03 
       3.684294344907e-02       6.395122826325e+03 
       3.701399706709e-02       6.366676827142e+03 
       3.718618448183e-02       6.338174485369e+03 
       3.735954317464e-02       6.309727370703e+03 
       3.753411226256e-02       6.281297827631e+03 
       3.770993259202e-02       6.252852242877e+03 
       3.788704683924e-02       6.224467484072e+03 
       3.806549961798e-02       6.196093434432e+03 
       3.824533759536e-02       6.167697355697e+03 
       3.842660961626e-02       6.139345164483e+03 
       3.860936683730e-02       6.110955789130e+03 
       3.879366287119e-02       6.082601778210e+03 
       3.897955394238e-02       6.054254009375e+03 
       3.916709905515e-02       6.025938928664e+03 
       3.935636017535e-02       5.997570817605e+03 
       3.954740242704e-02       5.969238930171e+03 
       3.974029430562e-02       5.940943606886e+03 
       3.993510790900e-02       5.912565007180e+03 
       4.013191918877e-02       5.884260671189e+03 
       4.033080822341e-02       5.855898670462e+03 
       4.053185951586e-02       5.827539439792e+03 
       4.073516231807e-02       5.799213136229e+03 
       4.094081098558e-02       5.770916335573e+03 
       4.114890536533e-02       5.742536937238e+03 
       4.135955122063e-02       5.714047794777e+03 
       4.157286069747e-02       5.685640498680e+03 
       4.178895283706e-02       5.657212365358e+03 
       4.200795414020e-02       5.628724336232e+03 
       4.222999918972e-02       5.600233508949e+03 
       4.245523133825e-02       5.571698980434e+03 
       4.268380346967e-02       5.543138047198e+03 
       4.291587884363e-02       5.514533731772e+03 
       4.315163203425e-02       5.485938559102e+03 
       4.339124997549e-02       5.457170102579e+03 
