# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.905280595329e-10       3.381283396078e-15       8.130451935559e-13       4.186725257843e-19       2.284683727968e-08      -2.957226334440e-09      -2.236502661869e-12 
    3       4.279887283429e-10       6.771649363879e-15       8.089439579954e-13       8.377365934628e-19       1.443976515617e-08      -1.917682214502e-09      -1.868375396528e-12 
    4       3.410654665320e-10       1.031523249251e-14       7.849684180726e-13       1.397087976285e-18       1.004904180026e-08      -1.374491412067e-09      -1.603888873525e-12 
    5       2.874263117805e-10       1.301980557739e-14       7.424873510375e-13       2.097221754790e-18       7.464531104872e-09      -1.048064027687e-09      -1.373659876804e-12 
    6       2.511030025810e-10       1.428009948793e-14       6.842881616741e-13       2.938734072134e-18       5.811552008302e-09      -8.327276141421e-10      -1.155253076225e-12 
    7       2.249954313278e-10       1.400531869012e-14       6.176909937446e-13       3.922307824640e-18       4.689084777676e-09      -6.815664749305e-10      -9.497182826779e-13 
    8       2.055061309986e-10       1.247966122335e-14       5.482766766106e-13       5.048696296729e-18       3.888061940464e-09      -5.704473520656e-10      -7.599726861297e-13 
    9       1.905350730192e-10       1.019220823272e-14       4.800865333229e-13       6.318705151469e-18       3.290471908028e-09      -4.857847541412e-10      -5.883900323752e-13 
   10       1.788280625603e-10       7.669611670378e-15       4.157768185428e-13       7.733173233227e-18       2.826410058865e-09      -4.193776077381e-10      -4.366282570963e-13 
   11       1.695545057957e-10       5.348852129818e-15       3.569401205666e-13       9.292952673866e-18       2.073588207650e-09      -3.461061550179e-10      -3.063955976146e-13 
   12       1.620961042693e-10       3.507918678051e-15       3.046329135838e-13       1.099888881760e-17       1.794398498285e-09      -3.035919325143e-10      -1.971693927852e-13 
   13       1.561008834827e-10       2.252375065369e-15       2.594763046598e-13       1.285180049105e-17       1.567703260490e-09      -2.683641234092e-10      -1.079880934313e-13 
   14       1.512947886619e-10       1.544048039851e-15       2.217828326721e-13       1.485246114378e-17       1.381012501320e-09      -2.390047167590e-10      -3.881275859256e-14 
   15       1.473923207737e-10       1.253089513471e-15       1.916838336061e-13       1.700158136965e-17       1.225371223951e-09      -2.140703580025e-10       1.243066065100e-14 
   16       1.442462009600e-10       1.214930165761e-15       1.689917737174e-13       1.929979329167e-17       1.094212596109e-09      -1.928280721070e-10       4.687545176078e-14 
   17       1.417445284372e-10       1.277867703558e-15       1.532151220795e-13       2.174763725139e-17       9.826388512538e-10      -1.744166041119e-10       6.710564126242e-14 
   18       1.397272076259e-10       1.328949016713e-15       1.436938394441e-13       2.434555025499e-17       8.864462940935e-10      -1.584594049540e-10       7.524504169095e-14 
   19       1.381678905787e-10       1.326526739751e-15       1.398584019620e-13       2.709386304418e-17       8.041873434985e-10      -1.447114550081e-10       7.338497993488e-14 
   20       1.369653862670e-10       1.253028219783e-15       1.405538837408e-13       2.999278515656e-17       7.321791117995e-10      -1.325021818544e-10       6.470672037014e-14 
   21       1.360837671807e-10       1.134112805625e-15       1.448985851923e-13       3.304241955261e-17       6.691488793152e-10      -1.216625300546e-10       5.126279190824e-14 
   22       1.354474047341e-10       1.015241799899e-15       1.517881423359e-13       3.624274643021e-17       6.135477988073e-10      -1.120140364543e-10       3.514101325304e-14 
   23       1.350456133162e-10       9.277029499640e-16       1.603871968872e-13       3.959365088848e-17       5.645192156221e-10      -1.034432761079e-10       1.803782011660e-14 
   24       1.348469480078e-10       8.965709501569e-16       1.697900330108e-13       4.309490651221e-17       5.208078217138e-10      -9.574967608796e-11       1.638138179174e-15 
   25       1.348323077917e-10       9.237720653417e-16       1.793478844097e-13       4.674622035754e-17       4.818397313360e-10      -8.882660770766e-11      -1.301988237338e-14 
   26       1.349613058308e-10       9.991952665342e-16       1.884517820922e-13       5.054721058136e-17       4.468603940435e-10      -8.253575229086e-11      -2.514369504929e-14 
   27       1.352296774179e-10       1.102862854602e-15       1.967796400391e-13       5.449745458640e-17       4.154083951822e-10      -7.683228727223e-11      -3.433151397580e-14 
   28       1.356263580790e-10       1.210746552977e-15       2.041114434074e-13       5.859647762682e-17       3.868967879917e-10      -7.165933177321e-11      -4.040969628190e-14 
   29       1.361500410113e-10       1.313293679476e-15       2.103810657626e-13       6.284384394300e-17       3.611548092365e-10      -6.698678191787e-11      -4.343996007321e-14 
   30       1.367799907176e-10       1.404397419648e-15       2.155929629146e-13       6.723909319571e-17       3.378804597296e-10      -6.274334163066e-11      -4.369767230810e-14 
   31       1.374788065714e-10       1.479705810235e-15       2.198014349990e-13       7.178175347457e-17       3.165670822870e-10      -5.882211027778e-11      -4.162315267092e-14 
   32       1.382489959697e-10       1.546872011142e-15       2.231554923922e-13       7.647147862685e-17       2.970892658796e-10      -5.520798282683e-11      -3.765939157594e-14 
   33       1.390937818965e-10       1.619470633204e-15       2.258786201439e-13       8.130797036451e-17       2.792958291929e-10      -5.189094820742e-11      -3.238041447442e-14 
   34       1.400057331152e-10       1.711791519838e-15       2.282285146205e-13       8.629097990349e-17       2.629210704518e-10      -4.883998482904e-11      -2.645806874259e-14 
   35       1.409844913199e-10       1.829040067016e-15       2.303803915594e-13       9.142041700493e-17       2.478713116086e-10      -4.603804121290e-11      -2.034992971542e-14 
   36       1.420227848030e-10       1.973795859645e-15       2.325068738161e-13       9.669629249272e-17       2.340157298447e-10      -4.345510877828e-11      -1.451554985243e-14 
   37       1.431068095799e-10       2.147766119140e-15       2.347773136748e-13       1.021187139969e-16       2.211621365447e-10      -4.105004862603e-11      -9.422270670107e-15 
   38       1.442380666323e-10       2.349010812960e-15       2.372447753570e-13       1.076879403227e-16       2.092717392701e-10      -3.881602325012e-11      -5.263931400873e-15 
   39       1.454171168066e-10       2.573693378416e-15       2.399211985340e-13       1.134043610893e-16       1.983020439521e-10      -3.674760049379e-11      -2.150978475732e-15 
   40       1.466367529972e-10       2.816712319047e-15       2.428060270475e-13       1.192684948487e-16       1.881417133268e-10      -3.482722697332e-11      -1.840035188918e-16 
   41       1.478862118593e-10       3.073092074760e-15       2.458702602221e-13       1.252809786872e-16       1.786482795675e-10      -3.303152373564e-11       5.829155220288e-16 
   42       1.491673022305e-10       3.342908376236e-15       2.490054579847e-13       1.314425090728e-16       1.697904049238e-10      -3.135519904891e-11       2.631485862913e-16 
   43       1.504822357129e-10       3.627820487261e-15       2.520559679213e-13       1.377538984756e-16       1.615418789473e-10      -2.979312692252e-11      -9.416755107699e-16 
   44       1.518286837133e-10       3.929746807780e-15       2.548298998325e-13       1.442161024232e-16       1.538390150912e-10      -2.833310890305e-11      -2.769752342712e-15 
   45       1.532022018032e-10       4.250330611406e-15       2.571235706593e-13       1.508301460979e-16       1.466027687112e-10      -2.696006865816e-11      -4.936869217577e-15 
   46       1.546053692546e-10       4.589111485255e-15       2.588089680248e-13       1.575968578247e-16       1.398199719545e-10      -2.567144897119e-11      -7.272222928113e-15 
   47       1.560406584586e-10       4.944832707598e-15       2.597685267536e-13       1.645170704402e-16       1.334813350718e-10      -2.446546655352e-11      -9.616672391186e-15 
   48       1.575075681228e-10       5.315926815500e-15       2.598699188530e-13       1.715917000483e-16       1.275569838010e-10      -2.333647979047e-11      -1.178324806585e-14 
   49       1.590023621114e-10       5.700498955233e-15       2.589652961629e-13       1.788217498452e-16       1.219949354620e-10      -2.227470327988e-11      -1.355570718060e-14 
   50       1.605200372739e-10       6.096918904493e-15       2.569226257413e-13       1.862081919326e-16       1.167364740803e-10      -2.126915321417e-11      -1.473664928178e-14 
   51       1.620614625261e-10       6.505825213221e-15       2.537314803957e-13       1.937515660653e-16       1.117707312579e-10      -2.031808831942e-11      -1.531061172709e-14 
   52       1.636277261608e-10       6.928636284312e-15       2.494246546702e-13       2.014522785995e-16       1.070922864988e-10      -1.942090955360e-11      -1.532274724189e-14 
   53       1.652179236677e-10       7.367000957178e-15       2.440493169135e-13       2.093107131132e-16       1.026848516835e-10      -1.857504670678e-11      -1.483399928886e-14 
   54       1.668290014668e-10       7.822810501528e-15       2.376677621753e-13       2.173272284892e-16       9.852054241145e-11      -1.777582497934e-11      -1.392198954566e-14 
   55       1.684573235267e-10       8.297913224549e-15       2.303480038065e-13       2.255020669157e-16       9.456823259763e-11      -1.701792011156e-11      -1.267678682931e-14 
   56       1.701041849540e-10       8.793147792371e-15       2.221310864521e-13       2.338350555156e-16       9.082271797584e-11      -1.630045273982e-11      -1.118494988015e-14 
   57       1.717713943852e-10       9.309090772961e-15       2.130569716612e-13       2.423258272381e-16       8.728152113576e-11      -1.562292588917e-11      -9.543074949700e-15 
   58       1.734595839054e-10       9.846333381248e-15       2.031743369777e-13       2.509738991378e-16       8.393607641150e-11      -1.498367732827e-11      -7.863240120169e-15 
   59       1.751681199075e-10       1.040548188641e-14       1.925409329417e-13       2.597786669488e-16       8.077135511764e-11      -1.437980803932e-11      -6.273693358015e-15 
   60       1.768950139510e-10       1.098715801920e-14       1.812239400916e-13       2.687393996572e-16       7.776549078526e-11      -1.380711068787e-11      -4.919540567424e-15 
   61       1.786379822971e-10       1.159186995435e-14       1.692802549564e-13       2.778552827112e-16       7.489578147739e-11      -1.326120072323e-11      -3.929912043576e-15 
   62       1.803981040865e-10       1.221959049593e-14       1.566913695001e-13       2.871255712588e-16       7.215911893973e-11      -1.274136818404e-11      -3.309293174527e-15 
   63       1.821768298334e-10       1.287008450302e-14       1.434144416546e-13       2.965494618329e-16       6.955550083552e-11      -1.224746747494e-11      -3.022911704641e-15 
   64       1.839748535562e-10       1.354302633381e-14       1.294008022031e-13       3.061260429432e-16       6.708188929425e-11      -1.177875831762e-11      -3.027738816340e-15 
   65       1.857920600828e-10       1.423799614628e-14       1.145956749441e-13       3.158542911930e-16       6.473203848762e-11      -1.133387237918e-11      -3.272113568577e-15 
   66       1.876274723562e-10       1.495447619900e-14       9.893789685585e-14       3.257330673956e-16       6.249632220551e-11      -1.091077990057e-11      -3.695367335318e-15 
   67       1.894791987407e-10       1.569184715183e-14       8.235963826003e-14       3.357611126910e-16       6.036156143189e-11      -1.050675632502e-11      -4.227448244015e-15 
   68       1.913452809125e-10       1.644954198799e-14       6.479686894033e-14       3.459372602134e-16       5.831451555192e-11      -1.011909353139e-11      -4.799431371113e-15 
   69       1.932265548250e-10       1.722755226596e-14       4.622384463003e-14       3.562611285804e-16       5.635356285202e-11      -9.747475478733e-12      -5.378361806214e-15 
