# Matter power spectrum P(k) at redshift z=0
# for k=0.000782008 to 65.9862 h/Mpc,
# number of wavenumbers equal to 534
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.820083848374e-04       1.273744294579e-04 
       6.177346143143e-03       1.006065224112e-03 
       1.871944193392e-02       3.046008367808e-03 
       3.155332575151e-02       5.125325288063e-03 
       4.441123299759e-02       7.196093534787e-03 
       5.727583737264e-02       9.252471261185e-03 
       7.014334856092e-02       1.129174065848e-02 
       8.301247785211e-02       1.331211915415e-02 
       9.588267201464e-02       1.531220219978e-02 
       1.087536567745e-01       1.729084222525e-02 
       1.216252825280e-01       1.924719865170e-02 
       1.344974622189e-01       2.118051684166e-02 
       1.473701430070e-01       2.309004457290e-02 
       1.602432920786e-01       2.497546960611e-02 
       1.731168889999e-01       2.683648778071e-02 
       1.859909213484e-01       2.867274685297e-02 
       1.988653820912e-01       3.048410265794e-02 
       2.117402679488e-01       3.227037652670e-02 
       2.246155783373e-01       3.403146296995e-02 
       2.374913146644e-01       3.576734329048e-02 
       2.503674798490e-01       3.747796873830e-02 
       2.632440779862e-01       3.916340617379e-02 
       2.761211141087e-01       4.082370056410e-02 
       2.889985940146e-01       4.245895703501e-02 
       3.018765241413e-01       4.406926864734e-02 
       3.147549114710e-01       4.565480420754e-02 
       3.276337634612e-01       4.721569670459e-02 
       3.405130879910e-01       4.875212211504e-02 
       3.533928933205e-01       5.026452895521e-02 
       3.662731880602e-01       5.175257869348e-02 
       3.791539811476e-01       5.321665317874e-02 
       3.920352818282e-01       5.465724538243e-02 
       4.049170996431e-01       5.607468092721e-02 
       4.177994444176e-01       5.746869019032e-02 
       4.306823262544e-01       5.883871389376e-02 
       4.435657555277e-01       6.018671326924e-02 
       4.564497428799e-01       6.151153134154e-02 
       4.693342992194e-01       6.281379795767e-02 
       4.822194357193e-01       6.409484145360e-02 
       4.951051638177e-01       6.535363853940e-02 
       5.079914952183e-01       6.659075344379e-02 
       5.208784418920e-01       6.780668935384e-02 
       5.337660160789e-01       6.900044273317e-02 
       5.466542302911e-01       7.017448662877e-02 
       5.595430973156e-01       7.132697724301e-02 
       5.724326302178e-01       7.245957225853e-02 
       5.853228423454e-01       7.357196734324e-02 
       5.982137473327e-01       7.466324444356e-02 
       6.111053591045e-01       7.573567140349e-02 
       6.239976918817e-01       7.678852411361e-02 
       6.368907601854e-01       7.782195133752e-02 
       6.497845788427e-01       7.883548913747e-02 
       6.626791629919e-01       7.983033813734e-02 
