# Matter power spectrum P(k) at redshift z=1
# for k=0.000782008 to 826.306 h/Mpc,
# number of wavenumbers equal to 521
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.820083848374e-04       1.682878489154e-05 
       6.176822371528e-03       1.228492102127e-04 
       1.871764651806e-02       3.565994628205e-04 
       3.155027742853e-02       5.883734279606e-04 
       4.440693395037e-02       8.156678259387e-04 
       5.727028818301e-02       1.038940657068e-03 
       7.013654944960e-02       1.258444828932e-03 
       8.300442891518e-02       1.474325086259e-03 
       9.587337329377e-02       1.686681542138e-03 
       1.087431082837e-01       1.895593595185e-03 
       1.216134842655e-01       2.101127041778e-03 
       1.344844141732e-01       2.303336207210e-03 
       1.473558451604e-01       2.502239774275e-03 
       1.602277444086e-01       2.697898166983e-03 
       1.731000914808e-01       2.890346533357e-03 
       1.859728739519e-01       3.079617102921e-03 
       1.988460847869e-01       3.265742030270e-03 
       2.117197207044e-01       3.448753586653e-03 
       2.245937811191e-01       3.628684275678e-03 
       2.374682674373e-01       3.805566817256e-03 
       2.503431825766e-01       3.979433997363e-03 
       2.632185306308e-01       4.150319498790e-03 
       2.760943166317e-01       4.318257317963e-03 
       2.889705463762e-01       4.483282687465e-03 
       3.018472263006e-01       4.645430800705e-03 
       3.147243633863e-01       4.804737759110e-03 
       3.276019650894e-01       4.961239664874e-03 
       3.404800392882e-01       5.114972252117e-03 
       3.533585942418e-01       5.265972223978e-03 
       3.662376385597e-01       5.414274821769e-03 
       3.791171811782e-01       5.559916026488e-03 
       3.919972313420e-01       5.702931286531e-03 
       4.048777985909e-01       5.843355354960e-03 
       4.177588927494e-01       5.981222252393e-03 
       4.306405239188e-01       6.116567089813e-03 
       4.435227024726e-01       6.249421693513e-03 
       4.564054390518e-01       6.379821016907e-03 
       4.692887445638e-01       6.507797858644e-03 
       4.821726301805e-01       6.633384613118e-03 
       4.950571073389e-01       6.756612789946e-03 
       5.079421877415e-01       6.877515124101e-03 
       5.208278833580e-01       6.996125643102e-03 
       5.337142064273e-01       7.112471219941e-03 
       5.466011694602e-01       7.226585038036e-03 
       5.594887852423e-01       7.338499964285e-03 
       5.723770668380e-01       7.448242465826e-03 
       5.852660275935e-01       7.555844073850e-03 
       5.981556811417e-01       7.661344248608e-03 
       6.110460414062e-01       7.764948068867e-03 
       6.239371226064e-01       7.866311084327e-03 
       6.368289392619e-01       7.965672638629e-03 
       6.497215061985e-01       8.063026253942e-03 
       6.626148385529e-01       8.158398764836e-03 
       6.755089517789e-01       8.251831246322e-03 
       6.884038616527e-01       8.343346450258e-03 
       7.012995842796e-01       8.432929433594e-03 
       7.141961360997e-01       8.520616455052e-03 
       7.270935338946e-01       8.606533148209e-03 
       7.399917947941e-01       8.690610596705e-03 
       7.528909362828e-01       8.772888825150e-03 
       7.657909762070e-01       8.853317533546e-03 
       7.786919327825e-01       8.932077193414e-03 
       7.915938246010e-01       9.008881861372e-03 
       8.044966706386e-01       9.084188336620e-03 
       8.174004902629e-01       9.157803729321e-03 
       8.303053032410e-01       9.229765912172e-03 
       8.432111297479e-01       9.300063933836e-03 
       8.561179903746e-01       9.368771063269e-03 
       8.690259061366e-01       9.435878528736e-03 
       8.819348984825e-01       9.501411124852e-03 
       8.948449893030e-01       9.565388406453e-03 
       9.077562009401e-01       9.627849462020e-03 
       9.206685561960e-01       9.688782718794e-03 
       9.335820783433e-01       9.748377154581e-03 
       9.464967911337e-01       9.806159605501e-03 
       9.594127188090e-01       9.862626987342e-03 
       9.723298861106e-01       9.917695723611e-03 
       9.852483182900e-01       9.971311174053e-03 
       9.981680411194e-01       1.002352820983e-02 
       1.011089080903e+00       1.007438792247e-02 
       1.024011464487e+00       1.012385210975e-02 
       1.036935219272e+00       1.017196467936e-02 
       1.049860373225e+00       1.021893209682e-02 
       1.062786954889e+00       1.026417637955e-02 
       1.075714993397e+00       1.030855310642e-02 
       1.088644518485e+00       1.035121840430e-02 
       1.101575560502e+00       1.039302994139e-02 
       1.114508150426e+00       1.043339406180e-02 
       1.127442319874e+00       1.047250053477e-02 
       1.140378101119e+00       1.051018292781e-02 
       1.153315527101e+00       1.054690950087e-02 
       1.166254631441e+00       1.058257686665e-02 
       1.179195448460e+00       1.061669914731e-02 
       1.192138013186e+00       1.065001839023e-02 
       1.205082361376e+00       1.068184731324e-02 
       1.218028529529e+00       1.071271929325e-02 
       1.230976554900e+00       1.074247741140e-02 
       1.243926475519e+00       1.077112329591e-02 
       1.256878330203e+00       1.079867881578e-02 
       1.269832158581e+00       1.082519115706e-02 
       1.282788001102e+00       1.085058294636e-02 
       1.295745899058e+00       1.087494683167e-02 
       1.308705894601e+00       1.089827987597e-02 
       1.321668030761e+00       1.092061150372e-02 
       1.334632351465e+00       1.094192113551e-02 
       1.347598901555e+00       1.096217641175e-02 
       1.360567726811e+00       1.098169253670e-02 
       1.373538873967e+00       1.099983675525e-02 
       1.386512390734e+00       1.101723995351e-02 
       1.399488325822e+00       1.103364543745e-02 
       1.412466728959e+00       1.104914899623e-02 
       1.425447650914e+00       1.106370830637e-02 
       1.438431143520e+00       1.107737619281e-02 
       1.451417259697e+00       1.109013996138e-02 
       1.464406053476e+00       1.110203340931e-02 
       1.477397580021e+00       1.111302890411e-02 
       1.490391895657e+00       1.112312233311e-02 
       1.503389057892e+00       1.113242642094e-02 
       1.516389125445e+00       1.114084678960e-02 
       1.529392158272e+00       1.114844123437e-02 
       1.542398217594e+00       1.115541129262e-02 
       1.555407365921e+00       1.116125920019e-02 
       1.568419667085e+00       1.116644565762e-02 
       1.581435186267e+00       1.117100745396e-02 
       1.594453990027e+00       1.117445368570e-02 
       1.607476146334e+00       1.117731803148e-02 
       1.620501724596e+00       1.117957040951e-02 
       1.633530795696e+00       1.118075356241e-02 
       1.646563432020e+00       1.118138258306e-02 
       1.659599707494e+00       1.118127412574e-02 
       1.672639697616e+00       1.118064641609e-02 
       1.685683479493e+00       1.117912784478e-02 
       1.698731131874e+00       1.117676088299e-02 
       1.711782735190e+00       1.117401828058e-02 
       1.724838371590e+00       1.117031517413e-02 
       1.737898124980e+00       1.116625083083e-02 
       1.750962081064e+00       1.116129707790e-02 
       1.764030327382e+00       1.115570956883e-02 
       1.777102953353e+00       1.114957726309e-02 
