# Matter power spectrum P(k) at redshift z=1.5
# for k=0.000782008 to 826.306 h/Mpc,
# number of wavenumbers equal to 521
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.820083848374e-04       1.050978265918e-05 
       6.176822371528e-03       7.672121083569e-05 
       1.871764651806e-02       2.227151809616e-04 
       3.155027742853e-02       3.675018371211e-04 
       4.440693395037e-02       5.095264884831e-04 
       5.727028818301e-02       6.490753375408e-04 
       7.013654944960e-02       7.862997339176e-04 
       8.300442891518e-02       9.212797368483e-04 
       9.587337329377e-02       1.054067403638e-03 
       1.087431082837e-01       1.184704553609e-03 
       1.216134842655e-01       1.313228417869e-03 
       1.344844141732e-01       1.439672523191e-03 
       1.473558451604e-01       1.564050103848e-03 
       1.602277444086e-01       1.686400841807e-03 
       1.731000914808e-01       1.806747899380e-03 
       1.859728739519e-01       1.925111635934e-03 
       1.988460847869e-01       2.041511725387e-03 
       2.117197207044e-01       2.155967845380e-03 
       2.245937811191e-01       2.268500112475e-03 
       2.374682674373e-01       2.379129145938e-03 
       2.503431825766e-01       2.487875778423e-03 
       2.632185306308e-01       2.594761303778e-03 
       2.760943166317e-01       2.699807013250e-03 
       2.889705463762e-01       2.803034772315e-03 
       3.018472263006e-01       2.904466361921e-03 
       3.147243633863e-01       3.004124210152e-03 
       3.276019650894e-01       3.102030859206e-03 
       3.404800392882e-01       3.198208682038e-03 
       3.533585942418e-01       3.292680649367e-03 
       3.662376385597e-01       3.385468752723e-03 
       3.791171811782e-01       3.476595386998e-03 
       3.919972313420e-01       3.566082595222e-03 
       4.048777985909e-01       3.653951934772e-03 
       4.177588927494e-01       3.740224658841e-03 
       4.306405239188e-01       3.824922953622e-03 
       4.435227024726e-01       3.908066486876e-03 
       4.564054390518e-01       3.989677180583e-03 
       4.692887445638e-01       4.069775199490e-03 
       4.821726301805e-01       4.148380920828e-03 
       4.950571073389e-01       4.225513920133e-03 
       5.079421877415e-01       4.301194604049e-03 
       5.208278833580e-01       4.375444234839e-03 
       5.337142064273e-01       4.448279550849e-03 
       5.466011694602e-01       4.519721257736e-03 
       5.594887852423e-01       4.589789793097e-03 
       5.723770668380e-01       4.658501726814e-03 
       5.852660275935e-01       4.725877344987e-03 
       5.981556811417e-01       4.791934870300e-03 
       6.110460414062e-01       4.856691271402e-03 
       6.239371226064e-01       4.920164756342e-03 
       6.368289392619e-01       4.982372283371e-03 
       6.497215061985e-01       5.043330019056e-03 
       6.626148385529e-01       5.103052590613e-03 
       6.755089517789e-01       5.161583385671e-03 
       6.884038616527e-01       5.219046036445e-03 
       7.012995842796e-01       5.275185153045e-03 
       7.141961360997e-01       5.330148227764e-03 
       7.270935338946e-01       5.383955901860e-03 
       7.399917947941e-01       5.436618330826e-03 
       7.528909362828e-01       5.488155738928e-03 
       7.657909762070e-01       5.538562781595e-03 
       7.786919327825e-01       5.587905344766e-03 
       7.915938246010e-01       5.636162957021e-03 
