# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.188570769299e-10       2.552947483762e-15       6.563279471849e-13       0.000000000000e+00       2.351345269174e-08      -2.658845793981e-09      -1.857083024136e-12 
    3       3.809574705353e-10       4.872070816975e-15       6.339564226981e-13       0.000000000000e+00       1.395855085328e-08      -1.748329525405e-09      -1.510351554992e-12 
    4       3.059206121490e-10       7.118509279875e-15       6.029121894778e-13       0.000000000000e+00       9.639301042847e-09      -1.269332761386e-09      -1.275636701223e-12 
    5       2.591879092228e-10       8.580055115552e-15       5.596991590032e-13       0.000000000000e+00       7.161621544287e-09      -9.764597966157e-10      -1.072204722222e-12 
    6       2.274168783086e-10       8.931927373445e-15       5.063778414988e-13       0.000000000000e+00       5.560949636978e-09      -7.803543028166e-10      -8.800900375813e-13 
    7       2.045696543271e-10       8.254881254915e-15       4.489018986213e-13       0.000000000000e+00       4.459734319048e-09      -6.412682829975e-10      -7.016230677352e-13 
    8       1.875496836872e-10       6.876258616920e-15       3.915271434044e-13       0.000000000000e+00       3.669168695215e-09      -5.383594396130e-10      -5.397598270343e-13 
    9       1.745255784129e-10       5.208351531919e-15       3.371636026322e-13       0.000000000000e+00       3.081676283927e-09      -4.597387419871e-10      -3.967597707511e-13 
   10       1.643953731339e-10       3.616590983092e-15       2.876364777197e-13       0.000000000000e+00       2.631966279412e-09      -3.980514161232e-10      -2.739754307214e-13 
   11       1.564176333910e-10       2.342203854024e-15       2.440034972366e-13       0.000000000000e+00       1.991681684275e-09      -3.301441799624e-10      -1.725251263389e-13 
   12       1.500458326884e-10       1.481745638138e-15       2.068955516876e-13       0.000000000000e+00       1.725405715289e-09      -2.905403346493e-10      -9.128759364263e-14 
   13       1.449605770987e-10       1.010045777046e-15       1.765627509642e-13       0.000000000000e+00       1.508925949239e-09      -2.576314468138e-10      -2.900802087532e-14 
   14       1.409156106366e-10       8.265950765803e-16       1.529840652534e-13       0.000000000000e+00       1.330446661735e-09      -2.300839266594e-10       1.527784513319e-14 
   15       1.376577693496e-10       8.060957488938e-16       1.359457786834e-13       0.000000000000e+00       1.181497200942e-09      -2.065713358876e-10       4.398047999200e-14 
   16       1.350568372354e-10       8.388472985418e-16       1.249539382783e-13       0.000000000000e+00       1.055860132948e-09      -1.864258618910e-10       5.894610449511e-14 
   17       1.330232264357e-10       8.536579144962e-16       1.192454346790e-13       0.000000000000e+00       9.488905387845e-10      -1.688838429964e-10       6.297554499113e-14 
   18       1.314133588398e-10       8.218991701381e-16       1.179644894041e-13       0.000000000000e+00       8.566183992350e-10      -1.536187790852e-10       5.851545742585e-14 
