# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.188539997888e-10       2.553357268624e-15       6.563264195654e-13       4.071377155930e-19       2.351317841395e-08      -2.658828189044e-09      -1.857081187854e-12 
    3       3.809557672763e-10       4.872891125190e-15       6.339548956637e-13       8.149959319677e-19       1.395842021061e-08      -1.748318465452e-09      -1.510350501844e-12 
    4       3.059202025271e-10       7.119874693283e-15       6.029106942389e-13       1.359892715163e-18       9.639229391049e-09      -1.269323707133e-09      -1.275635991195e-12 
    5       2.591888873601e-10       8.582100234633e-15       5.596976539249e-13       2.042693033787e-18       7.161575102319e-09      -9.764525326700e-10      -1.072204055127e-12 
    6       2.274196795485e-10       8.934788724689e-15       5.063762390139e-13       2.864399508070e-18       5.560915205989e-09      -7.803485419164e-10      -8.800892880799e-13 
    7       2.045745431297e-10       8.258698313882e-15       4.489000783100e-13       3.826105415618e-18       4.459708772058e-09      -6.412635420929e-10      -7.016222097784e-13 
    8       1.875567079059e-10       6.881173694264e-15       3.915249478326e-13       4.928943384628e-18       3.669149840352e-09      -5.383554920561e-10      -5.397588722327e-13 
    9       1.745349968064e-10       5.214508963881e-15       3.371608313006e-13       6.174032166845e-18       3.081660382462e-09      -4.597354749443e-10      -3.967587501517e-13 
   10       1.644075429481e-10       3.624136064827e-15       2.876328942956e-13       7.562423986587e-18       2.631955049779e-09      -3.980486832501e-10      -2.739743920284e-13 
   11       1.564327498263e-10       2.351281882903e-15       2.439988467239e-13       9.095054954641e-18       1.991673846949e-09      -3.301417643821e-10      -1.725241156251e-13 
   12       1.500640794352e-10       1.492501303407e-15       2.068895478398e-13       1.077270091634e-17       1.725398953771e-09      -2.905381944065e-10      -9.128663550753e-14 
   13       1.449823430962e-10       1.022622944374e-15       1.765550745762e-13       1.259594087640e-17       1.508920066825e-09      -2.576295459478e-10      -2.900725003757e-14 
   14       1.409413146145e-10       8.411368838575e-16       1.529743842956e-13       1.456512981859e-17       1.330441498576e-09      -2.300821627636e-10       1.527851104765e-14 
   15       1.376876325673e-10       8.227448610869e-16       1.359337335052e-13       1.668038232904e-17       1.181492646831e-09      -2.065696692219e-10       4.398101095711e-14 
   16       1.350909842175e-10       8.577461532966e-16       1.249391677225e-13       1.894156795660e-17       1.055856091666e-09      -1.864243435996e-10       5.894643241119e-14 
   17       1.330620241919e-10       8.749488404760e-16       1.192275945462e-13       2.134831872068e-17       9.488869400794e-10      -1.688824527969e-10       6.297576177256e-14 
   18       1.314572256188e-10       8.457243727626e-16       1.179432052480e-13       2.390004239680e-17       8.566151920149e-10      -1.536175015352e-10       5.851553966534e-14 
   19       1.302574644633e-10       7.797977700734e-16       1.203682604763e-13       2.659598453513e-17       7.776034850181e-10      -1.404219913519e-10       4.780021537270e-14 
   20       1.293783195424e-10       7.019550820930e-16       1.253988353917e-13       2.943520179235e-17       7.084029177131e-10      -1.286891735180e-10       3.376160048401e-14 
   21       1.287887845972e-10       6.372862145333e-16       1.322631274476e-13       3.241670018254e-17       6.478041806428e-10      -1.182697324364e-10       1.827287776922e-14 
   22       1.284198085132e-10       6.104525599646e-16       1.401200910367e-13       3.553940038704e-17       5.943093129481e-10      -1.089977402643e-10       3.050845236678e-15 
   23       1.282631538765e-10       6.252924062215e-16       1.483951422763e-13       3.880228810259e-17       5.471032592533e-10      -1.007672385667e-10      -1.067077543014e-14 
   24       1.282918614767e-10       6.755252241859e-16       1.565406491033e-13       4.220437950303e-17       5.049934061113e-10      -9.338700319835e-11      -2.185138118766e-14 
   25       1.284882058136e-10       7.481186904612e-16       1.642485213520e-13       4.574487994231e-17       4.674327027153e-10      -8.675323182154e-11      -3.002865655352e-14 
   26       1.288143292906e-10       8.264912435947e-16       1.712900899992e-13       4.942314353330e-17       4.336973927852e-10      -8.072907638170e-11      -3.505554605403e-14 
   27       1.292665160087e-10       9.019002027988e-16       1.775922131400e-13       5.323880194104e-17       4.033469188868e-10      -7.526305273714e-11      -3.708124781673e-14 
   28       1.298350578684e-10       9.690685867479e-16       1.831571182310e-13       5.719173666358e-17       3.758201005410e-10      -7.029139897852e-11      -3.647878738871e-14 
   29       1.305187458378e-10       1.031698432501e-15       1.880655656644e-13       6.128218230514e-17       3.509547884094e-10      -6.578591404525e-11      -3.367378518198e-14 
   30       1.312983174592e-10       1.097745885016e-15       1.924577504210e-13       6.551069177468e-17       3.284618147193e-10      -6.168276893702e-11      -2.927006327392e-14 
   31       1.321392698315e-10       1.176049621199e-15       1.965067223555e-13       6.987812363097e-17       3.078547322637e-10      -5.788466705539e-11      -2.400389265581e-14 
   32       1.330444358415e-10       1.271163588308e-15       2.003481696468e-13       7.438561552218e-17       2.890140270755e-10      -5.438042528677e-11      -1.837683893664e-14 
   33       1.340175982489e-10       1.386677861528e-15       2.041281721344e-13       7.903464887411e-17       2.717950892279e-10      -5.116351884056e-11      -1.290320961393e-14 
   34       1.350527017215e-10       1.525435241877e-15       2.079968523417e-13       8.382701285484e-17       2.559427571300e-10      -4.820655447065e-11      -8.121451568227e-15 
   35       1.361494817844e-10       1.685592087058e-15       2.120171945321e-13       8.876455726437e-17       2.413674509941e-10      -4.549070256210e-11      -4.276775535080e-15 
   36       1.373010229943e-10       1.863065147496e-15       2.162240044308e-13       9.384939136099e-17       2.279435465088e-10      -4.298243760083e-11      -1.529354016535e-15 
   37       1.384944598362e-10       2.053642036505e-15       2.206293565553e-13       9.908379813650e-17       2.154861004703e-10      -4.063782984085e-11       3.461422432251e-18 
   38       1.397317043563e-10       2.256990287918e-15       2.251617500586e-13       1.044696461532e-16       2.039581539066e-10      -3.845143699658e-11       3.850667110599e-16 
   39       1.410140667369e-10       2.473921823756e-15       2.297037760076e-13       1.100088020844e-16       1.933190644058e-10      -3.642117839229e-11      -2.270026996846e-16 
   40       1.423358046922e-10       2.705325274077e-15       2.341054240233e-13       1.157032957929e-16       1.834616074031e-10      -3.453398559202e-11      -1.612155247633e-15 
   41       1.436877652255e-10       2.951961294008e-15       2.381995081010e-13       1.215550913995e-16       1.742484167296e-10      -3.277091650065e-11      -3.509656558964e-15 
   42       1.450714296960e-10       3.213757857304e-15       2.418595899857e-13       1.275652968121e-16       1.656494691467e-10      -3.112686707263e-11      -5.707332419149e-15 
