# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.188652100967e-10       2.553338941075e-15       6.563360127465e-13       4.071440269160e-19       2.351504867310e-08      -2.658862264912e-09      -1.857092506420e-12 
    3       3.809603696216e-10       4.872854372552e-15       6.339637673371e-13       8.150085863964e-19       1.395936446699e-08      -1.748321708586e-09      -1.510356151269e-12 
    4       3.059213300425e-10       7.119835985064e-15       6.029186598970e-13       1.359913874866e-18       9.639795931508e-09      -1.269323196675e-09      -1.275639567646e-12 
    5       2.591879681019e-10       8.582080699078e-15       5.597047308071e-13       2.042724898823e-18       7.161974823946e-09      -9.764492358475e-10      -1.072207483669e-12 
    6       2.274171263695e-10       8.934803069269e-15       5.063824874409e-13       2.864444322178e-18       5.561225418590e-09      -7.803437170370e-10      -8.800933555987e-13 
    7       2.045708844673e-10       8.258748891846e-15       4.489055385008e-13       3.826165469807e-18       4.459951314775e-09      -6.412587205085e-10      -7.016270880747e-13 
    8       1.875525301581e-10       6.881251302013e-15       3.915296897047e-13       4.929021018378e-18       3.669344658723e-09      -5.383501506454e-10      -5.397644523269e-13 
    9       1.745305594270e-10       5.214597635201e-15       3.371649489689e-13       6.174129766819e-18       3.081830926166e-09      -4.597290480153e-10      -3.967647882202e-13 
   10       1.644028251684e-10       3.624219118417e-15       2.876364280853e-13       7.562543982902e-18       2.632087784711e-09      -3.980419051468e-10      -2.739805766855e-13 
   11       1.564280272297e-10       2.351346955098e-15       2.440017575074e-13       9.095199814847e-18       1.991763736521e-09      -3.301364966092e-10      -1.725301757691e-13 
   12       1.500595699259e-10       1.492542970417e-15       2.068918757677e-13       1.077287313736e-17       1.725477035541e-09      -2.905335871588e-10      -9.129238788077e-14 
   13       1.449780163289e-10       1.022642709510e-15       1.765569503120e-13       1.259614297482e-17       1.508988395084e-09      -2.576252712533e-10      -2.901182440988e-14 
   14       1.409372717791e-10       8.411411085971e-16       1.529757723406e-13       1.456536431972e-17       1.330501754583e-09      -2.300783096159e-10       1.527456948565e-14 
   15       1.376837764713e-10       8.227417234472e-16       1.359345777476e-13       1.668065175529e-17       1.181545908616e-09      -2.065662987341e-10       4.397782903506e-14 
   16       1.350873608417e-10       8.577428385449e-16       1.249395595673e-13       1.894187481571e-17       1.055903452158e-09      -1.864212570165e-10       5.894447906765e-14 
   17       1.330584622575e-10       8.749497351554e-16       1.192276460547e-13       2.134866549439e-17       9.489292423849e-10      -1.688796687626e-10       6.297454628544e-14 
   18       1.314538132214e-10       8.457302946250e-16       1.179429500647e-13       2.390043153023e-17       8.566531210100e-10      -1.536148717772e-10       5.851519865113e-14 
   19       1.302543250205e-10       7.798072284640e-16       1.203677422373e-13       2.659641842924e-17       7.776376595878e-10      -1.404194852189e-10       4.780080618135e-14 
   20       1.293754669936e-10       7.019647571041e-16       1.253981330085e-13       2.943568279510e-17       7.084337550133e-10      -1.286869957324e-10       3.376270865735e-14 
   21       1.287861674858e-10       6.372930673504e-16       1.322622984197e-13       3.241723058680e-17       6.478320611946e-10      -1.182678772730e-10       1.827415858262e-14 
   22       1.284173391974e-10       6.104548588639e-16       1.401191584802e-13       3.553998242686e-17       5.943345881217e-10      -1.089959005279e-10       3.052210335974e-15 
   23       1.282608070677e-10       6.252898947028e-16       1.483941722120e-13       3.880292395663e-17       5.471262487088e-10      -1.007653693280e-10      -1.066940250508e-14 
   24       1.282896961730e-10       6.755192260533e-16       1.565397598241e-13       4.220507129651e-17       5.050143693203e-10      -9.338544189067e-11      -2.185013657917e-14 
   25       1.284862345250e-10       7.481110817617e-16       1.642477695606e-13       4.574562975636e-17       4.674518755414e-10      -8.675205572205e-11      -3.002767516672e-14 
   26       1.288124918984e-10       8.264839190330e-16       1.712894380282e-13       4.942395341259e-17       4.337149785980e-10      -8.072795603318e-11      -3.505492981942e-14 
   27       1.292648069669e-10       9.018941696316e-16       1.775916185859e-13       5.323967390738e-17       4.033630888554e-10      -7.526183730574e-11      -3.708103552786e-14 
   28       1.298335532806e-10       9.690636288210e-16       1.831565602519e-13       5.719267272835e-17       3.758349847800e-10      -7.029027419517e-11      -3.647894688067e-14 
   29       1.305174838135e-10       1.031693755966e-15       1.880650207256e-13       6.128318448631e-17       3.509685087963e-10      -6.578505316033e-11      -3.367427047153e-14 
   30       1.312972466258e-10       1.097740253671e-15       1.924571840180e-13       6.551176211252e-17       3.284744843579e-10      -6.168219981590e-11      -2.927083471331e-14 
   31       1.321382604151e-10       1.176041451645e-15       1.965060925785e-13       6.987926420302e-17       3.078664467828e-10      -5.788427285069e-11      -2.400491079075e-14 
   32       1.330434132679e-10       1.271151654837e-15       2.003474491506e-13       7.438682845655e-17       2.890248777569e-10      -5.438010313770e-11      -1.837801937253e-14 
   33       1.340166024868e-10       1.386661638431e-15       2.041273592598e-13       7.903593636618e-17       2.718051607283e-10      -5.116324073477e-11      -1.290440135731e-14 
   34       1.350518756584e-10       1.525414933165e-15       2.079959728826e-13       8.382837718227e-17       2.559521221781e-10      -4.820636650581e-11      -8.122453760674e-15 
   35       1.361489153134e-10       1.685568064646e-15       2.120162857298e-13       8.876600078977e-17       2.413761772365e-10      -4.549064622186e-11      -4.277455291725e-15 
   36       1.373006894556e-10       1.863037778175e-15       2.162231107482e-13       9.385091654447e-17       2.279516944203e-10      -4.298252173016e-11      -1.529700831981e-15 
   37       1.384942226186e-10       2.053611645016e-15       2.206285240886e-13       9.908540754409e-17       2.154937206289e-10      -4.063803059933e-11       3.338589848854e-18 
