# Matter power spectrum P(k) at redshift z=0
# for k=0.000782016 to 65.9862 h/Mpc,
# number of wavenumbers equal to 534
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.820161544495e-04       1.273690837922e-04 
       6.177406594038e-03       1.006034403754e-03 
       1.871950862698e-02       3.045943845322e-03 
       3.155339270649e-02       5.125205271878e-03 
       4.441130000892e-02       7.195868815724e-03 
       5.727590440523e-02       9.252099469517e-03 
       7.014341560430e-02       1.129124721590e-02 
       8.301254490212e-02       1.331147135745e-02 
       9.588273906934e-02       1.531140545623e-02 
       1.087537238329e-01       1.728991975172e-02 
       1.216253495894e-01       1.924613441401e-02 
       1.344975292831e-01       2.117934478021e-02 
       1.473702100737e-01       2.308872395410e-02 
       1.602433591476e-01       2.497402294536e-02 
       1.731169560713e-01       2.683489690721e-02 
       1.859909884220e-01       2.867105035968e-02 
       1.988654491670e-01       3.048228366919e-02 
       2.117403350268e-01       3.226842893773e-02 
       2.246156454175e-01       3.402941512539e-02 
       2.374913817468e-01       3.576516467693e-02 
       2.503675469337e-01       3.747569570385e-02 
       2.632441450732e-01       3.916101826894e-02 
       2.761211811979e-01       4.082120662573e-02 
       2.889986611062e-01       4.245634596454e-02 
       3.018765912352e-01       4.406656833173e-02 
       3.147549785674e-01       4.565198872873e-02 
       3.276338305600e-01       4.721277931178e-02 
       3.405131550923e-01       4.874911286355e-02 
       3.533929604243e-01       5.026130840238e-02 
       3.662732551666e-01       5.174934736772e-02 
       3.791540482566e-01       5.321337430298e-02 
       3.920353489399e-01       5.465368717221e-02 
       4.049171667575e-01       5.607055532963e-02 
       4.177995115348e-01       5.746412300628e-02 
       4.306823933744e-01       5.883465716895e-02 
       4.435658226506e-01       6.018235183784e-02 
       4.564498100057e-01       6.150745936265e-02 
       4.693343663482e-01       6.281018993087e-02 
       4.822195028512e-01       6.409078900667e-02 
       4.951052309527e-01       6.534949739520e-02 
       5.079915623564e-01       6.658651412246e-02 
       5.208785090334e-01       6.780210268070e-02 
       5.337660832236e-01       6.899649598185e-02 
       5.466542974392e-01       7.016991790406e-02 
       5.595431644671e-01       7.132261728505e-02 
       5.724326973728e-01       7.245480198144e-02 
       5.853229095040e-01       7.356674164434e-02 
       5.982138144949e-01       7.465865617850e-02 
       6.111054262704e-01       7.573074251479e-02 
       6.239977590514e-01       7.678323051234e-02 
       6.368908273590e-01       7.781636761017e-02 
       6.497846460203e-01       7.883033146592e-02 
       6.626792301735e-01       7.982539682568e-02 
       6.755745952739e-01       8.080174715691e-02 
       6.884707570994e-01       8.175957685547e-02 
       7.013677317567e-01       8.269917079274e-02 
       7.142655356877e-01       8.362068953248e-02 
       7.271641856755e-01       8.452429075447e-02 
       7.400636988516e-01       8.541025278503e-02 
       7.529640927022e-01       8.627881983031e-02 
       7.658653850757e-01       8.713007378615e-02 
       7.787675941892e-01       8.796430812552e-02 
       7.916707386366e-01       8.878169039063e-02 
       8.045748373956e-01       8.958239666376e-02 
       8.174799098358e-01       9.036660990767e-02 
       8.303859757262e-01       9.113458232874e-02 
       8.432930552439e-01       9.188646936315e-02 
       8.562011689817e-01       9.262245255087e-02 
       8.691103379572e-01       9.334268145883e-02 
       8.820205836211e-01       9.404736160484e-02 
       8.949319278664e-01       9.473666225996e-02 
       9.078443930370e-01       9.541073170356e-02 
       9.207580019375e-01       9.606987372687e-02 
       9.336727778427e-01       9.671412718292e-02 
       9.465887445067e-01       9.734368738790e-02 
       9.595059261735e-01       9.795877252104e-02 
       9.724243475870e-01       9.855949763521e-02 
       9.853440340012e-01       9.914607712159e-02 
       9.982650111907e-01       9.971855898316e-02 
       1.011187305462e+00       1.002772425234e-01 
       1.024110943665e+00       1.008221807662e-01 
       1.037035953202e+00       1.013536477780e-01 
       1.049962362042e+00       1.018717263546e-01 
       1.062890198732e+00       1.023765096067e-01 
       1.075819492409e+00       1.028682595823e-01 
