# Matter power spectrum P(k) at redshift z=0
# for k=0.000782008 to 65.9862 h/Mpc,
# number of wavenumbers equal to 534
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.820083848374e-04       1.273744292888e-04 
       6.177346143143e-03       1.006065223535e-03 
       1.871944193392e-02       3.046008370566e-03 
       3.155332575151e-02       5.125325290548e-03 
       4.441123299759e-02       7.196093537072e-03 
       5.727583737264e-02       9.252471274409e-03 
       7.014334856092e-02       1.129174066209e-02 
       8.301247785211e-02       1.331211915961e-02 
       9.588267201464e-02       1.531220220292e-02 
       1.087536567745e-01       1.729084209363e-02 
       1.216252825280e-01       1.924719873879e-02 
       1.344974622189e-01       2.118051643476e-02 
       1.473701430070e-01       2.309004450316e-02 
       1.602432920786e-01       2.497546952657e-02 
       1.731168889999e-01       2.683648784682e-02 
       1.859909213484e-01       2.867274687351e-02 
       1.988653820912e-01       3.048410272134e-02 
       2.117402679488e-01       3.227037653503e-02 
       2.246155783373e-01       3.403146298151e-02 
       2.374913146644e-01       3.576734331440e-02 
       2.503674798490e-01       3.747796877029e-02 
       2.632440779862e-01       3.916340620256e-02 
       2.761211141087e-01       4.082370055432e-02 
       2.889985940146e-01       4.245895711008e-02 
       3.018765241413e-01       4.406926867851e-02 
       3.147549114710e-01       4.565480424010e-02 
       3.276337634612e-01       4.721569672009e-02 
       3.405130879910e-01       4.875212213660e-02 
       3.533928933205e-01       5.026452896979e-02 
       3.662731880602e-01       5.175263244263e-02 
       3.791539811476e-01       5.321665310235e-02 
       3.920352818282e-01       5.465724538513e-02 
       4.049170996431e-01       5.607468109044e-02 
       4.177994444176e-01       5.746869037977e-02 
       4.306823262544e-01       5.883871367946e-02 
       4.435657555277e-01       6.018671341038e-02 
       4.564497428799e-01       6.151153153163e-02 
       4.693342992194e-01       6.281379772480e-02 
       4.822194357193e-01       6.409484159029e-02 
       4.951051638177e-01       6.535363850120e-02 
       5.079914952183e-01       6.659075343072e-02 
       5.208784418920e-01       6.780668945285e-02 
       5.337660160789e-01       6.900089321811e-02 
       5.466542302911e-01       7.017448697268e-02 
       5.595430973156e-01       7.132697713295e-02 
       5.724326302178e-01       7.245957236512e-02 
       5.853228423454e-01       7.357196758643e-02 
       5.982137473327e-01       7.466324434367e-02 
       6.111053591045e-01       7.573567148880e-02 
       6.239976918817e-01       7.678852429042e-02 
       6.368907601854e-01       7.782195158948e-02 
       6.497845788427e-01       7.883548916230e-02 
       6.626791629919e-01       7.983033806662e-02 
       6.755745280882e-01       8.080723760418e-02 
       6.884706899095e-01       8.176395670981e-02 
       7.013676645626e-01       8.270417802075e-02 
       7.142654684892e-01       8.362625863003e-02 
       7.271641184725e-01       8.452875556852e-02 
       7.400636316441e-01       8.541638230593e-02 
       7.529640254901e-01       8.628461122741e-02 
       7.658653178588e-01       8.713586956127e-02 
       7.787675269675e-01       8.797037981219e-02 
       7.916706714100e-01       8.878673317137e-02 
       8.045747701640e-01       8.958822888411e-02 
       8.174798425990e-01       9.037276323839e-02 
       8.303859084842e-01       9.114099679556e-02 
       8.432929879966e-01       9.189243152609e-02 
       8.562011017289e-01       9.262878995480e-02 
       8.691102706989e-01       9.334884797864e-02 
       8.820205163571e-01       9.405507085966e-02 
       8.949318605966e-01       9.474263707243e-02 
       9.078443257613e-01       9.541689817959e-02 
       9.207579346559e-01       9.607561769468e-02 
       9.336727105549e-01       9.671969730387e-02 
       9.465886772126e-01       9.735035844868e-02 
       9.595058588730e-01       9.796400376089e-02 
       9.724242802800e-01       9.856497873055e-02 
       9.853439666875e-01       9.915213518883e-02 
       9.982649438703e-01       9.972503383884e-02 
       1.011187238135e+00       1.002842632464e-01 
