# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.188645624886e-10       2.552931797587e-15       6.563360211763e-13       0.000000000000e+00       2.351504867310e-08      -2.658862264912e-09      -1.857092506420e-12 
    3       3.809590660466e-10       4.872039369298e-15       6.339638047076e-13       0.000000000000e+00       1.395936446699e-08      -1.748321708586e-09      -1.510356151269e-12 
    4       3.059191392959e-10       7.118476097435e-15       6.029187665269e-13       0.000000000000e+00       9.639795931508e-09      -1.269323196675e-09      -1.275639567646e-12 
    5       2.591846490761e-10       8.580038064249e-15       5.597049716082e-13       0.000000000000e+00       7.161974823946e-09      -9.764492358475e-10      -1.072207483669e-12 
    6       2.274124266000e-10       8.931938871238e-15       5.063829560147e-13       0.000000000000e+00       5.561225418590e-09      -7.803437170370e-10      -8.800933555987e-13 
    7       2.045645392926e-10       8.254923301285e-15       4.489063600387e-13       0.000000000000e+00       4.459951314775e-09      -6.412587205085e-10      -7.016270880747e-13 
    8       1.875442625510e-10       6.876323474257e-15       3.915310225966e-13       0.000000000000e+00       3.669344658723e-09      -5.383501506454e-10      -5.397644523269e-13 
    9       1.745200805270e-10       5.208425766212e-15       3.371669850997e-13       0.000000000000e+00       3.081830926166e-09      -4.597290480153e-10      -3.967647882202e-13 
   10       1.643898355107e-10       3.616660555084e-15       2.876393918685e-13       0.000000000000e+00       2.632087784711e-09      -3.980419051468e-10      -2.739805766855e-13 
   11       1.564122186367e-10       2.342258352891e-15       2.440059037775e-13       0.000000000000e+00       1.991763736521e-09      -3.301364966092e-10      -1.725301757691e-13 
   12       1.500406279944e-10       1.481780488435e-15       2.068974867150e-13       0.000000000000e+00       1.725477035541e-09      -2.905335871588e-10      -9.129238788077e-14 
   13       1.449556234206e-10       1.010062230490e-15       1.765643317025e-13       0.000000000000e+00       1.508988395084e-09      -2.576252712533e-10      -2.901182440988e-14 
   14       1.409111103951e-10       8.265984696649e-16       1.529852493068e-13       0.000000000000e+00       1.330501754583e-09      -2.300783096159e-10       1.527456948565e-14 
   15       1.376535328753e-10       8.060929423911e-16       1.359464904675e-13       0.000000000000e+00       1.181545908616e-09      -2.065662987341e-10       4.397782903506e-14 
   16       1.350527287811e-10       8.388443202374e-16       1.249542591650e-13       0.000000000000e+00       1.055903452158e-09      -1.864212570165e-10       5.894447906765e-14 
   17       1.330191466238e-10       8.536584434861e-16       1.192454910534e-13       0.000000000000e+00       9.489292423849e-10      -1.688796687626e-10       6.297454628544e-14 
   18       1.314095335740e-10       8.219038850885e-16       1.179643035286e-13       0.000000000000e+00       8.566531210100e-10      -1.536148717772e-10       5.851519865113e-14 
   19       1.302048183418e-10       7.533040817684e-16       1.203929709430e-13       0.000000000000e+00       7.776376595878e-10      -1.404194852189e-10       4.780080618135e-14 
   20       1.293204908069e-10       6.726440343308e-16       1.254276060779e-13       0.000000000000e+00       7.084337550133e-10      -1.286869957324e-10       3.376270865735e-14 
   21       1.287255011980e-10       6.050145864400e-16       1.322963899352e-13       0.000000000000e+00       6.478320611946e-10      -1.182678772730e-10       1.827415858262e-14 
   22       1.283507859064e-10       5.750790033759e-16       1.401582493289e-13       0.000000000000e+00       5.943345881217e-10      -1.089959005279e-10       3.052210335974e-15 
   23       1.281881933823e-10       5.866773653459e-16       1.484386558501e-13       0.000000000000e+00       5.471262487088e-10      -1.007653693280e-10      -1.066940250508e-14 
   24       1.282108724963e-10       6.335308230063e-16       1.565900472779e-13       0.000000000000e+00       5.050143693203e-10      -9.338544189067e-11      -2.185013657917e-14 
   25       1.284010731569e-10       7.026073704854e-16       1.643042979823e-13       0.000000000000e+00       4.674518755414e-10      -8.675205572205e-11      -3.002767516672e-14 
   26       1.287208857032e-10       7.773249177264e-16       1.713526785077e-13       0.000000000000e+00       4.337149785980e-10      -8.072795603318e-11      -3.505492981942e-14 
   27       1.291666662011e-10       8.489389821850e-16       1.776620863706e-13       0.000000000000e+00       4.033630888554e-10      -7.526183730574e-11      -3.708103552786e-14 
   28       1.297288027732e-10       9.121701080946e-16       1.832348242422e-13       0.000000000000e+00       3.758349847800e-10      -7.029027419517e-11      -3.647894688067e-14 
   29       1.304060583786e-10       9.707182798067e-16       1.881517128710e-13       0.000000000000e+00       3.509685087963e-10      -6.578505316033e-11      -3.367427047153e-14 
   30       1.311790871942e-10       1.032537390308e-15       1.925530097204e-13       0.000000000000e+00       3.284744843579e-10      -6.168219981590e-11      -2.927083471331e-14 
   31       1.320133102083e-10       1.106463691255e-15       1.966118399711e-13       0.000000000000e+00       3.078664467828e-10      -5.788427285069e-11      -2.400491079075e-14 
   32       1.329116135099e-10       1.197049567786e-15       2.004639920793e-13       0.000000000000e+00       2.890248777569e-10      -5.438010313770e-11      -1.837801937253e-14 
   33       1.338778877218e-10       1.307883737131e-15       2.042556652277e-13       0.000000000000e+00       2.718051607283e-10      -5.116324073477e-11      -1.290440135731e-14 
   34       1.349061694530e-10       1.441807594733e-15       2.081371095031e-13       0.000000000000e+00       2.559521221781e-10      -4.820636650581e-11      -8.122453760674e-15 
   35       1.359961282956e-10       1.596976097531e-15       2.121714144048e-13       0.000000000000e+00       2.413761772365e-10      -4.549064622186e-11      -4.277455291725e-15 
   36       1.371407152397e-10       1.769304569185e-15       2.163934891276e-13       0.000000000000e+00       2.279516944203e-10      -4.298252173016e-11      -1.529700831981e-15 
   37       1.383269347611e-10       1.954579380143e-15       2.208155055999e-13       0.000000000000e+00       2.154937206289e-10      -4.063803059933e-11       3.338589848854e-18 
   38       1.395566960864e-10       2.152467765258e-15       2.253660113230e-13       0.000000000000e+00       2.039652948539e-10      -3.845172526692e-11       3.850548107731e-16 
   39       1.408313506173e-10       2.363781807149e-15       2.299276245973e-13       0.000000000000e+00       1.933257728302e-10      -3.642152861045e-11      -2.269811663365e-16 
   40       1.421452093106e-10       2.589410579433e-15       2.343503515647e-13       0.000000000000e+00       1.834679251607e-10      -3.453437738247e-11      -1.612131775323e-15 
   41       1.434891675444e-10       2.830115721224e-15       2.384670215433e-13       0.000000000000e+00       1.742543791537e-10      -3.277133544698e-11      -3.509617724821e-15 
   42       1.448646908736e-10       3.085827552892e-15       2.421512447531e-13       0.000000000000e+00       1.656551083393e-10      -3.112730226254e-11      -5.707261817003e-15 
   43       1.462731974499e-10       3.356127224302e-15       2.452743948583e-13       0.000000000000e+00       1.576449705713e-10      -2.959606297365e-11      -7.973936673749e-15 
   44       1.477117234288e-10       3.640425984286e-15       2.476883776828e-13       0.000000000000e+00       1.501625228558e-10      -2.816418926394e-11      -1.003192601377e-14 
   45       1.491753783391e-10       3.938174794016e-15       2.492518243091e-13       0.000000000000e+00       1.431314320510e-10      -2.681553514139e-11      -1.161383128869e-14 
   46       1.506665446275e-10       4.249591321973e-15       2.499206097464e-13       0.000000000000e+00       1.365391206612e-10      -2.554765938637e-11      -1.265986799239e-14 
   47       1.521877368233e-10       4.575133381455e-15       2.496825179736e-13       0.000000000000e+00       1.303767384316e-10      -2.435935103606e-11      -1.317501357000e-14 
   48       1.537387428945e-10       4.915300877814e-15       2.485327502881e-13       0.000000000000e+00       1.246154751760e-10      -2.324572766372e-11      -1.317529528355e-14 
   49       1.553163825005e-10       5.270638511635e-15       2.464743934540e-13       0.000000000000e+00       1.192050821348e-10      -2.219796147724e-11      -1.268855249552e-14 
   50       1.569162590596e-10       5.641788606948e-15       2.435211436911e-13       0.000000000000e+00       1.140887706444e-10      -2.120598867914e-11      -1.176326702246e-14 
   51       1.585391374722e-10       6.029660229529e-15       2.397052642162e-13       0.000000000000e+00       1.092561061673e-10      -2.026813999353e-11      -1.049611141119e-14 
   52       1.601858796824e-10       6.435310646459e-15       2.350725969088e-13       0.000000000000e+00       1.047019158256e-10      -1.938365078127e-11      -9.013195984669e-15 
   53       1.618554577535e-10       6.859904155153e-15       2.296810559344e-13       0.000000000000e+00       1.004104747956e-10      -1.854977590711e-11      -7.463769191199e-15 
   54       1.635448059464e-10       7.304717145366e-15       2.236012020489e-13       0.000000000000e+00       9.635479836250e-11      -1.776165622691e-11      -6.021359561921e-15 
   55       1.652503338730e-10       7.770889616816e-15       2.168971101818e-13       0.000000000000e+00       9.250474945293e-11      -1.701379891082e-11      -4.847991352228e-15 
   56       1.669732450199e-10       8.258595849703e-15       2.095620907094e-13       0.000000000000e+00       8.885534162338e-11      -1.630525491755e-11      -3.973805350163e-15 
   57       1.687152803642e-10       8.767676577442e-15       2.015680059061e-13       0.000000000000e+00       8.540422712078e-11      -1.563549385778e-11      -3.389533520668e-15 
   58       1.704770916634e-10       9.297869769012e-15       1.928833883512e-13       0.000000000000e+00       8.214314087353e-11      -1.500283374829e-11      -3.080514975515e-15 
   59       1.722581582516e-10       9.848805812613e-15       1.834732474394e-13       0.000000000000e+00       7.905753600682e-11      -1.440437037599e-11      -3.026399243113e-15 
   60       1.740567038350e-10       1.042000269931e-14       1.732988758918e-13       0.000000000000e+00       7.612621935809e-11      -1.383590666182e-11      -3.200849538312e-15 
   61       1.758706868306e-10       1.101101918473e-14       1.623201146920e-13       0.000000000000e+00       7.332718104255e-11      -1.329310219053e-11      -3.570553664577e-15 
   62       1.777012193766e-10       1.162196534363e-14       1.505031797063e-13       0.000000000000e+00       7.065743678819e-11      -1.277538311544e-11      -4.092668576271e-15 
   63       1.795497716005e-10       1.225309858965e-14       1.378142564772e-13       0.000000000000e+00       6.811701291071e-11      -1.228278852288e-11      -4.716273057528e-15 
   64       1.814171176278e-10       1.290467600198e-14       1.242170836207e-13       0.000000000000e+00       6.570298065177e-11      -1.181479642051e-11      -5.382697088645e-15 
