# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.294793331884e-10       6.807843308927e-15       5.092167444106e-13       0.000000000000e+00       9.596615506621e-09       3.346388800152e-10      -2.462751208802e-12 
    3       1.253985525442e-10       1.184210241880e-14       6.250688731460e-13       0.000000000000e+00       5.895974686215e-09       2.466637358303e-10      -2.181708630014e-12 
    4       1.202739776783e-10       1.432538110383e-14       6.430747434751e-13       0.000000000000e+00       4.089555706595e-09       1.913956473415e-10      -1.770402760342e-12 
    5       1.159631076130e-10       1.380445476763e-14       6.035959571349e-13       0.000000000000e+00       3.045834693014e-09       1.538199697943e-10      -1.348247911525e-12 
    6       1.127274707564e-10       1.115995368788e-14       5.343915256762e-13       0.000000000000e+00       2.375584253721e-09       1.267990558821e-10      -9.566706916750e-13 
    7       1.104974044415e-10       7.774337436742e-15       4.546344234017e-13       0.000000000000e+00       1.914335926333e-09       1.065334891572e-10      -6.181034782308e-13 
    8       1.090781693140e-10       4.791269993939e-15       3.759238534924e-13       0.000000000000e+00       1.580886118071e-09       9.084883845534e-11      -3.434988854081e-13 
    9       1.083538922179e-10       2.777230323007e-15       3.051836953627e-13       0.000000000000e+00       1.330746773215e-09       7.842045944190e-11      -1.361925828316e-13 
   10       1.081604024056e-10       1.743629106426e-15       2.464204242512e-13       0.000000000000e+00       1.137290586844e-09       6.841281534106e-11       6.395185681378e-15 
   11       1.083783027105e-10       1.377054343982e-15       2.015691217698e-13       0.000000000000e+00       9.514168386112e-10       6.061445240712e-11       9.070626692608e-14 
   12       1.089829758036e-10       1.302384089754e-15       1.707976990739e-13       0.000000000000e+00       8.306762005656e-10       5.361801964621e-11       1.280004635610e-13 
   13       1.098042265664e-10       1.258412730872e-15       1.529571390539e-13       0.000000000000e+00       7.316595460417e-10       4.798290222849e-11       1.301413056074e-13 
   14       1.108340660986e-10       1.148804828980e-15       1.460019014262e-13       0.000000000000e+00       6.493572101824e-10       4.301688699088e-11       1.077207109917e-13 
   15       1.120470800851e-10       9.984996379800e-16       1.473050557359e-13       0.000000000000e+00       5.801404183435e-10       3.891891248879e-11       7.214533759976e-14 
   16       1.133771984292e-10       8.746636293227e-16       1.541535894861e-13       0.000000000000e+00       5.213377212575e-10       3.548444773652e-11       3.238335432485e-14 
   17       1.148521853915e-10       8.236338585169e-16       1.640028685398e-13       0.000000000000e+00       4.709326818000e-10       3.251068053155e-11      -4.664499143960e-15 
   18       1.163787912495e-10       8.468283224577e-16       1.746895981395e-13       0.000000000000e+00       4.272104224092e-10       2.981652394016e-11      -3.437505987454e-14 
   19       1.179806940503e-10       9.158087394942e-16       1.850203141772e-13       0.000000000000e+00       3.894755285983e-10       2.741826841121e-11      -5.456909740752e-14 
