# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.294798541884e-10       6.808091717742e-15       5.092167390239e-13       2.484087483035e-19       9.596615506621e-09       3.346388800152e-10      -2.462751208802e-12 
    3       1.253995918997e-10       1.184259947032e-14       6.250688491937e-13       4.970508634926e-19       5.895974686215e-09       2.466637358303e-10      -2.181708630014e-12 
    4       1.202757041346e-10       1.432621003591e-14       6.430746748539e-13       8.289288612283e-19       4.089555706595e-09       1.913956473415e-10      -1.770402760342e-12 
    5       1.159656865921e-10       1.380569911101e-14       6.035958013809e-13       1.244332374424e-18       3.045834693014e-09       1.538199697943e-10      -1.348247911525e-12 
    6       1.127310636946e-10       1.116169732351e-14       5.343912207475e-13       1.743605608734e-18       2.375584253721e-09       1.267990558821e-10      -9.566706916750e-13 
    7       1.105021682303e-10       7.776664643057e-15       4.546338849786e-13       2.327136465686e-18       1.914335926333e-09       1.065334891572e-10      -6.181034782308e-13 
    8       1.090842558566e-10       4.794265482750e-15       3.759229728489e-13       2.995344451508e-18       1.580886118071e-09       9.084883845534e-11      -3.434988854081e-13 
    9       1.083614481091e-10       2.780979262955e-15       3.051823378369e-13       3.748667831733e-18       1.330746773215e-09       7.842045944190e-11      -1.361925828316e-13 
   10       1.081695687397e-10       1.748217133187e-15       2.464184283135e-13       4.587550518595e-18       1.137290586844e-09       6.841281534106e-11       6.395185681378e-15 
   11       1.083892150153e-10       1.382567556883e-15       2.015662986655e-13       5.512429185916e-18       9.514168386112e-10       6.061445240712e-11       9.070626692608e-14 
   12       1.089957640962e-10       1.308909034806e-15       1.707938329897e-13       6.523721094454e-18       8.306762005656e-10       5.361801964621e-11       1.280004635610e-13 
   13       1.098190155226e-10       1.266036370628e-15       1.529519877410e-13       7.621813079917e-18       7.316595460417e-10       4.798290222849e-11       1.301413056074e-13 
