# Matter power spectrum P(k) at redshift z=0
# for k=1.01485e-05 to 1.54609 h/Mpc,
# number of wavenumbers equal to 598
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.014853279144e-05       5.883539937702e+01 
       2.302815899738e-05       1.293992772295e+02 
       3.595226786123e-05       1.986183719674e+02 
       4.895562330852e-05       2.672854034699e+02 
       6.207355708043e-05       3.358419981728e+02 
       7.534228371160e-05       4.046147297212e+02 
       8.879922548355e-05       4.738802875455e+02 
       1.024833516783e-04       5.438919273381e+02 
       1.164355364901e-04       6.148928947303e+02 
       1.306989399859e-04       6.871244753074e+02 
       1.453194165142e-04       7.608315198444e+02 
       1.603459549027e-04       8.362667004681e+02 
       1.758311546101e-04       9.136941030516e+02 
       1.918317416356e-04       9.933924746615e+02 
       2.084091273355e-04       1.075658336367e+03 
       2.256300122320e-04       1.160809013281e+03 
       2.435670352514e-04       1.249185689666e+03 
       2.622994663712e-04       1.341156461109e+03 
       2.819139371371e-04       1.437119399150e+03 
       3.025051985789e-04       1.537505555622e+03 
       3.241768893525e-04       1.642781825723e+03 
       3.470422880426e-04       1.753453527760e+03 
       3.712250121125e-04       1.870066503936e+03 
       3.968596117137e-04       1.993208475714e+03 
       4.240919894903e-04       2.123509317023e+03 
       4.530795581426e-04       2.261639817932e+03 
       4.839910271897e-04       2.408308427716e+03 
       5.170056916064e-04       2.564255410548e+03 
       5.523120818783e-04       2.730243828059e+03 
       5.901058333541e-04       2.907046730353e+03 
       6.305866499270e-04       3.095430208884e+03 
       6.739542810012e-04       3.296132032945e+03 
       7.204035078955e-04       3.509836175438e+03 
       7.701182482129e-04       3.737143986958e+03 
       8.232650278173e-04       3.978543522243e+03 
       8.799862219991e-04       4.234379052934e+03 
       9.403936005671e-04       4.504823574061e+03 
       1.004562789220e-03       4.789857188037e+03 
       1.072529247811e-03       5.089254107470e+03 
       1.144286247345e-03       5.402580326995e+03 
       1.219785111027e-03       5.729202788852e+03 
       1.298937709012e-03       6.068309581994e+03 
       1.381620919876e-03       6.418922236810e+03 
       1.467682553710e-03       6.779947103422e+03 
       1.556948113235e-03       7.150259265200e+03 
       1.649227761972e-03       7.528662701557e+03 
       1.744322954845e-03       7.913953471636e+03 
       1.842032330973e-03       8.304947984617e+03 
       1.942156631296e-03       8.700505715811e+03 
