# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.318653986447e-10       6.857942298231e-15       5.023025792350e-13       0.000000000000e+00       9.437209464370e-09       3.545503218666e-10      -2.460799956909e-12 
    3       1.276782917918e-10       1.190011995902e-14       6.166363540832e-13       0.000000000000e+00       5.774860119287e-09       2.626876276864e-10      -2.179163133293e-12 
    4       1.223299512460e-10       1.432978863090e-14       6.349093545120e-13       0.000000000000e+00       4.004851973052e-09       2.045146436388e-10      -1.764229619514e-12 
    5       1.177773925732e-10       1.372709284611e-14       5.964254365334e-13       0.000000000000e+00       2.984508956587e-09       1.647366616225e-10      -1.338279723636e-12 
    6       1.143481039595e-10       1.102014248500e-14       5.283530341023e-13       0.000000000000e+00       2.328417955186e-09       1.359322148501e-10      -9.439490346474e-13 
    7       1.118976418409e-10       7.618228392097e-15       4.497593308786e-13       0.000000000000e+00       1.876901679505e-09       1.142670982276e-10      -6.040310909245e-13 
    8       1.103567236907e-10       4.662949758824e-15       3.721556945833e-13       0.000000000000e+00       1.550471606219e-09       9.755746172201e-11      -3.295631439024e-13 
    9       1.095303423901e-10       2.698789890686e-15       3.024039939947e-13       0.000000000000e+00       1.305227653860e-09       8.434540692285e-11      -1.237009953927e-13 
   10       1.092133882550e-10       1.711614609702e-15       2.445640883914e-13       0.000000000000e+00       1.115283543468e-09       7.363857699344e-11       1.648602163295e-14 
   11       1.093793782880e-10       1.372147973947e-15       2.004934178229e-13       0.000000000000e+00       9.340435445790e-10       6.514475489515e-11       9.771508627064e-14 
   12       1.098736288244e-10       1.303525355977e-15       1.703631311920e-13       0.000000000000e+00       8.156370054971e-10       5.775531102567e-11       1.322367437704e-13 
   13       1.106513326587e-10       1.253198022826e-15       1.531020077735e-13       0.000000000000e+00       7.185099099465e-10       5.164608679329e-11       1.313607421071e-13 
   14       1.116570872505e-10       1.136069970357e-15       1.466417885221e-13       0.000000000000e+00       6.377705647940e-10       4.659964805073e-11       1.071488449401e-13 
   15       1.128192720776e-10       9.841563269804e-16       1.483017233255e-13       0.000000000000e+00       5.698636906977e-10       4.207052124511e-11       6.993681525866e-14 
   16       1.141134687327e-10       8.652859538921e-16       1.552965448051e-13       0.000000000000e+00       5.121624416754e-10       3.825557643994e-11       2.936424690421e-14 
   17       1.155440741486e-10       8.220351390233e-16       1.650982615181e-13       0.000000000000e+00       4.626938644790e-10       3.502426650677e-11      -7.755930758037e-15 
   18       1.170560723870e-10       8.508815960175e-16       1.757150112894e-13       0.000000000000e+00       4.197797764947e-10       3.219843542265e-11      -3.686352949118e-14 
   19       1.186557483846e-10       9.217672705398e-16       1.859413258259e-13       0.000000000000e+00       3.827381044534e-10       2.971225025209e-11      -5.598403926242e-14 
   20       1.203214036766e-10       9.938129502188e-16       1.946956387255e-13       0.000000000000e+00       3.501280968586e-10       2.746211794207e-11      -6.464491473066e-14 
   21       1.220599001985e-10       1.055201395687e-15       2.018159815667e-13       0.000000000000e+00       3.214330088175e-10       2.544193158050e-11      -6.400402975397e-14 
