# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.318659115029e-10       6.858188299793e-15       5.023025739086e-13       2.460015015309e-19       9.437209464370e-09       3.545503218666e-10      -2.460799956909e-12 
    3       1.276793149527e-10       1.190061219439e-14       6.166363303978e-13       4.922347767952e-19       5.774860119287e-09       2.626876276864e-10      -2.179163133293e-12 
    4       1.223316509056e-10       1.433060953230e-14       6.349092866515e-13       8.208984986223e-19       4.004851973052e-09       2.045146436388e-10      -1.764229619514e-12 
    5       1.177799317134e-10       1.372832513621e-14       5.964252824944e-13       1.232280147339e-18       2.984508956587e-09       1.647366616225e-10      -1.338279723636e-12 
    6       1.143516417055e-10       1.102186923334e-14       5.283527325038e-13       1.726721219735e-18       2.328417955186e-09       1.359322148501e-10      -9.439490346474e-13 
    7       1.119023329167e-10       7.620533061482e-15       4.497587982795e-13       2.304606348163e-18       1.876901679505e-09       1.142670982276e-10      -6.040310909245e-13 
    8       1.103627179857e-10       4.665916240231e-15       3.721548233620e-13       2.966351211896e-18       1.550471606219e-09       9.755746172201e-11      -3.295631439024e-13 
    9       1.095377846432e-10       2.702502525613e-15       3.024026508159e-13       3.712389703976e-18       1.305227653860e-09       8.434540692285e-11      -1.237009953927e-13 
   10       1.092224178609e-10       1.716158199317e-15       2.445621132623e-13       4.543160843589e-18       1.115283543468e-09       7.363857699344e-11       1.648602163295e-14 
   11       1.093901292248e-10       1.377607774681e-15       2.004906237143e-13       5.459095931392e-18       9.340435445790e-10       6.514475489515e-11       9.771508627064e-14 
   12       1.098862296984e-10       1.309987061664e-15       1.703593041774e-13       6.460606432843e-18       8.156370054971e-10       5.775531102567e-11       1.322367437704e-13 
   13       1.106659068572e-10       1.260747733836e-15       1.530969076191e-13       7.548073043101e-18       7.185099099465e-10       5.164608679329e-11       1.313607421071e-13 
   14       1.116737531911e-10       1.144794150607e-15       1.466351496427e-13       8.721836337567e-18       6.377705647940e-10       4.659964805073e-11       1.071488449401e-13 
