# Matter power spectrum P(k) at redshift z=0
# for k=1.01961e-05 to 1.56726 h/Mpc,
# number of wavenumbers equal to 599
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.019610462037e-05       5.768574423903e+01 
       2.307583165754e-05       1.265568395275e+02 
       3.600016919696e-05       1.941285622814e+02 
       4.900388269140e-05       2.611769511586e+02 
       6.212230656058e-05       3.281370129527e+02 
       7.539165919790e-05       3.953318150103e+02 
       8.884936796869e-05       4.630358171836e+02 
       1.025344085249e-04       5.315006125911e+02 
       1.164876627936e-04       6.009680035398e+02 
       1.307523000313e-04       6.716778034107e+02 
       1.453741853422e-04       7.438731797382e+02 
       1.604023200007e-04       8.178047436810e+02 
       1.758893177446e-04       8.937339614994e+02 
       1.918919208368e-04       9.719362254001e+02 
       2.084715590456e-04       1.052703738557e+03 
       2.256949536224e-04       1.136348312161e+03 
       2.436347667049e-04       1.223204141604e+03 
       2.623702941179e-04       1.313630547552e+03 
       2.819881960135e-04       1.408014695936e+03 
       3.025832548621e-04       1.506774230358e+03 
       3.242591435895e-04       1.610359742211e+03 
       3.471291777592e-04       1.719256961215e+03 
       3.713170142392e-04       1.833988486746e+03 
       3.969572445062e-04       1.955114841602e+03 
       4.241958136552e-04       2.083234549178e+03 
       4.531901768052e-04       2.218982865604e+03 
       4.841090842653e-04       2.363028729721e+03 
       5.171318680746e-04       2.516069419602e+03 
       5.524470894296e-04       2.678822398867e+03 
       5.902504049009e-04       2.852013777157e+03 
       6.307415265789e-04       3.036363025041e+03 
       6.741201953279e-04       3.232563643938e+03 
       7.205811636491e-04       3.441259957692e+03 
       7.703082971600e-04       3.663020619523e+03 
       8.234680448858e-04       3.898310109851e+03 
       8.802026804943e-04       4.147459991851e+03 
       9.406238496239e-04       4.410642502437e+03 
       1.004807035796e-03       4.687849204827e+03 
       1.072787545286e-03       4.978877381715e+03 
       1.144558492162e-03       5.283326237930e+03 
       1.220071047859e-03       5.600604134386e+03 
       1.299236943886e-03       5.929946266561e+03 
