# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.905274542947e-10       3.380864723204e-15       8.130452047018e-13       0.000000000000e+00       2.284683727968e-08      -2.957226334440e-09      -2.236502661869e-12 
    3       4.279875073617e-10       6.770811623844e-15       8.089440073706e-13       0.000000000000e+00       1.443976515617e-08      -1.917682214502e-09      -1.868375396528e-12 
    4       3.410634087739e-10       1.031383538760e-14       7.849685588172e-13       0.000000000000e+00       1.004904180026e-08      -1.374491412067e-09      -1.603888873525e-12 
    5       2.874231837253e-10       1.301770829756e-14       7.424876684829e-13       0.000000000000e+00       7.464531104872e-09      -1.048064027687e-09      -1.373659876804e-12 
    6       2.510985563512e-10       1.427716059518e-14       6.842887784452e-13       0.000000000000e+00       5.811552008302e-09      -8.327276141421e-10      -1.155253076225e-12 
    7       2.249894035692e-10       1.400139601218e-14       6.176920731363e-13       0.000000000000e+00       4.689084777676e-09      -6.815664749305e-10      -9.497182826779e-13 
    8       2.054982425848e-10       1.247461175957e-14       5.482784240950e-13       0.000000000000e+00       3.888061940464e-09      -5.704473520656e-10      -7.599726861297e-13 
    9       1.905250296152e-10       1.018588807504e-14       4.800891961448e-13       0.000000000000e+00       3.290471908028e-09      -4.857847541412e-10      -5.883900323752e-13 
   10       1.788155560420e-10       7.661875942715e-15       4.157806834655e-13       0.000000000000e+00       2.826410058865e-09      -4.193776077381e-10      -4.366282570963e-13 
   11       1.695392164833e-10       5.339554949129e-15       3.569455099260e-13       0.000000000000e+00       2.073588207650e-09      -3.461061550179e-10      -3.063955976146e-13 
   12       1.620777038961e-10       3.496913140238e-15       3.046401799045e-13       0.000000000000e+00       1.794398498285e-09      -3.035919325143e-10      -1.971693927852e-13 
   13       1.560790387845e-10       2.239513258824e-15       2.594858241665e-13       0.000000000000e+00       1.567703260490e-09      -2.683641234092e-10      -1.079880934313e-13 
   14       1.512691654462e-10       1.529181088880e-15       2.217949980995e-13       0.000000000000e+00       1.381012501320e-09      -2.390047167590e-10      -3.881275859256e-14 
   15       1.473625883005e-10       1.236067653036e-15       1.916990467571e-13       0.000000000000e+00       1.225371223951e-09      -2.140703580025e-10       1.243066065100e-14 
   16       1.442120364528e-10       1.195602847925e-15       1.690104382476e-13       0.000000000000e+00       1.094212596109e-09      -1.928280721070e-10       4.687545176078e-14 
