# Matter power spectrum P(k) at redshift z=0.5
# for k=0.000782008 to 826.306 h/Mpc,
# number of wavenumbers equal to 521
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.820083848374e-04       3.225363900160e-05 
       6.176822371528e-03       2.354483179640e-04 
       1.871764651806e-02       6.833770649158e-04 
       3.155027742853e-02       1.127397692668e-03 
       4.440693395037e-02       1.562684166778e-03 
       5.727028818301e-02       1.990127220742e-03 
       7.013654944960e-02       2.410250544308e-03 
       8.300442891518e-02       2.823377030232e-03 
       9.587337329377e-02       3.229733276469e-03 
       1.087431082837e-01       3.629487683224e-03 
       1.216134842655e-01       4.022766691209e-03 
       1.344844141732e-01       4.409667297109e-03 
       1.473558451604e-01       4.790218844221e-03 
       1.602277444086e-01       5.164534810473e-03 
       1.731000914808e-01       5.532683770780e-03 
       1.859728739519e-01       5.894729498416e-03 
       1.988460847869e-01       6.250734377370e-03 
       2.117197207044e-01       6.600759579744e-03 
       2.245937811191e-01       6.944866385540e-03 
       2.374682674373e-01       7.283117158360e-03 
       2.503431825766e-01       7.615575230297e-03 
       2.632185306308e-01       7.942306069645e-03 
       2.760943166317e-01       8.263375485239e-03 
       2.889705463762e-01       8.578851267307e-03 
       3.018472263006e-01       8.888800946069e-03 
       3.147243633863e-01       9.193293875960e-03 
       3.276019650894e-01       9.492399650005e-03 
       3.404800392882e-01       9.786187352413e-03 
       3.533585942418e-01       1.007472791527e-02 
       3.662376385597e-01       1.035808897624e-02 
       3.791171811782e-01       1.063633938066e-02 
       3.919972313420e-01       1.090954856305e-02 
       4.048777985909e-01       1.117778193349e-02 
       4.177588927494e-01       1.144110621678e-02 
       4.306405239188e-01       1.169958917553e-02 
       4.435227024726e-01       1.195329183464e-02 
       4.564054390518e-01       1.220228150389e-02 
       4.692887445638e-01       1.244662133589e-02 
       4.821726301805e-01       1.268637433911e-02 
       4.950571073389e-01       1.292160670105e-02 
       5.079421877415e-01       1.315239382153e-02 
       5.208278833580e-01       1.337907018234e-02 
       5.337142064273e-01       1.360110185968e-02 
       5.466011694602e-01       1.381895188593e-02 
       5.594887852423e-01       1.403257244289e-02 
       5.723770668380e-01       1.424198046101e-02 
       5.852660275935e-01       1.444725363502e-02 
       5.981556811417e-01       1.464841139789e-02 
       6.110460414062e-01       1.484561834810e-02 
       6.239371226064e-01       1.503888959540e-02 
       6.368289392619e-01       1.522829506376e-02 
       6.497215061985e-01       1.541382970261e-02 
       6.626148385529e-01       1.559560629061e-02 
       6.755089517789e-01       1.577362357067e-02 
       6.884038616527e-01       1.594773667910e-02 
       7.012995842796e-01       1.611847696360e-02 
       7.141961360997e-01       1.628570158758e-02 
       7.270935338946e-01       1.644940645445e-02 
       7.399917947941e-01       1.660944065515e-02 
       7.528909362828e-01       1.676617736529e-02 
       7.657909762070e-01       1.691938565822e-02 
       7.786919327825e-01       1.706927903571e-02 
