# Matter power spectrum P(k) at redshift z=1.5
# for k=0.000782008 to 826.306 h/Mpc,
# number of wavenumbers equal to 521
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.820083848374e-04       1.050978265918e-05 
       6.176822371528e-03       7.672121083569e-05 
       1.871764651806e-02       2.227234524495e-04 
       3.155027742853e-02       3.675248004096e-04 
       4.440693395037e-02       5.095712403136e-04 
       5.727028818301e-02       6.491487788489e-04 
       7.013654944960e-02       7.864085824356e-04 
       8.300442891518e-02       9.214305313571e-04 
       9.587337329377e-02       1.054266507170e-03 
       1.087431082837e-01       1.184958156951e-03 
       1.216134842655e-01       1.313542543155e-03 
       1.344844141732e-01       1.440053027132e-03 
       1.473558451604e-01       1.564502675095e-03 
       1.602277444086e-01       1.686931011916e-03 
       1.731000914808e-01       1.807361041194e-03 
       1.859728739519e-01       1.925812965240e-03 
       1.988460847869e-01       2.042306303114e-03 
       2.117197207044e-01       2.156860580032e-03 
       2.245937811191e-01       2.269495762780e-03 
       2.374682674373e-01       2.380232323598e-03 
       2.503431825766e-01       2.489090950782e-03 
       2.632185306308e-01       2.596092796659e-03 
       2.760943166317e-01       2.701259013581e-03 
       2.889705463762e-01       2.804611331115e-03 
       3.018472263006e-01       2.906171396933e-03 
       3.147243633863e-01       3.005961508965e-03 
       3.276019650894e-01       3.104004082079e-03 
       3.404800392882e-01       3.200321364531e-03 
       3.533585942418e-01       3.294936205531e-03 
       3.662376385597e-01       3.387870477101e-03 
       3.791171811782e-01       3.479146457638e-03 
       3.919972313420e-01       3.568786076083e-03 
       4.048777985909e-01       3.656810777959e-03 
       4.177588927494e-01       3.743241706926e-03 
       4.306405239188e-01       3.828100943095e-03 
       4.435227024726e-01       3.911408048337e-03 
       4.564054390518e-01       3.993184843377e-03 
       4.692887445638e-01       4.073451392505e-03 
       4.821726301805e-01       4.152227975122e-03 
       4.950571073389e-01       4.229534070479e-03 
       5.079421877415e-01       4.305389992189e-03 
       5.208278833580e-01       4.379816912885e-03 
       5.337142064273e-01       4.452831478424e-03 
       5.466011694602e-01       4.524454308757e-03 
       5.594887852423e-01       4.594705757861e-03 
       5.723770668380e-01       4.663602309463e-03 
       5.852660275935e-01       4.731164170263e-03 
       5.981556811417e-01       4.797409483153e-03 
       6.110460414062e-01       4.862355137385e-03 
       6.239371226064e-01       4.926019265273e-03 
       6.368289392619e-01       4.988418749653e-03 
       6.497215061985e-01       5.049569682480e-03 
       6.626148385529e-01       5.109486615739e-03 
       6.755089517789e-01       5.168212907444e-03 
       6.884038616527e-01       5.225872287574e-03 
       7.012995842796e-01       5.282208885680e-03 
       7.141961360997e-01       5.337370325301e-03 
       7.270935338946e-01       5.391377191011e-03 
       7.399917947941e-01       5.444239565945e-03 
       7.528909362828e-01       5.495977620286e-03 
       7.657909762070e-01       5.546585913667e-03 
       7.786919327825e-01       5.596130360148e-03 
       7.915938246010e-01       5.644590370115e-03 
