# Matter power spectrum P(k) at redshift z=2
# for k=0.000782008 to 826.306 h/Mpc,
# number of wavenumbers equal to 521
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.820083848374e-04       7.220243456018e-06 
       6.176822371528e-03       5.270782702354e-05 
       1.871764651806e-02       1.530165408175e-04 
       3.155027742853e-02       2.525130148013e-04 
       4.440693395037e-02       3.501349116412e-04 
       5.727028818301e-02       4.460801243968e-04 
       7.013654944960e-02       5.404502302993e-04 
       8.300442891518e-02       6.332952347449e-04 
       9.587337329377e-02       7.246448832591e-04 
       1.087431082837e-01       8.145224094063e-04 
       1.216134842655e-01       9.029494879727e-04 
       1.344844141732e-01       9.899472207243e-04 
       1.473558451604e-01       1.075524459298e-03 
       1.602277444086e-01       1.159709269715e-03 
       1.731000914808e-01       1.242518639376e-03 
       1.859728739519e-01       1.323967345665e-03 
       1.988460847869e-01       1.404069189271e-03 
       2.117197207044e-01       1.482837537665e-03 
       2.245937811191e-01       1.560285857446e-03 
       2.374682674373e-01       1.636428014936e-03 
       2.503431825766e-01       1.711278209623e-03 
       2.632185306308e-01       1.784851132343e-03 
       2.760943166317e-01       1.857161572997e-03 
       2.889705463762e-01       1.928224672104e-03 
       3.018472263006e-01       1.998055397657e-03 
       3.147243633863e-01       2.066669063332e-03 
       3.276019650894e-01       2.134081001992e-03 
       3.404800392882e-01       2.200306445713e-03 
       3.533585942418e-01       2.265361093807e-03 
       3.662376385597e-01       2.329260033945e-03 
       3.791171811782e-01       2.392018661370e-03 
       3.919972313420e-01       2.453652113718e-03 
       4.048777985909e-01       2.514175167813e-03 
       4.177588927494e-01       2.573602340251e-03 
       4.306405239188e-01       2.631948781741e-03 
       4.435227024726e-01       2.689227928118e-03 
       4.564054390518e-01       2.745454699627e-03 
       4.692887445638e-01       2.800643108996e-03 
       4.821726301805e-01       2.854806964320e-03 
       4.950571073389e-01       2.907959854278e-03 
       5.079421877415e-01       2.960115604203e-03 
       5.208278833580e-01       3.011288793052e-03 
       5.337142064273e-01       3.061490873837e-03 
       5.466011694602e-01       3.110736018070e-03 
       5.594887852423e-01       3.159038206355e-03 
       5.723770668380e-01       3.206408780221e-03 
       5.852660275935e-01       3.252861645382e-03 
       5.981556811417e-01       3.298409287080e-03 
       6.110460414062e-01       3.343063336052e-03 
       6.239371226064e-01       3.386836248555e-03 
       6.368289392619e-01       3.429739650591e-03 
       6.497215061985e-01       3.471784009925e-03 
       6.626148385529e-01       3.512983217931e-03 
       6.755089517789e-01       3.553347497835e-03 
       6.884038616527e-01       3.592887136942e-03 
       7.012995842796e-01       3.631613424984e-03 
       7.141961360997e-01       3.669536429078e-03 
       7.270935338946e-01       3.706671571182e-03 
       7.399917947941e-01       3.743004067954e-03 
       7.528909362828e-01       3.778674809219e-03 
       7.657909762070e-01       3.813570070081e-03 
       7.786919327825e-01       3.847621143627e-03 
       7.915938246010e-01       3.880938970011e-03 
       8.044966706386e-01       3.913521560741e-03 
       8.174004902629e-01       3.945386491191e-03 
       8.303053032410e-01       3.976539380239e-03 
       8.432111297479e-01       4.006990200523e-03 
       8.561179903746e-01       4.036746436209e-03 
       8.690259061366e-01       4.065815621816e-03 
       8.819348984825e-01       4.094207943750e-03 
       8.948449893030e-01       4.121932804241e-03 
       9.077562009401e-01       4.148998405365e-03 
       9.206685561960e-01       4.175414857711e-03 
       9.335820783433e-01       4.201187392065e-03 
       9.464967911337e-01       4.226323465273e-03 
       9.594127188090e-01       4.250830448276e-03 
       9.723298861106e-01       4.274722995223e-03 
       9.852483182900e-01       4.298001138116e-03 
       9.981680411194e-01       4.320671281846e-03 
       1.011089080903e+00       4.342746612060e-03 
       1.024011464487e+00       4.364233171822e-03 
       1.036935219272e+00       4.385140026528e-03 
       1.049860373225e+00       4.405478326140e-03 
       1.062786954889e+00       4.425240295109e-03 
       1.075714993397e+00       4.444450687982e-03 
       1.088644518485e+00       4.463106367030e-03 
       1.101575560502e+00       4.481217510379e-03 
       1.114508150426e+00       4.498788066078e-03 
       1.127442319874e+00       4.515826003137e-03 
       1.140378101119e+00       4.532336551825e-03 
       1.153315527101e+00       4.548334057580e-03 
       1.166254631441e+00       4.563812157175e-03 
       1.179195448460e+00       4.578784815153e-03 
       1.192138013186e+00       4.593262603317e-03 
       1.205082361376e+00       4.607236637990e-03 
       1.218028529529e+00       4.620726720493e-03 
       1.230976554900e+00       4.633738240674e-03 
       1.243926475519e+00       4.646271526476e-03 
       1.256878330203e+00       4.658334253295e-03 
       1.269832158581e+00       4.669937300900e-03 
       1.282788001102e+00       4.681075785011e-03 
       1.295745899058e+00       4.691765282767e-03 
       1.308705894601e+00       4.702007094254e-03 
       1.321668030761e+00       4.711809660717e-03 
       1.334632351465e+00       4.721181015807e-03 
       1.347598901555e+00       4.730110664590e-03 
       1.360567726811e+00       4.738622572484e-03 
       1.373538873967e+00       4.746712674748e-03 
       1.386512390734e+00       4.754393153652e-03 
       1.399488325822e+00       4.761660315591e-03 
       1.412466728959e+00       4.768524346205e-03 
       1.425447650914e+00       4.774991699404e-03 
       1.438431143520e+00       4.781066296184e-03 
       1.451417259697e+00       4.786754117673e-03 
       1.464406053476e+00       4.792053552082e-03 
       1.477397580021e+00       4.796976167733e-03 
       1.490391895657e+00       4.801524932355e-03 
       1.503389057892e+00       4.805707295144e-03 
       1.516389125445e+00       4.809531891022e-03 
       1.529392158272e+00       4.812986922033e-03 
       1.542398217594e+00       4.816100519366e-03 
       1.555407365921e+00       4.818856438050e-03 
       1.568419667085e+00       4.821272598874e-03 
       1.581435186267e+00       4.823361193122e-03 
       1.594453990027e+00       4.825092932801e-03 
       1.607476146334e+00       4.826498060124e-03 
       1.620501724596e+00       4.827586086417e-03 
       1.633530795696e+00       4.828347228847e-03 
       1.646563432020e+00       4.828787088988e-03 
       1.659599707494e+00       4.828919605588e-03 
       1.672639697616e+00       4.828742095949e-03 
       1.685683479493e+00       4.828263910464e-03 
       1.698731131874e+00       4.827484495166e-03 
       1.711782735190e+00       4.826406037300e-03 
       1.724838371590e+00       4.825039222280e-03 
       1.737898124980e+00       4.823401983919e-03 
       1.750962081064e+00       4.821444210332e-03 
       1.764030327382e+00       4.819229963083e-03 
       1.777102953353e+00       4.816739112474e-03 
       1.790180050317e+00       4.813975119307e-03 
       1.803261711581e+00       4.810970517164e-03 
       1.816348032459e+00       4.807655976312e-03 
       1.829439110324e+00       4.804131823284e-03 
       1.842535044649e+00       4.800303055807e-03 
       1.855635937060e+00       4.796245308776e-03 
       1.868741891384e+00       4.791944116691e-03 
       1.881853013696e+00       4.787397861508e-03 
       1.894969412378e+00       4.782613001254e-03 
       1.908091198167e+00       4.777595111769e-03 
       1.921218484211e+00       4.772342243196e-03 
       1.934351386125e+00       4.766859851959e-03 
       1.947490022052e+00       4.761158367370e-03 
       1.960634512716e+00       4.755231223894e-03 
       1.973784981486e+00       4.749095428934e-03 
       1.986941554440e+00       4.742732765395e-03 
       2.000104360425e+00       4.736163875260e-03 
       2.013273531126e+00       4.729392586506e-03 
       2.026449201130e+00       4.722421416524e-03 
       2.039631507998e+00       4.715241546968e-03 
       2.052820592335e+00       4.707873082297e-03 
       2.066016597861e+00       4.700306761770e-03 
       2.079219671491e+00       4.692561135700e-03 
       2.092429963405e+00       4.684617211904e-03 
       2.105647627131e+00       4.676491281772e-03 
       2.118872819628e+00       4.668191027711e-03 
       2.132105701363e+00       4.659711528366e-03 
       2.145346436406e+00       4.651064903182e-03 
       2.158595192507e+00       4.642244690607e-03 
       2.171852141196e+00       4.633252111145e-03 
       2.185117457873e+00       4.624106098280e-03 
       2.198391321900e+00       4.614795209656e-03 
       2.211673916706e+00       4.605331397622e-03 
       2.224965429883e+00       4.595702870187e-03 
       2.238266053293e+00       4.585932885874e-03 
       2.251575983174e+00       4.576010309810e-03 
       2.264895420252e+00       4.565950314860e-03 
       2.278224569852e+00       4.555745472461e-03 
       2.291563642016e+00       4.545399492548e-03 
       2.304912851625e+00       4.534912665713e-03 
       2.318272418520e+00       4.524322168725e-03 
       2.331642567632e+00       4.513551692548e-03 
       2.345023529111e+00       4.502679354317e-03 
       2.358415538464e+00       4.491685276755e-03 
       2.371818836693e+00       4.480563727537e-03 
       2.385233670439e+00       4.469327864817e-03 
       2.398660292131e+00       4.457969541024e-03 
       2.412098960136e+00       4.446493216935e-03 
       2.425549938921e+00       4.434925451321e-03 
       2.439013499211e+00       4.423218943125e-03 
       2.452489918159e+00       4.411428470165e-03 
       2.465979479518e+00       4.399526540595e-03 
       2.479482473821e+00       4.387529543371e-03 
       2.492999198560e+00       4.375416949763e-03 
       2.506529958385e+00       4.363229688845e-03 
       2.520075065290e+00       4.350941997736e-03 
       2.533634838823e+00       4.338553039304e-03 
       2.547209606292e+00       4.326085104377e-03 
       2.560799702980e+00       4.313533584454e-03 
       2.574405472373e+00       4.300890188338e-03 
       2.588027266386e+00       4.288169919306e-03 
       2.601665445603e+00       4.275359448143e-03 
       2.615320379526e+00       4.262479976463e-03 
       2.628992446828e+00       4.249528453901e-03 
       2.642682035617e+00       4.236513531401e-03 
       2.656389543709e+00       4.223404423888e-03 
       2.670115378912e+00       4.210242869931e-03 
       2.683859959318e+00       4.197003212962e-03 
       2.697623713606e+00       4.183696467402e-03 
       2.711407081356e+00       4.170343452610e-03 
       2.725210513372e+00       4.156921710211e-03 
       2.739034472025e+00       4.143434020504e-03 
       2.752879431593e+00       4.129889879526e-03 
       2.766745878632e+00       4.116307982820e-03 
       2.780634312346e+00       4.102666299015e-03 
       2.794545244977e+00       4.088971647170e-03 
       2.808479202212e+00       4.075228286532e-03 
       2.822436723601e+00       4.061437430845e-03 
       2.836418362989e+00       4.047601137759e-03 
       2.850424688975e+00       4.033732146115e-03 
       2.864456285375e+00       4.019814511384e-03 
       2.878513751715e+00       4.005838350345e-03 
       2.892597703737e+00       3.991834844044e-03 
       2.906708773924e+00       3.977794297680e-03 
       2.920847612054e+00       3.963729507948e-03 
       2.935014885766e+00       3.949618760187e-03 
       2.949211281154e+00       3.935492484283e-03 
       2.963437503391e+00       3.921316808586e-03 
       2.977694277368e+00       3.907129415567e-03 
       2.991982348365e+00       3.892901512033e-03 
       3.006302482755e+00       3.878656405525e-03 
       3.020655468728e+00       3.864358757813e-03 
       3.035042117052e+00       3.850058598204e-03 
       3.049463261869e+00       3.835745525341e-03 
       3.063919761521e+00       3.821399847304e-03 
       3.078412499413e+00       3.807040351425e-03 
       3.092942384916e+00       3.792649709601e-03 
       3.107510354312e+00       3.778242465653e-03 
       3.122117371778e+00       3.763840459607e-03 
       3.136764430413e+00       3.749414018972e-03 
       3.151452553324e+00       3.734969872627e-03 
       3.166182794746e+00       3.720508633472e-03 
       3.180956241227e+00       3.706051539815e-03 
       3.195774012865e+00       3.691572888986e-03 
       3.210637264601e+00       3.677083621137e-03 
       3.225547187580e+00       3.662591600287e-03 
       3.240505010578e+00       3.648085658064e-03 
       3.255512001489e+00       3.633581197409e-03 
       3.270569468902e+00       3.619074939410e-03 
       3.285678763747e+00       3.604566833887e-03 
       3.300841281023e+00       3.590035362571e-03 
       3.316058461622e+00       3.575507606319e-03 
       3.331331794243e+00       3.560991332468e-03 
       3.346662817402e+00       3.546472895112e-03 
       3.362053121560e+00       3.531932247069e-03 
       3.377504351352e+00       3.517407245307e-03 
       3.393018207942e+00       3.502890024117e-03 
       3.408596451511e+00       3.488356182954e-03 
       3.424240903869e+00       3.473851910255e-03 
       3.439953451229e+00       3.459324501652e-03 
       3.455736047124e+00       3.444804023840e-03 
       3.471590715498e+00       3.430295575166e-03 
       3.487519553971e+00       3.415775019746e-03 
       3.503524737298e+00       3.401278071116e-03 
       3.519608521028e+00       3.386769507793e-03 
       3.535773245384e+00       3.372277245701e-03 
       3.552021339378e+00       3.357793359554e-03 
       3.568355325174e+00       3.343306046817e-03 
       3.584777822724e+00       3.328823375490e-03 
       3.601291554689e+00       3.314346490708e-03 
       3.617899351683e+00       3.299882547006e-03 
       3.634604157838e+00       3.285423868150e-03 
       3.651409036743e+00       3.270976216330e-03 
       3.668317177766e+00       3.256521081334e-03 
       3.685331902803e+00       3.242086031466e-03 
       3.702456673475e+00       3.227648447074e-03 
       3.719695098828e+00       3.213236234601e-03 
       3.737050943554e+00       3.198809457128e-03 
       3.754528136797e+00       3.184400592933e-03 
       3.772130781590e+00       3.169993931304e-03 
       3.789863164960e+00       3.155592007895e-03 
       3.807729768784e+00       3.141197016811e-03 
       3.825735281448e+00       3.126801325388e-03 
       3.843884610382e+00       3.112426648514e-03 
       3.862182895556e+00       3.098054562340e-03 
