# Matter power spectrum P(k) at redshift z=2
# for k=0.000782008 to 826.306 h/Mpc,
# number of wavenumbers equal to 521
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.820083848374e-04       7.220243456018e-06 
       6.176822371528e-03       5.270782702354e-05 
       1.871764651806e-02       1.530127940981e-04 
       3.155027742853e-02       2.525026133655e-04 
       4.440693395037e-02       3.501146403201e-04 
       5.727028818301e-02       4.460468557862e-04 
       7.013654944960e-02       5.404009192553e-04 
       8.300442891518e-02       6.332269169089e-04 
       9.587337329377e-02       7.245546741041e-04 
       1.087431082837e-01       8.144075030147e-04 
       1.216134842655e-01       9.028071555469e-04 
       1.344844141732e-01       9.897748090454e-04 
       1.473558451604e-01       1.075319391717e-03 
       1.602277444086e-01       1.159469041000e-03 
       1.731000914808e-01       1.242240816338e-03 
       1.859728739519e-01       1.323649566434e-03 
       1.988460847869e-01       1.403709162415e-03 
       2.117197207044e-01       1.482433041236e-03 
       2.245937811191e-01       1.559834737892e-03 
       2.374682674373e-01       1.635928185895e-03 
       2.503431825766e-01       1.710727650713e-03 
       2.632185306308e-01       1.784247887851e-03 
       2.760943166317e-01       1.856503750684e-03 
       2.889705463762e-01       1.927510441897e-03 
       3.018472263006e-01       1.997282990531e-03 
       3.147243633863e-01       2.065836769983e-03 
       3.276019650894e-01       2.133187171626e-03 
       3.404800392882e-01       2.199349484892e-03 
       3.533585942418e-01       2.264339465025e-03 
       3.662376385597e-01       2.328172254725e-03 
       3.791171811782e-01       2.390863302917e-03 
       3.919972313420e-01       2.452427799869e-03 
       4.048777985909e-01       2.512880574069e-03 
       4.177588927494e-01       2.572236192790e-03 
       4.306405239188e-01       2.630509855893e-03 
       4.435227024726e-01       2.687715048294e-03 
       4.564054390518e-01       2.743866737299e-03 
       4.692887445638e-01       2.798978982163e-03 
       4.821726301805e-01       2.853065636568e-03 
       4.950571073389e-01       2.906140333878e-03 
       5.079421877415e-01       2.958216942892e-03 
       5.208278833580e-01       3.009310084406e-03 
       5.337142064273e-01       3.059431254572e-03 
       5.466011694602e-01       3.108594665016e-03 
       5.594887852423e-01       3.156814335529e-03 
       5.723770668380e-01       3.204101647958e-03 
       5.852660275935e-01       3.250470545294e-03 
       5.981556811417e-01       3.295933550241e-03 
       6.110460414062e-01       3.340502330809e-03 
       6.239371226064e-01       3.384189378905e-03 
       6.368289392619e-01       3.427006356015e-03 
       6.497215061985e-01       3.468963765610e-03 
       6.626148385529e-01       3.510075530685e-03 
       6.755089517789e-01       3.550351908655e-03 
       6.884038616527e-01       3.589803220201e-03 
       7.012995842796e-01       3.628440786604e-03 
       7.141961360997e-01       3.666274707103e-03 
       7.270935338946e-01       3.703320428931e-03 
       7.399917947941e-01       3.739563226645e-03 
       7.528909362828e-01       3.775143875565e-03 
       7.657909762070e-01       3.809948814063e-03 
       7.786919327825e-01       3.843909451887e-03 
       7.915938246010e-01       3.877136646686e-03 
       8.044966706386e-01       3.909628449784e-03 
       8.174004902629e-01       3.941402454116e-03 
       8.303053032410e-01       3.972464308998e-03 
       8.432111297479e-01       4.002824011834e-03 
       8.561179903746e-01       4.032489073948e-03 
       8.690259061366e-01       4.061467056432e-03 
       8.819348984825e-01       4.089768168295e-03 
       8.948449893030e-01       4.117401834678e-03 
       9.077562009401e-01       4.144376281492e-03 
       9.206685561960e-01       4.170701639997e-03 
       9.335820783433e-01       4.196383167634e-03 
       9.464967911337e-01       4.221428344459e-03 
       9.594127188090e-01       4.245844564228e-03 
       9.723298861106e-01       4.269646492960e-03 
       9.852483182900e-01       4.292834194683e-03 
       9.981680411194e-01       4.315414097012e-03 
       1.011089080903e+00       4.337399397764e-03 
       1.024011464487e+00       4.358796162013e-03 
       1.036935219272e+00       4.379613472122e-03 
       1.049860373225e+00       4.399862491142e-03 
       1.062786954889e+00       4.419535485603e-03 
       1.075714993397e+00       4.438657200976e-03 
       1.088644518485e+00       4.457224533576e-03 
       1.101575560502e+00       4.475247674159e-03 
       1.114508150426e+00       4.492730592984e-03 
       1.127442319874e+00       4.509681274304e-03 
       1.140378101119e+00       4.526104967713e-03 
       1.153315527101e+00       4.542016022010e-03 
       1.166254631441e+00       4.557408112216e-03 
       1.179195448460e+00       4.572295206018e-03 
       1.192138013186e+00       4.586687883340e-03 
       1.205082361376e+00       4.600577302876e-03 
       1.218028529529e+00       4.613983256924e-03 
       1.230976554900e+00       4.626911151311e-03 
       1.243926475519e+00       4.639361339039e-03 
       1.256878330203e+00       4.651341506802e-03 
       1.269832158581e+00       4.662862539023e-03 
       1.282788001102e+00       4.673919585638e-03 
       1.295745899058e+00       4.684528218669e-03 
       1.308705894601e+00       4.694689759978e-03 
       1.321668030761e+00       4.704412658393e-03 
       1.334632351465e+00       4.713704955314e-03 
       1.347598901555e+00       4.722556200701e-03 
       1.360567726811e+00       4.730990335039e-03 
       1.373538873967e+00       4.739003324924e-03 
       1.386512390734e+00       4.746607350322e-03 
       1.399488325822e+00       4.753798748030e-03 
       1.412466728959e+00       4.760587704818e-03 
       1.425447650914e+00       4.766980683015e-03 
       1.438431143520e+00       4.772981617119e-03 
       1.451417259697e+00       4.778596496982e-03 
       1.464406053476e+00       4.783823736046e-03 
       1.477397580021e+00       4.788674898450e-03 
       1.490391895657e+00       4.793152966394e-03 
       1.503389057892e+00       4.797265393096e-03 
       1.516389125445e+00       4.801020814227e-03 
       1.529392158272e+00       4.804407479618e-03 
       1.542398217594e+00       4.807453475325e-03 
       1.555407365921e+00       4.810142614336e-03 
       1.568419667085e+00       4.812492795024e-03 
       1.581435186267e+00       4.814516198494e-03 
       1.594453990027e+00       4.816183627399e-03 
       1.607476146334e+00       4.817525269864e-03 
       1.620501724596e+00       4.818550632535e-03 
       1.633530795696e+00       4.819249975507e-03 
       1.646563432020e+00       4.819628905228e-03 
       1.659599707494e+00       4.819701343683e-03 
       1.672639697616e+00       4.819464633198e-03 
       1.685683479493e+00       4.818928117806e-03 
       1.698731131874e+00       4.818091262854e-03 
       1.711782735190e+00       4.816956267869e-03 
       1.724838371590e+00       4.815533807191e-03 
       1.737898124980e+00       4.813841783950e-03 
       1.750962081064e+00       4.811830237961e-03 
       1.764030327382e+00       4.809563074930e-03 
       1.777102953353e+00       4.807020236314e-03 
       1.790180050317e+00       4.804205189835e-03 
       1.803261711581e+00       4.801150394341e-03 
       1.816348032459e+00       4.797786730754e-03 
       1.829439110324e+00       4.794214258679e-03 
       1.842535044649e+00       4.790338261342e-03 
       1.855635937060e+00       4.786234173659e-03 
       1.868741891384e+00       4.781887586261e-03 
       1.881853013696e+00       4.777296900916e-03 
       1.894969412378e+00       4.772468571680e-03 
       1.908091198167e+00       4.767408172542e-03 
       1.921218484211e+00       4.762113774075e-03 
       1.934351386125e+00       4.756590830862e-03 
       1.947490022052e+00       4.750849754664e-03 
       1.960634512716e+00       4.744884014045e-03 
       1.973784981486e+00       4.738710577780e-03 
       1.986941554440e+00       4.732311299081e-03 
       2.000104360425e+00       4.725706769279e-03 
       2.013273531126e+00       4.718900817286e-03 
       2.026449201130e+00       4.711895965403e-03 
       2.039631507998e+00       4.704683436610e-03 
       2.052820592335e+00       4.697283283501e-03 
       2.066016597861e+00       4.689686287770e-03 
       2.079219671491e+00       4.681910951373e-03 
       2.092429963405e+00       4.673938357061e-03 
       2.105647627131e+00       4.665784754609e-03 
       2.118872819628e+00       4.657457812348e-03 
       2.132105701363e+00       4.648952637190e-03 
       2.145346436406e+00       4.640281318824e-03 
       2.158595192507e+00       4.631437429234e-03 
       2.171852141196e+00       4.622422196100e-03 
       2.185117457873e+00       4.613254498217e-03 
       2.198391321900e+00       4.603922943719e-03 
       2.211673916706e+00       4.594439453746e-03 
       2.224965429883e+00       4.584792288706e-03 
       2.238266053293e+00       4.575004634551e-03 
       2.251575983174e+00       4.565065406361e-03 
       2.264895420252e+00       4.554989732006e-03 
       2.278224569852e+00       4.544770219597e-03 
       2.291563642016e+00       4.534410575223e-03 
       2.304912851625e+00       4.523911098292e-03 
       2.318272418520e+00       4.513308835607e-03 
       2.331642567632e+00       4.502527773542e-03 
       2.345023529111e+00       4.491645744901e-03 
       2.358415538464e+00       4.480642955462e-03 
       2.371818836693e+00       4.469513703503e-03 
       2.385233670439e+00       4.458271105153e-03 
       2.398660292131e+00       4.446907052532e-03 
       2.412098960136e+00       4.435425997733e-03 
       2.425549938921e+00       4.423854402746e-03 
       2.439013499211e+00       4.412145161340e-03 
       2.452489918159e+00       4.400352841817e-03 
       2.465979479518e+00       4.388450069108e-03 
       2.479482473821e+00       4.376453173631e-03 
       2.492999198560e+00       4.364341717552e-03 
       2.506529958385e+00       4.352156470144e-03 
       2.520075065290e+00       4.339871780149e-03 
       2.533634838823e+00       4.327486821257e-03 
       2.547209606292e+00       4.315023798764e-03 
       2.560799702980e+00       4.302478129128e-03 
       2.574405472373e+00       4.289841562368e-03 
       2.588027266386e+00       4.277129044718e-03 
       2.601665445603e+00       4.264327309871e-03 
       2.615320379526e+00       4.251457474570e-03 
       2.628992446828e+00       4.238516506906e-03 
       2.642682035617e+00       4.225513025193e-03 
       2.656389543709e+00       4.212416384775e-03 
       2.670115378912e+00       4.199268146759e-03 
       2.683859959318e+00       4.186042772564e-03 
       2.697623713606e+00       4.172751233420e-03 
       2.711407081356e+00       4.159414259892e-03 
       2.725210513372e+00       4.146009499081e-03 
       2.739034472025e+00       4.132539723879e-03 
       2.752879431593e+00       4.119014391990e-03 
       2.766745878632e+00       4.105452117013e-03 
       2.780634312346e+00       4.091830972883e-03 
       2.794545244977e+00       4.078157751541e-03 
       2.808479202212e+00       4.064436696549e-03 
       2.822436723601e+00       4.050669019590e-03 
       2.836418362989e+00       4.036856772611e-03 
       2.850424688975e+00       4.023012637149e-03 
       2.864456285375e+00       4.009120748239e-03 
       2.878513751715e+00       3.995171273988e-03 
       2.892597703737e+00       3.981195249075e-03 
       2.906708773924e+00       3.967183028308e-03 
       2.920847612054e+00       3.953147348556e-03 
       2.935014885766e+00       3.939066604737e-03 
       2.949211281154e+00       3.924971079146e-03 
       2.963437503391e+00       3.910827071219e-03 
       2.977694277368e+00       3.896672077969e-03 
       2.991982348365e+00       3.882477453245e-03 
       3.006302482755e+00       3.868266389117e-03 
       3.020655468728e+00       3.854003730376e-03 
       3.035042117052e+00       3.839739253247e-03 
       3.049463261869e+00       3.825462610589e-03 
       3.063919761521e+00       3.811154214592e-03 
       3.078412499413e+00       3.796832757018e-03 
       3.092942384916e+00       3.782481002926e-03 
       3.107510354312e+00       3.768113421461e-03 
       3.122117371778e+00       3.753751738848e-03 
       3.136764430413e+00       3.739366440859e-03 
       3.151452553324e+00       3.724964222698e-03 
       3.166182794746e+00       3.710545696219e-03 
       3.180956241227e+00       3.696131985953e-03 
       3.195774012865e+00       3.681697529759e-03 
       3.210637264601e+00       3.667253210147e-03 
       3.225547187580e+00       3.652806849013e-03 
       3.240505010578e+00       3.638347340890e-03 
       3.255512001489e+00       3.623890004216e-03 
       3.270569468902e+00       3.609431579118e-03 
       3.285678763747e+00       3.594972016581e-03 
       3.300841281023e+00       3.580489921120e-03 
       3.316058461622e+00       3.566012221673e-03 
       3.331331794243e+00       3.551546641348e-03 
       3.346662817402e+00       3.537079612597e-03 
       3.362053121560e+00       3.522591205568e-03 
       3.377504351352e+00       3.508119059269e-03 
       3.393018207942e+00       3.493655353355e-03 
       3.408596451511e+00       3.479175831205e-03 
       3.424240903869e+00       3.464726409823e-03 
       3.439953451229e+00       3.450254696943e-03 
       3.455736047124e+00       3.435790582299e-03 
       3.471590715498e+00       3.421339134059e-03 
       3.487519553971e+00       3.406876361670e-03 
       3.503524737298e+00       3.392437764044e-03 
       3.519608521028e+00       3.377988333510e-03 
       3.535773245384e+00       3.363555816846e-03 
       3.552021339378e+00       3.349132336795e-03 
       3.568355325174e+00       3.334706165015e-03 
       3.584777822724e+00       3.320285320316e-03 
       3.601291554689e+00       3.305870941496e-03 
       3.617899351683e+00       3.291470138354e-03 
       3.634604157838e+00       3.277075283218e-03 
       3.651409036743e+00       3.262692102642e-03 
       3.668317177766e+00       3.248302205513e-03 
       3.685331902803e+00       3.233932984130e-03 
       3.702456673475e+00       3.219561965196e-03 
       3.719695098828e+00       3.205216874035e-03 
       3.737050943554e+00       3.190858035361e-03 
       3.754528136797e+00       3.176517716101e-03 
       3.772130781590e+00       3.162180309414e-03 
       3.789863164960e+00       3.147848335576e-03 
       3.807729768784e+00       3.133523974751e-03 
       3.825735281448e+00       3.119199646740e-03 
       3.843884610382e+00       3.104896921281e-03 
       3.862182895556e+00       3.090597499026e-03 
