# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.703270209337e-10       6.617701192944e-15       3.829704794097e-13       0.000000000000e+00       6.096947078579e-09       4.897555171392e-10      -2.242867382304e-12 
    3       1.685868081117e-10       1.104786290976e-14       4.342218708696e-13       0.000000000000e+00       3.632037306518e-09       3.838531557468e-10      -1.921893723463e-12 
    4       1.628515984551e-10       1.239345247048e-14       4.291128332432e-13       0.000000000000e+00       2.480303626597e-09       3.111562960120e-10      -1.459660943876e-12 
    5       1.566732084504e-10       1.081913503294e-14       4.054932481652e-13       0.000000000000e+00       1.830542732180e-09       2.586307558518e-10      -9.976247855281e-13 
    6       1.511477674302e-10       7.806277732180e-15       3.798557469410e-13       0.000000000000e+00       1.418866095294e-09       2.190967206351e-10      -5.875609074311e-13 
    7       1.464902765341e-10       4.906826458051e-15       3.578747015646e-13       0.000000000000e+00       1.138270259393e-09       1.884363495254e-10      -2.544974789734e-13 
    8       1.427375606644e-10       2.987748400129e-15       3.389463746626e-13       0.000000000000e+00       9.366745711660e-10       1.640855830115e-10      -7.625173077619e-15 
    9       1.398594055017e-10       2.128936357305e-15       3.206640205408e-13       0.000000000000e+00       7.859658312218e-10       1.443579478813e-10       1.548478444637e-13 
   10       1.377429394689e-10       1.932878589634e-15       3.014382751949e-13       0.000000000000e+00       6.698516405597e-10       1.281478885207e-10       2.425837501939e-13 
   11       1.362998936980e-10       1.924730378703e-15       2.810386032187e-13       0.000000000000e+00       5.665612380717e-10       1.150848864019e-10       2.694395944046e-13 
   12       1.354813069149e-10       1.812469135097e-15       2.600760884376e-13       0.000000000000e+00       4.943611692438e-10       1.038473193994e-10       2.544781518579e-13 
   13       1.351031657672e-10       1.540946200320e-15       2.398392298480e-13       0.000000000000e+00       4.352704312568e-10       9.408653265895e-11       2.123875598200e-13 
