# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.905275566370e-10       3.380864723315e-15       8.130452047716e-13       0.000000000000e+00       2.284683622895e-08      -2.957227434262e-09      -2.236502663306e-12 
    3       4.279876121747e-10       6.770811623836e-15       8.089440073291e-13       0.000000000000e+00       1.443976488994e-08      -1.917683138481e-09      -1.868375396986e-12 
    4       3.410635035734e-10       1.031383538759e-14       7.849685587977e-13       0.000000000000e+00       1.004904208963e-08      -1.374492128913e-09      -1.603888873774e-12 
    5       2.874232642225e-10       1.301770829756e-14       7.424876684701e-13       0.000000000000e+00       7.464531880937e-09      -1.048064530182e-09      -1.373659877011e-12 
    6       2.510986220846e-10       1.427716059517e-14       6.842887784655e-13       0.000000000000e+00       5.811552522676e-09      -8.327281258744e-10      -1.155253076355e-12 
    7       2.249894790725e-10       1.400139601218e-14       6.176920732755e-13       0.000000000000e+00       4.689084418392e-09      -6.815671655457e-10      -9.497182826091e-13 
    8       2.054983149560e-10       1.247461175957e-14       5.482784241167e-13       0.000000000000e+00       3.888061767419e-09      -5.704479491664e-10      -7.599726861472e-13 
    9       1.905250782471e-10       1.018588807504e-14       4.800891958934e-13       0.000000000000e+00       3.290472361264e-09      -4.857851379014e-10      -5.883900326881e-13 
   10       1.788155913078e-10       7.661875942713e-15       4.157806834160e-13       0.000000000000e+00       2.826410642501e-09      -4.193778675580e-10      -4.366282572456e-13 
   11       1.695392458307e-10       5.339554949126e-15       3.569455101815e-13       0.000000000000e+00       2.073588271819e-09      -3.461061920662e-10      -3.063955973854e-13 
   12       1.620777354094e-10       3.496913140240e-15       3.046401799668e-13       0.000000000000e+00       1.794398563505e-09      -3.035919776829e-10      -1.971693927491e-13 
   13       1.560790694725e-10       2.239513258821e-15       2.594858240212e-13       0.000000000000e+00       1.567703326141e-09      -2.683642019363e-10      -1.079880935736e-13 
   14       1.512691898498e-10       1.529181088876e-15       2.217949980632e-13       0.000000000000e+00       1.381012550967e-09      -2.390048150193e-10      -3.881275854670e-14 
   15       1.473626238437e-10       1.236067653031e-15       1.916990468075e-13       0.000000000000e+00       1.225371252057e-09      -2.140704579304e-10       1.243066075890e-14 
   16       1.442120819414e-10       1.195602847921e-15       1.690104382825e-13       0.000000000000e+00       1.094212603887e-09      -1.928281771178e-10       4.687545171638e-14 
   17       1.417056743247e-10       1.256083734803e-15       1.532376370090e-13       0.000000000000e+00       9.826388418755e-10      -1.744167248636e-10       6.710564112825e-14 
   18       1.396833149965e-10       1.304556723717e-15       1.437205935080e-13       0.000000000000e+00       8.864462705366e-10      -1.584595325124e-10       7.524504167984e-14 
   19       1.381186795632e-10       1.299374161555e-15       1.398897709653e-13       0.000000000000e+00       8.041873082857e-10      -1.447115694570e-10       7.338498010232e-14 
   20       1.369106096453e-10       1.222963318319e-15       1.405902270050e-13       0.000000000000e+00       7.321790657809e-10      -1.325022612769e-10       6.470672053090e-14 
   21       1.360232030860e-10       1.100983686296e-15       1.449402478112e-13       0.000000000000e+00       6.691488232988e-10      -1.216625766812e-10       5.126279191701e-14 
   22       1.353808565946e-10       9.788969502461e-16       1.518354563069e-13       0.000000000000e+00       6.135477339457e-10      -1.120140827064e-10       3.514101311765e-14 
   23       1.349729158846e-10       8.879914533547e-16       1.604404881640e-13       0.000000000000e+00       5.645191427295e-10      -1.034433441682e-10       1.803781995964e-14 
