# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.905281618753e-10       3.381283396540e-15       8.130451936257e-13       4.186728763857e-19       2.284683622895e-08      -2.957227434262e-09      -2.236502663306e-12 
    3       4.279888331561e-10       6.771649364572e-15       8.089439579539e-13       8.377372946251e-19       1.443976488994e-08      -1.917683138481e-09      -1.868375396986e-12 
    4       3.410655613319e-10       1.031523249367e-14       7.849684180530e-13       1.397089144800e-18       1.004904208963e-08      -1.374492128913e-09      -1.603888873774e-12 
    5       2.874263922784e-10       1.301980557914e-14       7.424873510247e-13       2.097223507400e-18       7.464531880937e-09      -1.048064530182e-09      -1.373659877011e-12 
    6       2.511030683156e-10       1.428009949039e-14       6.842881616945e-13       2.938736525520e-18       5.811552522676e-09      -8.327281258744e-10      -1.155253076355e-12 
    7       2.249955068326e-10       1.400531869339e-14       6.176909938839e-13       3.922311095415e-18       4.689084418392e-09      -6.815671655457e-10      -9.497182826091e-13 
    8       2.055062033717e-10       1.247966122756e-14       5.482766766326e-13       5.048700501432e-18       3.888061767419e-09      -5.704479491664e-10      -7.599726861472e-13 
    9       1.905351216535e-10       1.019220823798e-14       4.800865330719e-13       6.318710406561e-18       3.290472361264e-09      -4.857851379014e-10      -5.883900326881e-13 
   10       1.788280978291e-10       7.669611676798e-15       4.157768184939e-13       7.733179655089e-18       2.826410642501e-09      -4.193778675580e-10      -4.366282572456e-13 
   11       1.695545351467e-10       5.348852137520e-15       3.569401208227e-13       9.292960378798e-18       2.073588271819e-09      -3.461061920662e-10      -3.063955973854e-13 
   12       1.620961357869e-10       3.507918687156e-15       3.046329136470e-13       1.099889792182e-17       1.794398563505e-09      -3.035919776829e-10      -1.971693927491e-13 
   13       1.561009141757e-10       2.252375075986e-15       2.594763045156e-13       1.285181111072e-17       1.567703326141e-09      -2.683642019363e-10      -1.079880935736e-13 
   14       1.512948130713e-10       1.544048052097e-15       2.217828326371e-13       1.485247339498e-17       1.381012550967e-09      -2.390048150193e-10      -3.881275854670e-14 
   15       1.473923563235e-10       1.253089527464e-15       1.916838336580e-13       1.700159536841e-17       1.225371252057e-09      -2.140704579304e-10       1.243066075890e-14 
   16       1.442462464561e-10       1.214930181618e-15       1.689917737541e-13       1.929980915395e-17       1.094212603887e-09      -1.928281771178e-10       4.687545171638e-14 
   17       1.417445812383e-10       1.277867721377e-15       1.532151220995e-13       2.174765509312e-17       9.826388418755e-10      -1.744167248636e-10       6.710564112825e-14 
   18       1.397272579682e-10       1.328949036588e-15       1.436938394577e-13       2.434557019207e-17       8.864462705366e-10      -1.584595325124e-10       7.524504167984e-14 
   19       1.381679321789e-10       1.326526761813e-15       1.398584019752e-13       2.709388519248e-17       8.041873082857e-10      -1.447115694570e-10       7.338498010232e-14 
   20       1.369654216008e-10       1.253028244205e-15       1.405538837581e-13       2.999280963194e-17       7.321790657809e-10      -1.325022612769e-10       6.470672053090e-14 
   21       1.360837985192e-10       1.134112832539e-15       1.448985852072e-13       3.304244647093e-17       6.691488232988e-10      -1.216625766812e-10       5.126279191701e-14 
   22       1.354474318461e-10       1.015241829374e-15       1.517881423293e-13       3.624277590732e-17       6.135477339457e-10      -1.120140827064e-10       3.514101311765e-14 
   23       1.350456396708e-10       9.277029821171e-16       1.603871968463e-13       3.959368304025e-17       5.645191427295e-10      -1.034433441682e-10       1.803781995964e-14 
   24       1.348469817323e-10       8.965709851742e-16       1.697900329362e-13       4.309494145452e-17       5.208077411720e-10      -9.574976371287e-11       1.638138182767e-15 
   25       1.348323530008e-10       9.237721033799e-16       1.793478843088e-13       4.674625820627e-17       4.818396443642e-10      -8.882670384998e-11      -1.301988223628e-14 
   26       1.349613594998e-10       9.991953076793e-16       1.884517819770e-13       5.054725145244e-17       4.468603029171e-10      -8.253584320884e-11      -2.514369504860e-14 
   27       1.352297327927e-10       1.102862898872e-15       1.967796399238e-13       5.449749859577e-17       4.154083017274e-10      -7.683236435360e-11      -3.433151418077e-14 
   28       1.356264066977e-10       1.210746600342e-15       2.041114433075e-13       5.859652489045e-17       3.868966930934e-10      -7.165939437209e-11      -4.040969645240e-14 
   29       1.361500783984e-10       1.313293729985e-15       2.103810656934e-13       6.284389457688e-17       3.611547134985e-10      -6.698683338143e-11      -4.343996001363e-14 
   30       1.367800194139e-10       1.404397473494e-15       2.155929628905e-13       6.723914731584e-17       3.378803636381e-10      -6.274338858302e-11      -4.369767201005e-14 
   31       1.374788357360e-10       1.479705867730e-15       2.198014350312e-13       7.178181119699e-17       3.165669861986e-10      -5.882216186297e-11      -4.162315231329e-14 
   32       1.382490326536e-10       1.546872072484e-15       2.231554924818e-13       7.647154006760e-17       2.970891701221e-10      -5.520804500141e-11      -3.765939132647e-14 
   33       1.390938274163e-10       1.619470698366e-15       2.258786202770e-13       8.130803563967e-17       2.792957340949e-10      -5.189102098262e-11      -3.238041441435e-14 
   34       1.400057830648e-10       1.711791588615e-15       2.282285147689e-13       8.629104912913e-17       2.629209763386e-10      -4.884006238374e-11      -2.645806885698e-14 
   35       1.409845411642e-10       1.829040139413e-15       2.303803916915e-13       9.142049029717e-17       2.478712187826e-10      -4.603811795350e-11      -2.034992994117e-14 
   36       1.420228318407e-10       1.973795936046e-15       2.325068739011e-13       9.669636996767e-17       2.340156385761e-10      -4.345518154504e-11      -1.451555008745e-14 
   37       1.431068530730e-10       2.147766200264e-15       2.347773136841e-13       1.021187957707e-16       2.211620470664e-10      -4.105011680488e-11      -9.422270783037e-15 
   38       1.442381065583e-10       2.349010899356e-15       2.372447752641e-13       1.076880265116e-16       2.092716517757e-10      -3.881608689901e-11      -5.263931295687e-15 
   39       1.454171535610e-10       2.573693470261e-15       2.399211983158e-13       1.134044518093e-16       1.983019585916e-10      -3.674765982871e-11      -2.150978120454e-15 
   40       1.466367874705e-10       2.816712416063e-15       2.428060266855e-13       1.192685902162e-16       1.881416302017e-10      -3.482728238689e-11      -1.840029608375e-16 
   41       1.478862453533e-10       3.073092176256e-15       2.458702597067e-13       1.252810788185e-16       1.786481987331e-10      -3.303157579129e-11       5.829161620114e-16 
   42       1.491673358191e-10       3.342908481621e-15       2.490054573313e-13       1.314426140842e-16       1.697903264158e-10      -3.135524839068e-11       2.631491931678e-16 
   43       1.504822699844e-10       3.627820596226e-15       2.520559671785e-13       1.377540084835e-16       1.615418027919e-10      -2.979317424292e-11      -9.416750181505e-16 
   44       1.518287186565e-10       3.929746920364e-15       2.548298990877e-13       1.442162175441e-16       1.538389413091e-10      -2.833315493270e-11      -2.769752002938e-15 
   45       1.532022368372e-10       4.250330727999e-15       2.571235700332e-13       1.508302664486e-16       1.466026973225e-10      -2.696011410269e-11      -4.936869027644e-15 
   46       1.546054037596e-10       4.589111606357e-15       2.588089676254e-13       1.575969835217e-16       1.398199029866e-10      -2.567149427393e-11      -7.272222878061e-15 
