# Matter power spectrum P(k) at redshift z=0
# for k=0.000782008 to 826.306 h/Mpc,
# number of wavenumbers equal to 521
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.820083848374e-04       1.738679750773e-04 
       6.176822371528e-03       1.269200718768e-03 
       1.871764651806e-02       3.683700269889e-03 
       3.155027742853e-02       6.076206687344e-03 
       4.440693395037e-02       8.420816393812e-03 
       5.727028818301e-02       1.072273828292e-02 
       7.013654944960e-02       1.298535540925e-02 
       8.300442891518e-02       1.521080667753e-02 
       9.587337329377e-02       1.740029434375e-02 
       1.087431082837e-01       1.955466723989e-02 
       1.216134842655e-01       2.167465233892e-02 
       1.344844141732e-01       2.376041848361e-02 
       1.473558451604e-01       2.581242294793e-02 
       1.602277444086e-01       2.783114907406e-02 
       1.731000914808e-01       2.981698531109e-02 
       1.859728739519e-01       3.177025169174e-02 
       1.988460847869e-01       3.369126747765e-02 
       2.117197207044e-01       3.558032368207e-02 
       2.245937811191e-01       3.743780528681e-02 
       2.374682674373e-01       3.926397368920e-02 
       2.503431825766e-01       4.105922164186e-02 
       2.632185306308e-01       4.282382434150e-02 
       2.760943166317e-01       4.455821265221e-02 
       2.889705463762e-01       4.626265293194e-02 
       3.018472263006e-01       4.793757390186e-02 
       3.147243633863e-01       4.958330945401e-02 
       3.276019650894e-01       5.120024805236e-02 
       3.404800392882e-01       5.278873557778e-02 
       3.533585942418e-01       5.434943826447e-02 
       3.662376385597e-01       5.588216447182e-02 
       3.791171811782e-01       5.738745923919e-02 
       3.919972313420e-01       5.886597291572e-02 
       4.048777985909e-01       6.031825362886e-02 
       4.177588927494e-01       6.174407081602e-02 
       4.306405239188e-01       6.314295444651e-02 
       4.435227024726e-01       6.451712014696e-02 
       4.564054390518e-01       6.586543352174e-02 
       4.692887445638e-01       6.718867493224e-02 
       4.821726301805e-01       6.848871909982e-02 
       4.950571073389e-01       6.976325296731e-02 
       5.079421877415e-01       7.101413170434e-02 
       5.208278833580e-01       7.224213161534e-02 
       5.337142064273e-01       7.344574673372e-02 
       5.466011694602e-01       7.462788944797e-02 
       5.594887852423e-01       7.578563623069e-02 
       5.723770668380e-01       7.692226197181e-02 
       5.852660275935e-01       7.803721415130e-02 
       5.981556811417e-01       7.912866128907e-02 
       6.110460414062e-01       8.020017888783e-02 
       6.239371226064e-01       8.124982998293e-02 
       6.368289392619e-01       8.227864169093e-02 
       6.497215061985e-01       8.328729843097e-02 
       6.626148385529e-01       8.427660065806e-02 
       6.755089517789e-01       8.524485505471e-02 
       6.884038616527e-01       8.619232001177e-02 
       7.012995842796e-01       8.712221292330e-02 
       7.141961360997e-01       8.803138702812e-02 
       7.270935338946e-01       8.892160587653e-02 
       7.399917947941e-01       8.979409596195e-02 
       7.528909362828e-01       9.064712805116e-02 
       7.657909762070e-01       9.148213971780e-02 
