# Matter power spectrum P(k) at redshift z=0
# for k=0.000782008 to 826.306 h/Mpc,
# number of wavenumbers equal to 521
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.820083848374e-04       1.738679750773e-04 
       6.176822371528e-03       1.269200718768e-03 
       1.871764651806e-02       3.682961930538e-03 
       3.155027742853e-02       6.073662995984e-03 
       4.440693395037e-02       8.415376547556e-03 
       5.727028818301e-02       1.071332007818e-02 
       7.013654944960e-02       1.297089121125e-02 
       8.300442891518e-02       1.519024623337e-02 
       9.587337329377e-02       1.737260685984e-02 
       1.087431082837e-01       1.951884256271e-02 
       1.216134842655e-01       2.162970157578e-02 
       1.344844141732e-01       2.370537568990e-02 
       1.473558451604e-01       2.574634486702e-02 
       1.602277444086e-01       2.775311523644e-02 
       1.731000914808e-01       2.972609844285e-02 
       1.859728739519e-01       3.166563809180e-02 
       1.988460847869e-01       3.357207717262e-02 
       2.117197207044e-01       3.544573066684e-02 
       2.245937811191e-01       3.728700722624e-02 
       2.374682674373e-01       3.909619251227e-02 
       2.503431825766e-01       4.087370299885e-02 
       2.632185306308e-01       4.261983818733e-02 
       2.760943166317e-01       4.433505245731e-02 
       2.889705463762e-01       4.601963652923e-02 
       3.018472263006e-01       4.767404256037e-02 
       3.147243633863e-01       4.929862834862e-02 
       3.276019650894e-01       5.089380586597e-02 
       3.404800392882e-01       5.245994468129e-02 
       3.533585942418e-01       5.399773239027e-02 
       3.662376385597e-01       5.550700454144e-02 
       3.791171811782e-01       5.698832825804e-02 
       3.919972313420e-01       5.844237484738e-02 
       4.048777985909e-01       5.986971379273e-02 
       4.177588927494e-01       6.127014197141e-02 
       4.306405239188e-01       6.264321922695e-02 
       4.435227024726e-01       6.399116828110e-02 
       4.564054390518e-01       6.531288985862e-02 
       4.692887445638e-01       6.660918307643e-02 
       4.821726301805e-01       6.788193052006e-02 
       4.950571073389e-01       6.912886573418e-02 
       5.079421877415e-01       7.035185160426e-02 
       5.208278833580e-01       7.155168143753e-02 
       5.337142064273e-01       7.272688916369e-02 
       5.466011694602e-01       7.388038198068e-02 
       5.594887852423e-01       7.500929131328e-02 
       5.723770668380e-01       7.611688171227e-02 
       5.852660275935e-01       7.720263024389e-02 
       5.981556811417e-01       7.826475001075e-02 
       6.110460414062e-01       7.930680008975e-02 
       6.239371226064e-01       8.032688898371e-02 
       6.368289392619e-01       8.132605536093e-02 
       6.497215061985e-01       8.230499849864e-02 
       6.626148385529e-01       8.326453170042e-02 
       6.755089517789e-01       8.420300504354e-02 
       6.884038616527e-01       8.512069669443e-02 
       7.012995842796e-01       8.602080543465e-02 
       7.141961360997e-01       8.690024653414e-02 
       7.270935338946e-01       8.776078274909e-02 
       7.399917947941e-01       8.860364563087e-02 
       7.528909362828e-01       8.942715007669e-02 
       7.657909762070e-01       9.023273538175e-02 
