# Matter power spectrum P(k) at redshift z=0
# for k=0.000782008 to 826.306 h/Mpc,
# number of wavenumbers equal to 521
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.820083848374e-04       1.738679745044e-04 
       6.176822371528e-03       1.269200713772e-03 
       1.871764651806e-02       3.683700262782e-03 
       3.155027742853e-02       6.076206693834e-03 
       4.440693395037e-02       8.420816388813e-03 
       5.727028818301e-02       1.072273828480e-02 
       7.013654944960e-02       1.298535544246e-02 
       8.300442891518e-02       1.521080670243e-02 
       9.587337329377e-02       1.740029434392e-02 
       1.087431082837e-01       1.955466729648e-02 
       1.216134842655e-01       2.167465232084e-02 
       1.344844141732e-01       2.376041840790e-02 
       1.473558451604e-01       2.581242290492e-02 
       1.602277444086e-01       2.783114886180e-02 
       1.731000914808e-01       2.981698531461e-02 
       1.859728739519e-01       3.177025155329e-02 
       1.988460847869e-01       3.369126740982e-02 
       2.117197207044e-01       3.558032367207e-02 
       2.245937811191e-01       3.743780525736e-02 
       2.374682674373e-01       3.926397368852e-02 
       2.503431825766e-01       4.105922159497e-02 
       2.632185306308e-01       4.282382432860e-02 
       2.760943166317e-01       4.455821259346e-02 
       2.889705463762e-01       4.626265293404e-02 
       3.018472263006e-01       4.793757388545e-02 
       3.147243633863e-01       4.958330950145e-02 
       3.276019650894e-01       5.120024803212e-02 
       3.404800392882e-01       5.278873557056e-02 
       3.533585942418e-01       5.434943824902e-02 
       3.662376385597e-01       5.588216457996e-02 
       3.791171811782e-01       5.738745931863e-02 
       3.919972313420e-01       5.886597292283e-02 
       4.048777985909e-01       6.031825345356e-02 
       4.177588927494e-01       6.174407061139e-02 
       4.306405239188e-01       6.314295467357e-02 
       4.435227024726e-01       6.451712000034e-02 
       4.564054390518e-01       6.586543331701e-02 
       4.692887445638e-01       6.718867517006e-02 
       4.821726301805e-01       6.848871888591e-02 
       4.950571073389e-01       6.976325302565e-02 
       5.079421877415e-01       7.101413184921e-02 
       5.208278833580e-01       7.224213152858e-02 
       5.337142064273e-01       7.344574690244e-02 
       5.466011694602e-01       7.462788920691e-02 
       5.594887852423e-01       7.578563643680e-02 
       5.723770668380e-01       7.692226206127e-02 
       5.852660275935e-01       7.803721394530e-02 
       5.981556811417e-01       7.912866162221e-02 
       6.110460414062e-01       8.020017905223e-02 
       6.239371226064e-01       8.124983027010e-02 
       6.368289392619e-01       8.227864212216e-02 
       6.497215061985e-01       8.328729885412e-02 
       6.626148385529e-01       8.427660056005e-02 
       6.755089517789e-01       8.524485480715e-02 
       6.884038616527e-01       8.619232038407e-02 
       7.012995842796e-01       8.712221281666e-02 
       7.141961360997e-01       8.803138720337e-02 
       7.270935338946e-01       8.892160633308e-02 
       7.399917947941e-01       8.979409611469e-02 
       7.528909362828e-01       9.064712844721e-02 
       7.657909762070e-01       9.148214021606e-02 
       7.786919327825e-01       9.230042248024e-02 
       7.915938246010e-01       9.309987927819e-02 
