# Matter power spectrum P(k) at redshift z=0
# for k=0.000782008 to 826.306 h/Mpc,
# number of wavenumbers equal to 521
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.820083848374e-04       1.738679745044e-04 
       6.176822371528e-03       1.269200713772e-03 
       1.871764651806e-02       3.682961924436e-03 
       3.155027742853e-02       6.073663004488e-03 
       4.440693395037e-02       8.415376545751e-03 
       5.727028818301e-02       1.071332008454e-02 
       7.013654944960e-02       1.297089125028e-02 
       8.300442891518e-02       1.519024626558e-02 
       9.587337329377e-02       1.737260686889e-02 
       1.087431082837e-01       1.951884262965e-02 
       1.216134842655e-01       2.162970156986e-02 
       1.344844141732e-01       2.370537562816e-02 
       1.473558451604e-01       2.574634483958e-02 
       1.602277444086e-01       2.775311504196e-02 
       1.731000914808e-01       2.972609846510e-02 
       1.859728739519e-01       3.166563797420e-02 
       1.988460847869e-01       3.357207712692e-02 
       2.117197207044e-01       3.544573068019e-02 
       2.245937811191e-01       3.728700722155e-02 
       2.374682674373e-01       3.909619253740e-02 
       2.503431825766e-01       4.087370297901e-02 
       2.632185306308e-01       4.261983820211e-02 
       2.760943166317e-01       4.433505242707e-02 
       2.889705463762e-01       4.601963655980e-02 
       3.018472263006e-01       4.767404257254e-02 
       3.147243633863e-01       4.929862842388e-02 
       3.276019650894e-01       5.089380587324e-02 
       3.404800392882e-01       5.245994470031e-02 
       3.533585942418e-01       5.399773239947e-02 
       3.662376385597e-01       5.550700467117e-02 
       3.791171811782e-01       5.698832835649e-02 
       3.919972313420e-01       5.844237487068e-02 
       4.048777985909e-01       5.986971363104e-02 
       4.177588927494e-01       6.127014177592e-02 
       4.306405239188e-01       6.264321945401e-02 
       4.435227024726e-01       6.399116813131e-02 
       4.564054390518e-01       6.531288964402e-02 
       4.692887445638e-01       6.660918329216e-02 
       4.821726301805e-01       6.788193027905e-02 
       4.950571073389e-01       6.912886575259e-02 
       5.079421877415e-01       7.035185169694e-02 
       5.208278833580e-01       7.155168128833e-02 
       5.337142064273e-01       7.272688925354e-02 
       5.466011694602e-01       7.388038164991e-02 
       5.594887852423e-01       7.500929140845e-02 
       5.723770668380e-01       7.611688167411e-02 
       5.852660275935e-01       7.720262989412e-02 
       5.981556811417e-01       7.826475017309e-02 
       6.110460414062e-01       7.930680006264e-02 
       6.239371226064e-01       8.032688905363e-02 
       6.368289392619e-01       8.132605554713e-02 
       6.497215061985e-01       8.230499864893e-02 
       6.626148385529e-01       8.326453130618e-02 
       6.755089517789e-01       8.420300447000e-02 
       6.884038616527e-01       8.512069669929e-02 
       7.012995842796e-01       8.602080493095e-02 
       7.141961360997e-01       8.690024627084e-02 
       7.270935338946e-01       8.776078272335e-02 
       7.399917947941e-01       8.860364526305e-02 
       7.528909362828e-01       8.942714990431e-02 
       7.657909762070e-01       9.023273526319e-02 
       7.786919327825e-01       9.102169508550e-02 
       7.915938246010e-01       9.179198254134e-02 
