# Matter power spectrum P(k) at redshift z=0.5
# for k=0.000782008 to 826.306 h/Mpc,
# number of wavenumbers equal to 521
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.820083848374e-04       3.225363900160e-05 
       6.176822371528e-03       2.354483179640e-04 
       1.871764651806e-02       6.834520577286e-04 
       3.155027742853e-02       1.127606213898e-03 
       4.440693395037e-02       1.563090951611e-03 
       5.727028818301e-02       1.990795292835e-03 
       7.013654944960e-02       2.411241340204e-03 
       8.300442891518e-02       2.824750457874e-03 
       9.587337329377e-02       3.231547756401e-03 
       1.087431082837e-01       3.631800177928e-03 
       1.216134842655e-01       4.025632724131e-03 
       1.344844141732e-01       4.413140965859e-03 
       1.473558451604e-01       4.794352787106e-03 
       1.602277444086e-01       5.169380298174e-03 
       1.731000914808e-01       5.538290692464e-03 
       1.859728739519e-01       5.901146376590e-03 
       1.988460847869e-01       6.258008385192e-03 
       2.117197207044e-01       6.608936558132e-03 
       2.245937811191e-01       6.953990861745e-03 
       2.374682674373e-01       7.293232366129e-03 
       2.503431825766e-01       7.626723130361e-03 
       2.632185306308e-01       7.954527372597e-03 
       2.760943166317e-01       8.276709672222e-03 
       2.889705463762e-01       8.593336613865e-03 
       3.018472263006e-01       8.904474542607e-03 
       3.147243633863e-01       9.210191652253e-03 
       3.276019650894e-01       9.510556397226e-03 
       3.404800392882e-01       9.805636743695e-03 
       3.533585942418e-01       1.009550253133e-02 
       3.662376385597e-01       1.038022031994e-02 
       3.791171811782e-01       1.065985790099e-02 
       3.919972313420e-01       1.093448367812e-02 
       4.048777985909e-01       1.120416204201e-02 
       4.177588927494e-01       1.146895872197e-02 
       4.306405239188e-01       1.172894050882e-02 
       4.435227024726e-01       1.198416745817e-02 
       4.564054390518e-01       1.223470594758e-02 
       4.692887445638e-01       1.248061820635e-02 
       4.821726301805e-01       1.272196633898e-02 
       4.950571073389e-01       1.295881565869e-02 
       5.079421877415e-01       1.319124074134e-02 
       5.208278833580e-01       1.341957611805e-02 
       5.337142064273e-01       1.364328510464e-02 
       5.466011694602e-01       1.386283122954e-02 
       5.594887852423e-01       1.407816552102e-02 
       5.723770668380e-01       1.428930397298e-02 
       5.852660275935e-01       1.449632357250e-02 
       5.981556811417e-01       1.469924284989e-02 
       6.110460414062e-01       1.489822606595e-02 
       6.239371226064e-01       1.509328745762e-02 
       6.368289392619e-01       1.528449630068e-02 
       6.497215061985e-01       1.547184661085e-02 
       6.626148385529e-01       1.565545072368e-02 
       6.755089517789e-01       1.583530648871e-02 
       6.884038616527e-01       1.601126752324e-02 
       7.012995842796e-01       1.618386660412e-02 
       7.141961360997e-01       1.635295945457e-02 
       7.270935338946e-01       1.651854112857e-02 
       7.399917947941e-01       1.668045917700e-02 
       7.528909362828e-01       1.683908768225e-02 
       7.657909762070e-01       1.699419381867e-02 
       7.786919327825e-01       1.714599130258e-02 
