# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.022584858620e-10       7.067143831417e-15       3.162801797860e-13       0.000000000000e+00       5.121319726440e-09       5.615411548743e-10      -2.251752332053e-12 
    3       2.175013158771e-10       1.157372895112e-14       3.385085897709e-13       0.000000000000e+00       3.071352905391e-09       4.691280554108e-10      -1.899643904682e-12 
    4       2.189756767601e-10       1.224791349689e-14       3.594112499912e-13       0.000000000000e+00       2.106217249636e-09       3.924717910713e-10      -1.380752585850e-12 
    5       2.139411825470e-10       9.872049732517e-15       3.841809986504e-13       0.000000000000e+00       1.561218561387e-09       3.321468770087e-10      -8.687998904347e-13 
    6       2.064454801968e-10       6.523941346568e-15       4.006981589804e-13       0.000000000000e+00       1.215287936689e-09       2.845245780525e-10      -4.311933808000e-13 
    7       1.984689618781e-10       3.843462431492e-15       4.009250883788e-13       0.000000000000e+00       9.792202676807e-10       2.464818593691e-10      -9.825253457262e-14 
    8       1.909994924291e-10       2.376304152151e-15       3.830122038606e-13       0.000000000000e+00       8.097206632440e-10       2.156585931177e-10       1.234086414330e-13 
    9       1.844166284309e-10       1.831945199187e-15       3.507086329143e-13       0.000000000000e+00       6.829608227347e-10       1.903960600514e-10       2.432052994020e-13 
   10       1.788379401885e-10       1.663764436203e-15       3.109740788247e-13       0.000000000000e+00       5.849482813845e-10       1.695227027936e-10       2.806667225080e-13 
   11       1.742666369146e-10       1.497610210914e-15       2.711213430619e-13       0.000000000000e+00       4.981369029990e-10       1.526967556377e-10       2.610311308689e-13 
   12       1.705429253059e-10       1.242786093362e-15       2.368285828222e-13       0.000000000000e+00       4.363935793664e-10       1.377484574821e-10       2.066994224731e-13 
   13       1.675230763865e-10       9.794536903459e-16       2.114381629721e-13       0.000000000000e+00       3.856509960199e-10       1.249577266283e-10       1.400929008151e-13 
   14       1.651101708915e-10       8.020367762742e-16       1.961546148216e-13       0.000000000000e+00       3.433812809231e-10       1.140009369930e-10       7.747683733023e-14 
   15       1.632813497568e-10       7.375533188051e-16       1.904624241296e-13       0.000000000000e+00       3.077528936485e-10       1.045319209803e-10       2.893668329082e-14 
   16       1.619361240069e-10       7.537910774372e-16       1.926287041313e-13       0.000000000000e+00       2.774109461381e-10       9.623947965112e-11      -1.197802069654e-15 
   17       1.609926580549e-10       8.073169947511e-16       2.002658924845e-13       0.000000000000e+00       2.513350502243e-10       8.880517953585e-11      -1.350950395681e-14 
   18       1.603107768434e-10       8.779654202170e-16       2.108065390806e-13       0.000000000000e+00       2.286607112264e-10       8.214800350588e-11      -1.177168821659e-14 
   19       1.599436064554e-10       9.732631157988e-16       2.223806205295e-13       0.000000000000e+00       2.090350984147e-10       7.626059248504e-11      -8.404029638759e-16 
   20       1.599009537592e-10       1.106872903740e-15       2.330408167385e-13       0.000000000000e+00       1.917166009669e-10       7.098666436805e-11       1.285666151123e-14 
   21       1.601401081345e-10       1.280692460811e-15       2.420690007785e-13       0.000000000000e+00       1.764414459622e-10       6.624498585490e-11       2.510033812413e-14 
   22       1.605470572048e-10       1.490693760140e-15       2.492135821246e-13       0.000000000000e+00       1.628509419460e-10       6.191047183110e-11       3.234745707768e-14 
   23       1.611413971716e-10       1.730475187151e-15       2.546795972727e-13       0.000000000000e+00       1.507643805308e-10       5.797320185775e-11       3.369824732998e-14 
   24       1.619432002608e-10       1.993400188292e-15       2.589216968345e-13       0.000000000000e+00       1.399088714783e-10       5.441427703967e-11       2.955689159792e-14 
   25       1.629397546044e-10       2.283656276675e-15       2.624625490508e-13       0.000000000000e+00       1.301606390635e-10       5.121414480059e-11       2.158239149540e-14 
   26       1.640792298511e-10       2.608318029666e-15       2.658344274949e-13       0.000000000000e+00       1.213469923644e-10       4.831552992502e-11       1.215063475723e-14 
   27       1.653400788275e-10       2.967969868815e-15       2.691359258509e-13       0.000000000000e+00       1.133662857885e-10       4.565520697049e-11       3.137833373218e-15 
   28       1.666951250703e-10       3.361078934101e-15       2.722664035699e-13       0.000000000000e+00       1.060854281933e-10       4.315511687574e-11      -3.745071437805e-15 
   29       1.681564834794e-10       3.787838940633e-15       2.749333945677e-13       0.000000000000e+00       9.946949357934e-11       4.081751228200e-11      -7.939302637054e-15 
   30       1.697296803464e-10       4.248788461224e-15       2.766980807751e-13       0.000000000000e+00       9.344939583267e-11       3.865392393025e-11      -9.287883447688e-15 
   31       1.714023748306e-10       4.744628512986e-15       2.770662385699e-13       0.000000000000e+00       8.790485765858e-11       3.665897108839e-11      -7.880092219859e-15 
   32       1.731755127449e-10       5.277620987667e-15       2.757544993775e-13       0.000000000000e+00       8.280896655700e-11       3.482491749463e-11      -4.587880632003e-15 
   33       1.750395389280e-10       5.850743790804e-15       2.725163773156e-13       0.000000000000e+00       7.812747799048e-11       3.312888244890e-11      -7.731747233997e-16 
   34       1.769737732755e-10       6.466766928127e-15       2.671292202210e-13       0.000000000000e+00       7.379699674644e-11       3.153806702302e-11       2.134293830013e-15 
