# Matter power spectrum P(k) at redshift z=0
# for k=1.16117e-05 to 1.74126 h/Mpc,
# number of wavenumbers equal to 629
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.161171775273e-05       3.341881235643e+01 
       2.449466086153e-05       6.858042446173e+01 
       3.742602028701e-05       1.032630976689e+02 
       5.044060886059e-05       1.378927515481e+02 
       6.357384267434e-05       1.727448701858e+02 
       7.686205697574e-05       2.080436689696e+02 
       9.034283252852e-05       2.439921373383e+02 
       1.040553367674e-04       2.807839308697e+02 
       1.180406841083e-04       3.186101610778e+02 
       1.323423198091e-04       3.576630429471e+02 
       1.470064317748e-04       3.981384094032e+02 
       1.620823946388e-04       4.402374261034e+02 
       1.776232502523e-04       4.841674515822e+02 
       1.936862283292e-04       5.301426026261e+02 
       2.103333102974e-04       5.783834163904e+02 
       2.276318382898e-04       6.291164072434e+02 
       2.456551694734e-04       6.825719818486e+02 
       2.644833733609e-04       7.389824216539e+02 
       2.842039660781e-04       7.985783178863e+02 
       3.049126704531e-04       8.615838360357e+02 
       3.267141838611e-04       9.282111200462e+02 
       3.497229265930e-04       9.986526984945e+02 
       3.740637317563e-04       1.073073164165e+03 
       3.998724231158e-04       1.151599805536e+03 
       4.272962099076e-04       1.234312011174e+03 
       4.564938080914e-04       1.321231278998e+03 
       4.876351772084e-04       1.412312650260e+03 
       5.209007436486e-04       1.507438151222e+03 
       5.564799689808e-04       1.606414601863e+03 
       5.945691220753e-04       1.708978205348e+03 
       6.353681335524e-04       1.814805068205e+03 
       6.790764585243e-04       1.923530589792e+03 
       7.258879548176e-04       2.034778353590e+03 
       7.759849000286e-04       2.148190616887e+03 
       8.295314142377e-04       2.263463244300e+03 
       8.866667067041e-04       2.380378134417e+03 
       9.474986936061e-04       2.498823774132e+03 
       1.012098602871e-03       2.618804029091e+03 
       1.080497158687e-03       2.740430354750e+03 
       1.152682807372e-03       2.863899959587e+03 
       1.228602220577e-03       2.989461888090e+03 
       1.308163032895e-03       3.117375409848e+03 
       1.391238498159e-03       3.247863787079e+03 
       1.477673540324e-03       3.381100261927e+03 
       1.567291569023e-03       3.517196321371e+03 
       1.659901434453e-03       3.656160858279e+03 
       1.755303991235e-03       3.797917793666e+03 
       1.853297889294e-03       3.942312033420e+03 
       1.953684372508e-03       4.089124747148e+03 
       2.056271012038e-03       4.238088443608e+03 
       2.160874413191e-03       4.388904015398e+03 
       2.267322007367e-03       4.541255481051e+03 
       2.375453077749e-03       4.694820958283e+03 
       2.485119177111e-03       4.849284177905e+03 
       2.596184087609e-03       5.004340077179e+03 
       2.708523453710e-03       5.159700691274e+03 
       2.822024196596e-03       5.315097291649e+03 
       2.936583795394e-03       5.470282870945e+03 
       3.052109499740e-03       5.625031501981e+03 
       3.168517520531e-03       5.779139328957e+03 
       3.285732231451e-03       5.932423197979e+03 
       3.403685402793e-03       6.084719232355e+03 
       3.522315480785e-03       6.235881770587e+03 
       3.641566919622e-03       6.385781608882e+03 
       3.761389569075e-03       6.534305178565e+03 
       3.881738117722e-03       6.681351844815e+03 
       4.002571589902e-03       6.826834993004e+03 
       4.123852893359e-03       6.970678232046e+03 
       4.245548413910e-03       7.112814706451e+03 
       4.367627653179e-03       7.253188398317e+03 
       4.490062905425e-03       7.391750557509e+03 
       4.612828969593e-03       7.528460272503e+03 
       4.735902892944e-03       7.663282058113e+03 
       4.859263742874e-03       7.796187159593e+03 
       4.982892403834e-03       7.927153892132e+03 
       5.106771396534e-03       8.056161495088e+03 
       5.230884716934e-03       8.183197426777e+03 
       5.355217692735e-03       8.308251200014e+03 
       5.479756855404e-03       8.431317910706e+03 
       5.604489825922e-03       8.552400384865e+03 
       5.729405212700e-03       8.671490436401e+03 
       5.854492520265e-03       8.788588483066e+03 
       5.979742067492e-03       8.903666485959e+03 
       6.105144914296e-03       9.016790206637e+03 
       6.230692795838e-03       9.127891892975e+03 
       6.356378063394e-03       9.237045425669e+03 
       6.482193631160e-03       9.344235423982e+03 
       6.608132928319e-03       9.449473293227e+03 
       6.734189855819e-03       9.552772381936e+03 
       6.860358747335e-03       9.654142279271e+03 
       6.986634333971e-03       9.753598109586e+03 
       7.113011712303e-03       9.851150337842e+03 
       7.239486315423e-03       9.946808670509e+03 
       7.366053886649e-03       1.004059351267e+04 
       7.492710455652e-03       1.013252265331e+04 
       7.619452316732e-03       1.022260785055e+04 
       7.746276009042e-03       1.031086474885e+04 
       7.873178298556e-03       1.039731069931e+04 
       8.000156161614e-03       1.048196273579e+04 
       8.127206769885e-03       1.056485378636e+04 
       8.254327476619e-03       1.064596125857e+04 
       8.381515804055e-03       1.072532484182e+04 
       8.508769431885e-03       1.080294937277e+04 
       8.636086186671e-03       1.087887125825e+04 
       8.763464032125e-03       1.095309857020e+04 
       8.890901060176e-03       1.102564163101e+04 
       9.018395482757e-03       1.109653303627e+04 
       9.145945624236e-03       1.116577828855e+04 
       9.273549914446e-03       1.123339996284e+04 
       9.401206882257e-03       1.129944432390e+04 
       9.528915149640e-03       1.136386969511e+04 
       9.656673426187e-03       1.142673579672e+04 
       9.784480504046e-03       1.148804948004e+04 
       9.912335253233e-03       1.154779383103e+04 
       1.004023661729e-02       1.160602226633e+04 
       1.016818360929e-02       1.166276525098e+04 
       1.029617530808e-02       1.171790229892e+04 
       1.042421085484e-02       1.177168715221e+04 
       1.055228944990e-02       1.182391467823e+04 
       1.068041034976e-02       1.187475291740e+04 
       1.080857286430e-02       1.192425776777e+04 
       1.093677635426e-02       1.197224072867e+04 
       1.106502022883e-02       1.201888503442e+04 
       1.119330394343e-02       1.206406353849e+04 
       1.132162699768e-02       1.210789365684e+04 
       1.144998893346e-02       1.215044058346e+04 
       1.157838933312e-02       1.219158210227e+04 
       1.170682781785e-02       1.223148027455e+04 
       1.183530404614e-02       1.227006306653e+04 
       1.196381771232e-02       1.230731637970e+04 
       1.209236854522e-02       1.234329034185e+04 
       1.222095630698e-02       1.237802533039e+04 
       1.234958079185e-02       1.241151900857e+04 
       1.247824182514e-02       1.244376753431e+04 
       1.260693926223e-02       1.247481522984e+04 
       1.273567298761e-02       1.250466382914e+04 
       1.286444291408e-02       1.253337097521e+04 
       1.299324898193e-02       1.256081236194e+04 
       1.312209115818e-02       1.258717875642e+04 
       1.325096943595e-02       1.261248395279e+04 
       1.337988383381e-02       1.263651918277e+04 
       1.350883439519e-02       1.265946773723e+04 
       1.363782118788e-02       1.268116048675e+04 
       1.376684430352e-02       1.270189180530e+04 
       1.389590385718e-02       1.272156565306e+04 
       1.402499998693e-02       1.274021752570e+04 
       1.415413285347e-02       1.275773813927e+04 
       1.428330263985e-02       1.277421693200e+04 
       1.441250955109e-02       1.278975474051e+04 
       1.454175381400e-02       1.280422667233e+04 
       1.467103567687e-02       1.281772112865e+04 
