# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.022587704153e-10       7.067316924532e-15       3.162801756189e-13       1.730930939777e-19       5.121319726440e-09       5.615411548743e-10      -2.251752332053e-12 
    3       2.175018845506e-10       1.157407525603e-14       3.385085712424e-13       3.463046960364e-19       3.071352905391e-09       4.691280554108e-10      -1.899643904682e-12 
    4       2.189766235871e-10       1.224849093216e-14       3.594111969138e-13       5.774342603410e-19       2.106217249636e-09       3.924717910713e-10      -1.380752585850e-12 
    5       2.139426009840e-10       9.872916365867e-15       3.841808781938e-13       8.666299501088e-19       1.561218561387e-09       3.321468770087e-10      -8.687998904347e-13 
    6       2.064474629804e-10       6.525155424467e-15       4.006979231986e-13       1.214068797035e-18       1.215287936689e-09       2.845245780525e-10      -4.311933808000e-13 
    7       1.984716008820e-10       3.845082403897e-15       4.009246721508e-13       1.619951701593e-18       9.792202676807e-10       2.464818593691e-10      -9.825253457262e-14 
    8       1.910028785232e-10       2.378388691638e-15       3.830115232906e-13       2.084497858920e-18       8.097206632440e-10       2.156585931177e-10       1.234086414330e-13 
    9       1.844208513419e-10       1.834553213877e-15       3.507075842198e-13       2.607938814222e-18       6.829608227347e-10       1.903960600514e-10       2.432052994020e-13 
   10       1.788430883628e-10       1.666955076006e-15       3.109725377199e-13       3.190512363782e-18       5.849482813845e-10       1.695227027936e-10       2.806667225080e-13 
   11       1.742727973852e-10       1.501442866788e-15       2.711191646274e-13       3.832456521372e-18       4.981369029990e-10       1.526967556377e-10       2.610311308689e-13 
   12       1.705501835636e-10       1.247320389422e-15       2.368256018324e-13       4.534003765015e-18       4.363935793664e-10       1.377484574821e-10       2.066994224731e-13 
   13       1.675315162559e-10       9.847494688516e-16       2.114341946365e-13       5.295375765864e-18       3.856509960199e-10       1.249577266283e-10       1.400929008151e-13 
   14       1.651198744143e-10       8.081540756794e-16       1.961494558831e-13       6.116778779986e-18       3.433812809231e-10       1.140009369930e-10       7.747683733023e-14 
