# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.617555226407e-10       7.397282265280e-15       2.070862505101e-13       0.000000000000e+00       3.806878121738e-09       6.359896364289e-10      -2.211548070880e-12 
    3       3.009749943121e-10       1.122019930610e-14       2.280721910480e-13       0.000000000000e+00       2.210247491931e-09       5.411315891548e-10      -1.750239252414e-12 
    4       3.094911168041e-10       1.051387154804e-14       3.165729879435e-13       0.000000000000e+00       1.503323914493e-09       4.560780797689e-10      -1.117903157844e-12 
    5       3.028691791628e-10       7.387537937943e-15       4.181757148474e-13       0.000000000000e+00       1.113524983301e-09       3.874041378303e-10      -5.375138406088e-13 
    6       2.901468489178e-10       4.428607155046e-15       4.859934102547e-13       0.000000000000e+00       8.685927311976e-10       3.324932470124e-10      -9.144654973402e-14 
    7       2.758478027123e-10       2.755409819446e-15       5.031974231332e-13       0.000000000000e+00       7.018304319718e-10       2.884107634977e-10       1.963090182280e-13 
    8       2.621120357962e-10       2.122610414422e-15       4.750739765530e-13       0.000000000000e+00       5.818367882064e-10       2.526989184241e-10       3.374806997418e-13 
    9       2.497421709954e-10       1.860876527268e-15       4.185935043076e-13       0.000000000000e+00       4.919582884060e-10       2.234117761964e-10       3.643712150867e-13 
   10       2.388688136933e-10       1.564019045814e-15       3.531512280660e-13       0.000000000000e+00       4.225232443058e-10       1.990796326792e-10       3.175195595611e-13 
   11       2.295856302157e-10       1.201014813295e-15       2.944165876547e-13       0.000000000000e+00       3.645428891197e-10       1.795245093298e-10       2.378234663747e-13 
   12       2.216839770395e-10       8.982449076153e-16       2.517104816484e-13       0.000000000000e+00       3.203163222496e-10       1.619820088497e-10       1.522466252253e-13 
   13       2.150118550069e-10       7.352672291512e-16       2.282566977864e-13       0.000000000000e+00       2.838862641685e-10       1.470715489053e-10       8.370799584794e-14 
   14       2.093783398411e-10       6.981937996792e-16       2.222613575743e-13       0.000000000000e+00       2.534647528954e-10       1.341695137949e-10       4.106473694480e-14 
   15       2.045579289157e-10       7.373089316949e-16       2.286571534715e-13       0.000000000000e+00       2.277574973564e-10       1.228578179560e-10       2.388154658539e-14 
   16       2.005293268845e-10       8.221921318624e-16       2.415936572193e-13       0.000000000000e+00       2.058084452621e-10       1.128909905962e-10       2.561627165437e-14 
   17       1.972517707363e-10       9.475046448413e-16       2.559347188002e-13       0.000000000000e+00       1.868981404191e-10       1.040917058782e-10       3.715152907414e-14 
   18       1.945998046720e-10       1.113006275551e-15       2.675723954722e-13       0.000000000000e+00       1.704160205718e-10       9.624859411298e-11       4.949470189713e-14 
   19       1.925397085751e-10       1.311589121676e-15       2.753059053921e-13       0.000000000000e+00       1.561128950770e-10       8.928336473016e-11       5.755686970318e-14 
   20       1.909182884897e-10       1.532963781841e-15       2.790730850271e-13       0.000000000000e+00       1.434634628276e-10       8.299935409777e-11       5.757609427356e-14 
   21       1.897511516276e-10       1.778918150115e-15       2.800815823471e-13       0.000000000000e+00       1.322823302834e-10       7.736833443799e-11       5.020434439649e-14 
   22       1.890141734030e-10       2.056181697387e-15       2.802007747939e-13       0.000000000000e+00       1.223123275499e-10       7.232316640826e-11       3.828260492131e-14 
   23       1.886433334755e-10       2.372682861429e-15       2.807863267434e-13       0.000000000000e+00       1.134251549310e-10       6.778905249438e-11       2.501302135222e-14 
   24       1.885113285348e-10       2.735792766470e-15       2.828979205957e-13       0.000000000000e+00       1.054251417761e-10       6.363447249156e-11       1.389943469465e-14 
   25       1.886173110425e-10       3.144411838910e-15       2.863134835038e-13       0.000000000000e+00       9.822630903432e-11       5.981715370167e-11       6.514599660291e-15 
   26       1.889627249422e-10       3.594705353276e-15       2.901710078232e-13       0.000000000000e+00       9.170666737914e-11       5.629134001386e-11       3.530161645204e-15 
   27       1.895432519905e-10       4.087684928473e-15       2.933076033968e-13       0.000000000000e+00       8.579278235582e-11       5.304836731141e-11       4.081102248404e-15 
   28       1.903291940291e-10       4.625533403442e-15       2.944280864944e-13       0.000000000000e+00       8.038704247289e-11       5.006908102777e-11       6.594504449467e-15 
   29       1.913222550605e-10       5.208933888780e-15       2.929874675187e-13       0.000000000000e+00       7.546522205967e-11       4.734496041460e-11       9.765546844129e-15 
   30       1.925037740817e-10       5.837763803125e-15       2.886362994951e-13       0.000000000000e+00       7.097837587142e-11       4.484380244521e-11       1.208517761352e-14 
   31       1.938303867590e-10       6.512040956754e-15       2.811246997056e-13       0.000000000000e+00       6.683976445833e-11       4.251276337865e-11       1.209040382860e-14 
   32       1.953000907332e-10       7.234284083474e-15       2.707776002538e-13       0.000000000000e+00       6.303040566180e-11       4.034392048943e-11       9.970376707579e-15 
   33       1.969053187057e-10       8.008070365105e-15       2.582147623807e-13       0.000000000000e+00       5.952543065263e-11       3.832908154154e-11       6.579312913708e-15 
   34       1.986235411146e-10       8.836955448170e-15       2.440690045921e-13       0.000000000000e+00       5.627834180645e-11       3.644825947375e-11       2.908579532224e-15 
   35       2.004538168630e-10       9.722714808898e-15       2.283873946170e-13       0.000000000000e+00       5.327414583292e-11       3.469547506245e-11      -3.802334109615e-16 
   36       2.023895859840e-10       1.066648435420e-14       2.110214524165e-13       0.000000000000e+00       5.049042863042e-11       3.305954489173e-11      -2.632835533665e-15 
   37       2.044158691729e-10       1.166902864091e-14       1.917775387490e-13       0.000000000000e+00       4.789294329993e-11       3.152259241423e-11      -3.286844313687e-15 
   38       2.065387110161e-10       1.273012049683e-14       1.704046626371e-13       0.000000000000e+00       4.547598507301e-11       3.008251879743e-11      -2.610767973424e-15 
   39       2.087633048979e-10       1.384891559422e-14       1.465959764312e-13       0.000000000000e+00       4.323276847741e-11       2.873647241527e-11      -1.216265058509e-15 
   40       2.110848082810e-10       1.502408098412e-14       1.199868861030e-13       0.000000000000e+00       4.114311406791e-11       2.747396288377e-11       1.262427562382e-16 
   41       2.134928771102e-10       1.625430767835e-14       9.025764647402e-14       0.000000000000e+00       3.918069452808e-11       2.628094271371e-11       6.790855566814e-16 
   42       2.159894924194e-10       1.754011925974e-14       5.749090191345e-14       0.000000000000e+00       3.734043481446e-11       2.515528457838e-11       4.120251405068e-16 
   43       2.185752227991e-10       1.888260289780e-14       2.192382445779e-14       0.000000000000e+00       3.561805379483e-11       2.409519814863e-11      -4.704059715836e-16 
   44       2.212435474426e-10       2.028292629403e-14      -1.614514556929e-14       0.000000000000e+00       3.400182757978e-11       2.309455738822e-11      -1.708567470034e-15 
   45       2.239847307204e-10       2.174212603230e-14      -5.643440329118e-14       0.000000000000e+00       3.247692340718e-11       2.214536232745e-11      -3.036625157187e-15 
   46       2.268003289494e-10       2.326037817568e-14      -9.894919228222e-14       0.000000000000e+00       3.104135111399e-11       2.124683276269e-11      -4.354836483134e-15 
   47       2.296919365498e-10       2.483752332168e-14      -1.437866429793e-13       0.000000000000e+00       2.969376649972e-11       2.039843354441e-11      -5.602920475121e-15 
   48       2.326566830789e-10       2.647326291173e-14      -1.910626632467e-13       0.000000000000e+00       2.842865123851e-11       1.959711078468e-11      -6.711762076778e-15 
   49       2.356868558003e-10       2.816715464034e-14      -2.409132941454e-13       0.000000000000e+00       2.723600068171e-11       1.883710140425e-11      -7.602987515560e-15 
   50       2.387735286521e-10       2.991854657931e-14      -2.934648190022e-13       0.000000000000e+00       2.610440680294e-11       1.811183677428e-11      -8.217156005772e-15 
   51       2.419194860611e-10       3.172636912067e-14      -3.487313801325e-13       0.000000000000e+00       2.503201787329e-11       1.742070465767e-11      -8.608341350140e-15 
   52       2.451291547399e-10       3.358927862352e-14      -4.066919148647e-13       0.000000000000e+00       2.401801401380e-11       1.676379351077e-11      -8.874489441425e-15 
   53       2.484047194781e-10       3.550570646568e-14      -4.673188613636e-13       0.000000000000e+00       2.305932325003e-11       1.613986908183e-11      -9.131945919664e-15 
   54       2.517459342481e-10       3.747385156888e-14      -5.305780439663e-13       0.000000000000e+00       2.215046908614e-11       1.554628250372e-11      -9.516378190694e-15 
   55       2.551513597650e-10       3.949188274030e-14      -5.964298348038e-13       0.000000000000e+00       2.128528469461e-11       1.497989958246e-11      -1.014544541208e-14 
   56       2.586228689253e-10       4.155862168420e-14      -6.648332392748e-13       0.000000000000e+00       2.046290335295e-11       1.444036955230e-11      -1.099383654981e-14 
   57       2.621619297523e-10       4.367301657233e-14      -7.357426246490e-13       0.000000000000e+00       1.968298917408e-11       1.392750736682e-11      -1.198880408004e-14 
   58       2.657681465871e-10       4.583394777815e-14      -8.091064691793e-13       0.000000000000e+00       1.894392290761e-11       1.344029266216e-11      -1.304514025224e-14 
   59       2.694391267702e-10       4.804022857669e-14      -8.848672971629e-13       0.000000000000e+00       1.824272223920e-11       1.297681763669e-11      -1.406460876882e-14 
   60       2.731703473233e-10       5.029060584441e-14      -9.629616140038e-13       0.000000000000e+00       1.757496208990e-11       1.253423493055e-11      -1.493537646469e-14 
   61       2.769569945303e-10       5.258352960547e-14      -1.043321852549e-12       0.000000000000e+00       1.693602667233e-11       1.210957969882e-11      -1.555759643593e-14 
   62       2.808002667996e-10       5.491639964042e-14      -1.125882869522e-12       0.000000000000e+00       1.632537437354e-11       1.170256936843e-11      -1.592815346298e-14 
   63       2.847022564097e-10       5.728615024305e-14      -1.210576798688e-12       0.000000000000e+00       1.574309309736e-11       1.131334268818e-11      -1.607401868154e-14 
   64       2.886640321310e-10       5.968945994868e-14      -1.297331167147e-12       0.000000000000e+00       1.518861627806e-11       1.094161708952e-11      -1.602803293956e-14 
   65       2.926855685059e-10       6.212274489966e-14      -1.386068894222e-12       0.000000000000e+00       1.466068543538e-11       1.058666430371e-11      -1.582916824262e-14 
   66       2.967656751294e-10       6.458215221092e-14      -1.476708290328e-12       0.000000000000e+00       1.415731272954e-11       1.024728597886e-11      -1.552278919920e-14 
   67       3.009019259293e-10       6.706355333552e-14      -1.569163055856e-12       0.000000000000e+00       1.367574351619e-11       9.921789297063e-12      -1.516091446594e-14 
   68       3.050917448585e-10       6.956290617283e-14      -1.663345151966e-12       0.000000000000e+00       1.321320378758e-11       9.608461808463e-12      -1.479203358394e-14 
   69       3.093360765072e-10       7.207744142517e-14      -1.759174090980e-12       0.000000000000e+00       1.276940206508e-11       9.307162162166e-12      -1.442757704174e-14 
   70       3.136363356271e-10       7.460470581427e-14      -1.856569535100e-12       0.000000000000e+00       1.234446951736e-11       9.018009377751e-12      -1.406909061996e-14 
   71       3.179932761211e-10       7.714221735420e-14      -1.955448662086e-12       0.000000000000e+00       1.193820286912e-11       8.740900740394e-12      -1.371807328758e-14 
   72       3.224069498989e-10       7.968746814760e-14      -2.055726237579e-12       0.000000000000e+00       1.155004702993e-11       8.475500185666e-12      -1.337597152177e-14 
   73       3.268766657339e-10       8.223792718202e-14      -2.157314687435e-12       0.000000000000e+00       1.117907772296e-11       8.221226684325e-12      -1.304417362756e-14 
