# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.617557255331e-10       7.397429969393e-15       2.070862465283e-13       1.477040829051e-19       3.806878121738e-09       6.359896364289e-10      -2.211548070880e-12 
    3       3.009754006158e-10       1.122049478684e-14       2.280721733496e-13       2.954804536606e-19       2.210247491931e-09       5.411315891548e-10      -1.750239252414e-12 
    4       3.094917950957e-10       1.051436417604e-14       3.165729372669e-13       4.926266002680e-19       1.503323914493e-09       4.560780797689e-10      -1.117903157844e-12 
    5       3.028701986178e-10       7.388277177548e-15       4.181755999052e-13       7.392348717506e-19       1.113524983301e-09       3.874041378303e-10      -5.375138406088e-13 
    6       2.901482793826e-10       4.429642585020e-15       4.859931854246e-13       1.035417310921e-18       8.685927311976e-10       3.324932470124e-10      -9.144654973402e-14 
    7       2.758497147306e-10       2.756791151733e-15       5.031970265699e-13       1.381303519212e-18       7.018304319718e-10       2.884107634977e-10       1.963090182280e-13 
    8       2.621145005838e-10       2.124387510400e-15       4.750733287714e-13       1.777038217031e-18       5.818367882064e-10       2.526989184241e-10       3.374806997418e-13 
    9       2.497452603605e-10       1.863099410933e-15       4.185925072663e-13       2.222778560817e-18       4.919582884060e-10       2.234117761964e-10       3.643712150867e-13 
   10       2.388725999027e-10       1.566737913280e-15       3.531497647650e-13       2.718691283668e-18       4.225232443058e-10       1.990796326792e-10       3.175195595611e-13 
   11       2.295901858079e-10       1.204280037978e-15       2.944145222397e-13       3.264949730259e-18       3.645428891197e-10       1.795245093298e-10       2.378234663747e-13 
   12       2.216893745894e-10       9.021070404759e-16       2.517076599981e-13       3.861730858696e-18       3.203163222496e-10       1.619820088497e-10       1.522466252253e-13 
   13       2.150181668479e-10       7.397769934084e-16       2.282529485429e-13       4.509212281839e-18       2.838862641685e-10       1.470715489053e-10       8.370799584794e-14 
   14       2.093856377528e-10       7.034020794727e-16       2.222564935617e-13       5.207569418611e-18       2.534647528954e-10       1.341695137949e-10       4.106473694480e-14 
   15       2.045662837868e-10       7.432667542726e-16       2.286509734381e-13       5.956972821761e-18       2.277574973564e-10       1.228578179560e-10       2.388154658539e-14 
   16       2.005388083609e-10       8.289506430045e-16       2.415859478292e-13       6.757585742827e-18       2.058084452621e-10       1.128909905962e-10       2.561627165437e-14 
   17       1.972624468668e-10       9.551150773949e-16       2.559252567969e-13       7.609561987575e-18       1.868981404191e-10       1.040917058782e-10       3.715152907414e-14 
   18       1.946117415571e-10       1.121519911316e-15       2.675609499727e-13       8.513043991482e-18       1.704160205718e-10       9.624859411298e-11       4.949470189713e-14 
   19       1.925529700644e-10       1.321057245826e-15       2.752922400113e-13       9.468161954105e-18       1.561128950770e-10       8.928336473016e-11       5.755686970318e-14 
   20       1.909329358486e-10       1.543437633029e-15       2.790569603606e-13       1.047503149212e-17       1.434634628276e-10       8.299935409777e-11       5.757609427356e-14 
   21       1.897672433284e-10       1.790448863606e-15       2.800627577984e-13       1.153375490028e-17       1.322823302834e-10       7.736833443799e-11       5.020434439649e-14 
   22       1.890317648777e-10       2.068820244040e-15       2.801790108143e-13       1.264441863381e-17       1.223123275499e-10       7.232316640826e-11       3.828260492131e-14 
   23       1.886624770152e-10       2.386479984220e-15       2.807613863045e-13       1.380709608880e-17       1.134251549310e-10       6.778905249438e-11       2.501302135222e-14 
   24       1.885320731519e-10       2.750798912613e-15       2.828695710801e-13       1.502184504082e-17       1.054251417761e-10       6.363447249156e-11       1.389943469465e-14 
   25       1.886397025027e-10       3.160677095772e-15       2.862814977450e-13       1.628871237822e-17       9.822630903432e-11       5.981715370167e-11       6.514599660291e-15 
   26       1.889868057494e-10       3.612279377936e-15       2.901351656123e-13       1.760773085933e-17       9.170666737914e-11       5.629134001386e-11       3.530161645204e-15 
   27       1.895690615232e-10       4.106616884754e-15       2.932676923111e-13       1.897892413501e-17       8.579278235582e-11       5.304836731141e-11       4.081102248404e-15 
   28       1.903567686497e-10       4.645871895535e-15       2.943839031004e-13       2.040230476888e-17       8.038704247289e-11       5.006908102777e-11       6.594504449467e-15 
   29       1.913516284044e-10       5.230726920232e-15       2.929388179795e-13       2.187788404317e-17       7.546522205967e-11       4.734496041460e-11       9.765546844129e-15 
   30       1.925349772583e-10       5.861058713383e-15       2.885830006840e-13       2.340566410049e-17       7.097837587142e-11       4.484380244521e-11       1.208517761352e-14 
   31       1.938634485623e-10       6.536884361642e-15       2.810665805538e-13       2.498563884102e-17       6.683976445833e-11       4.251276337865e-11       1.209040382860e-14 
   32       1.953350379854e-10       7.260721865472e-15       2.707145031824e-13       2.661780902792e-17       6.303040566180e-11       4.034392048943e-11       9.970376707579e-15 
   33       1.969421765709e-10       8.036147629904e-15       2.581465446762e-13       2.830217280433e-17       5.952543065263e-11       3.832908154154e-11       6.579312913708e-15 
   34       1.986623333928e-10       8.866716481863e-15       2.439955401696e-13       3.003872536706e-17       5.627834180645e-11       3.644825947375e-11       2.908579532224e-15 
   35       2.004945662229e-10       9.754203086140e-15       2.283085772040e-13       3.182747108450e-17       5.327414583292e-11       3.469547506245e-11      -3.802334109615e-16 
   36       2.024323142873e-10       1.069974251310e-14       2.109371978627e-13       3.366841619540e-17       5.049042863042e-11       3.305954489173e-11      -2.632835533665e-15 
   37       2.044605977335e-10       1.170409845763e-14       1.916877879417e-13       3.556156849091e-17       4.789294329993e-11       3.152259241423e-11      -3.286844313687e-15 
   38       2.065854604787e-10       1.276704290412e-14       1.703093876512e-13       3.750694572102e-17       4.547598507301e-11       3.008251879743e-11      -2.610767973424e-15 
   39       2.088120954109e-10       1.388773067226e-14       1.464951846673e-13       3.950457091096e-17       4.323276847741e-11       2.873647241527e-11      -1.216265058509e-15 
   40       2.111356597983e-10       1.506482794124e-14       1.198806237111e-13       4.155447091465e-17       4.114311406791e-11       2.747396288377e-11       1.262427562382e-16 
   41       2.135458095090e-10       1.629702483460e-14       9.014600305080e-14       4.365667690833e-17       3.918069452808e-11       2.628094271371e-11       6.790855566814e-16 
   42       2.160445249490e-10       1.758484403619e-14       5.737401922769e-14       4.581122454790e-17       3.734043481446e-11       2.515528457838e-11       4.120251405068e-16 
   43       2.186323740152e-10       1.892937180425e-14       2.180190266010e-14       4.801815492486e-17       3.561805379483e-11       2.409519814863e-11      -4.704059715836e-16 
   44       2.213028353321e-10       2.033177491708e-14      -1.627184258193e-14       5.027751531839e-17       3.400182757978e-11       2.309455738822e-11      -1.708567470034e-15 
   45       2.240461726115e-10       2.179308900310e-14      -5.656554203692e-14       5.258935583564e-17       3.247692340718e-11       2.214536232745e-11      -3.036625157187e-15 
   46       2.268639406867e-10       2.331348906654e-14      -9.908436273642e-14       5.495371666712e-17       3.104135111399e-11       2.124683276269e-11      -4.354836483134e-15 
   47       2.297577321955e-10       2.489281459515e-14      -1.439253520612e-13       5.737063808087e-17       2.969376649972e-11       2.039843354441e-11      -5.602920475121e-15 
   48       2.327246748089e-10       2.653076588958e-14      -1.912043283407e-13       5.984016445760e-17       2.842865123851e-11       1.959711078468e-11      -6.711762076778e-15 
   49       2.357570537936e-10       2.822689947286e-14      -2.410572364071e-13       6.236234468429e-17       2.723600068171e-11       1.883710140425e-11      -7.602987515560e-15 
   50       2.388459408654e-10       2.998056218671e-14      -2.936102581046e-13       6.493722711464e-17       2.610440680294e-11       1.811183677428e-11      -8.217156005772e-15 
   51       2.419941176356e-10       3.179068304141e-14      -3.488774342974e-13       6.756484192474e-17       2.503201787329e-11       1.742070465767e-11      -8.608341350140e-15 
   52       2.452060076643e-10       3.365591693085e-14      -4.068375966711e-13       7.024521464837e-17       2.401801401380e-11       1.676379351077e-11      -8.874489441425e-15 
   53       2.484837923405e-10       3.557469370897e-14      -4.674630718893e-13       7.297837132618e-17       2.305932325003e-11       1.613986908183e-11      -9.131945919664e-15 
   54       2.518272219762e-10       3.754521071385e-14      -5.307195667930e-13       7.576433864356e-17       2.215046908614e-11       1.554628250372e-11      -9.516378190694e-15 
   55       2.552348534958e-10       3.956563512579e-14      -5.965673339636e-13       7.860314250211e-17       2.128528469461e-11       1.497989958246e-11      -1.014544541208e-14 
   56       2.587085563278e-10       4.163478703587e-14      -6.649652704869e-13       8.149480300225e-17       2.046290335295e-11       1.444036955230e-11      -1.099383654981e-14 
   57       2.622497949894e-10       4.375161297169e-14      -7.358676363263e-13       8.443933845570e-17       1.968298917408e-11       1.392750736682e-11      -1.198880408004e-14 
   58       2.658581701398e-10       4.591499161470e-14      -8.092227996652e-13       8.743676691803e-17       1.894392290761e-11       1.344029266216e-11      -1.304514025224e-14 
   59       2.695312852559e-10       4.812373449972e-14      -8.849731719894e-13       9.048710626547e-17       1.824272223920e-11       1.297681763669e-11      -1.406460876882e-14 
   60       2.732646133075e-10       5.037658671434e-14      -9.630551431703e-13       9.359037427184e-17       1.757496208990e-11       1.253423493055e-11      -1.493537646469e-14 
   61       2.770533366276e-10       5.267199657887e-14      -1.043401032247e-12       9.674659683774e-17       1.693602667233e-11       1.210957969882e-11      -1.555759643593e-14 
   62       2.808986507286e-10       5.500736269184e-14      -1.125945598314e-12       9.995583466293e-17       1.632537437354e-11       1.170256936843e-11      -1.592815346298e-14 
   63       2.848026452986e-10       5.737961834784e-14      -1.210620882526e-12       1.032181627245e-16       1.574309309736e-11       1.131334268818e-11      -1.607401868154e-14 
   64       2.887663865491e-10       5.978544114410e-14      -1.297354320418e-12       1.065336629818e-16       1.518861627806e-11       1.094161708952e-11      -1.602803293956e-14 
   65       2.927898464996e-10       6.222124634985e-14      -1.386068740949e-12       1.099024247119e-16       1.466068543538e-11       1.058666430371e-11      -1.582916824262e-14 
   66       2.968718322601e-10       6.468318027575e-14      -1.476682365533e-12       1.133245448449e-16       1.415731272954e-11       1.024728597886e-11      -1.552278919920e-14 
   67       3.010099153156e-10       6.716711364320e-14      -1.569108807090e-12       1.168001283000e-16       1.367574351619e-11       9.921789297063e-12      -1.516091446594e-14 
   68       3.052015172423e-10       6.966900387310e-14      -1.663259940725e-12       1.203293020412e-16       1.321320378758e-11       9.608461808463e-12      -1.479203358394e-14 
   69       3.094475803949e-10       7.218608201761e-14      -1.759055193412e-12       1.239122598026e-16       1.276940206508e-11       9.307162162166e-12      -1.442757704174e-14 
   70       3.137495173761e-10       7.471589552546e-14      -1.856414143568e-12       1.275492270705e-16       1.234446951736e-11       9.018009377751e-12      -1.406909061996e-14 
   71       3.181080800105e-10       7.725596335671e-14      -1.955253887139e-12       1.312404488382e-16       1.193820286912e-11       8.740900740394e-12      -1.371807328758e-14 
