# Matter power spectrum P(k) at redshift z=0
# for k=1.26656e-05 to 1.64818 h/Mpc,
# number of wavenumbers equal to 652
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.266556205317e-05       2.324345950266e+01 
       2.555117002201e-05       4.572251910222e+01 
       3.848802951711e-05       6.797643333816e+01 
       5.151099106682e-05       9.028901476656e+01 
       6.465553403533e-05       1.128577780901e+02 
       7.795808321223e-05       1.358506584777e+02 
       9.145633622166e-05       1.594237864458e+02 
       1.051896060810e-04       1.837289655188e+02 
       1.191991832739e-04       2.089181959448e+02 
       1.335287217341e-04       2.351459564047e+02 
       1.482246531325e-04       2.625709710151e+02 
       1.633366337874e-04       2.913574001016e+02 
       1.789180283088e-04       3.216752941759e+02 
       1.950264336773e-04       3.537008311215e+02 
       2.117242467389e-04       3.876159663671e+02 
       2.290792769280e-04       4.236074229192e+02 
       2.471654042476e-04       4.618650880618e+02 
       2.660632798909e-04       5.025793695653e+02 
       2.858610631230e-04       5.459376987838e+02 
       3.066551827932e-04       5.921197085292e+02 
       3.285511047498e-04       6.412911491052e+02 
       3.516640770663e-04       6.935963015565e+02 
       3.761198129997e-04       7.491488891076e+02 
       4.020550567665e-04       8.080216545366e+02 
       4.296179596360e-04       8.702349135791e+02 
       4.589681741463e-04       9.357447573678e+02 
       4.902765539850e-04       1.004431737907e+03 
       5.237243290415e-04       1.076091859348e+03 
       5.595016137359e-04       1.150431064982e+03 
       5.978051081268e-04       1.227065891140e+03 
       6.388348730734e-04       1.305531939941e+03 
       6.827901107421e-04       1.385301768012e+03 
       7.298639658780e-04       1.465812901603e+03 
       7.802374820963e-04       1.546504431839e+03 
       8.340729924708e-04       1.626859608899e+03 
       8.915073746213e-04       1.706448809278e+03 
       9.526457257659e-04       1.784966965231e+03 
       1.017556075688e-03       1.862259089673e+03 
       1.086265723560e-03       1.938328846782e+03 
       1.158759644987e-03       2.013328951557e+03 
       1.234981183686e-03       2.087534478359e+03 
       1.314834961439e-03       2.161304641585e+03 
       1.398191670441e-03       2.235029314299e+03 
       1.484894211112e-03       2.309106829261e+03 
       1.574764541768e-03       2.383902920544e+03 
       1.667610619657e-03       2.459713979900e+03 
       1.763232913673e-03       2.536759308470e+03 
       1.861430120077e-03       2.615175912040e+03 
       1.962003874903e-03       2.695023534871e+03 
       2.064762400537e-03       2.776293470869e+03 
       2.169523132764e-03       2.858920877993e+03 
       2.276114444101e-03       2.942797327789e+03 
       2.384376613782e-03       3.027783977131e+03 
       2.494162202639e-03       3.113722369355e+03 
       2.605335981495e-03       3.200443729019e+03 
       2.717774542446e-03       3.287776021282e+03 
       2.831365699459e-03       3.375549927869e+03 
       2.946007761807e-03       3.463601902866e+03 
       3.061608743312e-03       3.551777208243e+03 
       3.178085552915e-03       3.639931616422e+03 
       3.295363198173e-03       3.727932098975e+03 
       3.413374022399e-03       3.815657700643e+03 
       3.532056988110e-03       3.902997502772e+03 
       3.651357013538e-03       3.989851638256e+03 
       3.771224364833e-03       4.076131541940e+03 
       3.891614103777e-03       4.161756586621e+03 
       4.012485589018e-03       4.246656165813e+03 
       4.133802027704e-03       4.330767367973e+03 
       4.255530073830e-03       4.414034397971e+03 
       4.377639469323e-03       4.496407555085e+03 
       4.500102723892e-03       4.577845312122e+03 
       4.622894829807e-03       4.658311942273e+03 
       4.745993007949e-03       4.737771862511e+03 
       4.869376481808e-03       4.816199947437e+03 
       4.993026276318e-03       4.893571262111e+03 
       5.116925038785e-03       4.969867484157e+03 
       5.241056879377e-03       5.045070930429e+03 
       5.365407228974e-03       5.119168170122e+03 
       5.489962712369e-03       5.192147870091e+03 
       5.614711035076e-03       5.264003293391e+03 
       5.739640882174e-03       5.334725437682e+03 
       5.864741827818e-03       5.404313890540e+03 
       5.990004254207e-03       5.472765471311e+03 
       6.115419278922e-03       5.540071596608e+03 
       6.240978689708e-03       5.606240814769e+03 
       6.366674885857e-03       5.671268643698e+03 
       6.492500825463e-03       5.735155035698e+03 
       6.618449977904e-03       5.797907104796e+03 
       6.744516280972e-03       5.859528152560e+03 
       6.870694102161e-03       5.920023054293e+03 
       6.996978203659e-03       5.979397749936e+03 
       7.123363710645e-03       6.037653951586e+03 
       7.249846082566e-03       6.094798245841e+03 
       7.376421087053e-03       6.150837359988e+03 
       7.503084776232e-03       6.205786295034e+03 
       7.629833465171e-03       6.259653401920e+03 
       7.756663712250e-03       6.312437495119e+03 
       7.883572301266e-03       6.364145242680e+03 
       8.010556225098e-03       6.414789480432e+03 
       8.137612670783e-03       6.464503417885e+03 
       8.264739005867e-03       6.512936695431e+03 
       8.391932765900e-03       6.560450850680e+03 
       8.519191642987e-03       6.606945270263e+03 
       8.646513475271e-03       6.652407650640e+03 
       8.773896237290e-03       6.696865465017e+03 
       8.901338031098e-03       6.740338056200e+03 
       9.028837078109e-03       6.782816123251e+03 
       9.156391711581e-03       6.824281771034e+03 
       9.284000369692e-03       6.864826027241e+03 
       9.411661589149e-03       6.904360066234e+03 
       9.539373999300e-03       6.942960416854e+03 
       9.667136316681e-03       6.980618339552e+03 
       9.794947339986e-03       7.017388561703e+03 
       9.922805945411e-03       7.053189776741e+03 
       1.005071108234e-02       7.088089897752e+03 
       1.017866176936e-02       7.122041250712e+03 
       1.030665709055e-02       7.155196187468e+03 
       1.043469619206e-02       7.187400814289e+03 
       1.056277827892e-02       7.218743223437e+03 
       1.069090261210e-02       7.249164333707e+03 
       1.081906850574e-02       7.278783102641e+03 
       1.094727532464e-02       7.307532799229e+03 
       1.107552248185e-02       7.335454794655e+03 
       1.120380943648e-02       7.362567860376e+03 
       1.133213569169e-02       7.388834669105e+03 
       1.146050079273e-02       7.414327677652e+03 
       1.158890432520e-02       7.438981400728e+03 
       1.171734591341e-02       7.462848799673e+03 
       1.184582521881e-02       7.485925673863e+03 
       1.197434193861e-02       7.508272513005e+03 
       1.210289580443e-02       7.529791564861e+03 
       1.223148658107e-02       7.550572372991e+03 
       1.236011406536e-02       7.570609198459e+03 
       1.248877808511e-02       7.589925832905e+03 
       1.261747849812e-02       7.608472278113e+03 
       1.274621519123e-02       7.626288349750e+03 
       1.287498807953e-02       7.643430470808e+03 
       1.300379710549e-02       7.659850426982e+03 
       1.313264223833e-02       7.675592410259e+03 
       1.326152347326e-02       7.690614876691e+03 
       1.339044083091e-02       7.704969762083e+03 
       1.351939435672e-02       7.718626194053e+03 
       1.364838412045e-02       7.731648871748e+03 
       1.377741021569e-02       7.743981460171e+03 
       1.390647275938e-02       7.755691209513e+03 
       1.403557189148e-02       7.766742691177e+03 
       1.416470777452e-02       7.777165234023e+03 
       1.429388059336e-02       7.786960238511e+03 
       1.442309055483e-02       7.796126634520e+03 
       1.455233788748e-02       7.804694522274e+03 
       1.468162284137e-02       7.812644797854e+03 
       1.481094568787e-02       7.820012577163e+03 
       1.494030671943e-02       7.826779300628e+03 
       1.506970624949e-02       7.832954768802e+03 
       1.519914461235e-02       7.838581011924e+03 
       1.532862216305e-02       7.843626770825e+03 
       1.545813927731e-02       7.848134394537e+03 
       1.558769635147e-02       7.852056481546e+03 
       1.571729380247e-02       7.855478743294e+03 
       1.584693206786e-02       7.858333955881e+03 
       1.597661160577e-02       7.860626480350e+03 
       1.610633289500e-02       7.862456269349e+03 
       1.623609643503e-02       7.863717463798e+03 
       1.636590274611e-02       7.864490853581e+03 
       1.649575236935e-02       7.864773790599e+03 
